STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210923,084428,16696,22.37,52.13,75.17,79.78,23.8,61.1,85.49,146.17,176.71,181.94,182.81,1.25,0,0,3.77,19.8,77.0,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20210923,084429,17771,16.18,34.97,49.42,52.32,23.8,61.1,68.33,108.80,128.00,131.28,131.83,1.14,0,0,3.77,19.8,77.0,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20210923,084430,18842,15.94,33.00,46.06,48.68,23.8,61.2,70.75,108.80,126.18,129.15,129.65,1.05,0,0,3.77,19.8,77.0,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20210923,084431,19916,15.43,29.13,39.51,41.58,23.8,61.2,75.13,108.45,122.31,124.67,125.07,0.98,0,0,3.77,19.8,77.1,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20210923,084432,20990,15.74,30.61,41.91,44.17,23.8,61.2,74.55,109.65,124.73,127.30,127.74,0.99,0,0,3.77,19.8,77.1,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20210923,084433,22064,15.94,31.72,43.74,46.15,23.8,61.3,73.80,110.25,126.27,129.01,129.48,1.01,0,0,3.77,19.8,77.2,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20210923,084435,23134,16.20,32.95,45.75,48.31,23.8,61.3,73.30,111.23,128.28,131.19,131.68,1.04,0,0,3.77,19.8,77.2,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20210923,084436,24208,16.36,33.81,47.18,49.85,23.8,61.3,72.76,111.75,129.53,132.57,133.08,1.04,0,0,3.78,19.8,77.2,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20210923,084437,25282,16.52,34.65,48.55,51.33,23.8,61.3,72.22,112.22,130.71,133.87,134.40,1.05,0,0,3.77,19.8,77.2,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20210923,084438,26352,16.60,34.84,48.82,51.61,23.8,61.3,72.59,112.80,131.40,134.58,135.11,1.06,0,0,3.77,19.8,77.1,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20210923,084439,27426,16.65,34.89,48.88,51.67,23.8,61.2,72.89,113.16,131.76,134.95,135.48,1.06,0,0,3.77,19.8,77.1,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20210923,084440,28501,16.72,35.35,49.64,52.50,23.8,61.1,72.49,113.32,132.33,135.58,136.13,1.06,0,0,3.77,19.8,77.0,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20210923,084441,29572,16.78,35.48,49.84,52.71,23.9,61.1,72.71,113.70,132.79,136.05,136.60,1.07,0,0,3.77,19.9,76.9,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20210923,084442,30647,16.69,34.18,47.56,50.23,23.8,61.0,74.93,114.30,132.11,135.15,135.67,1.04,0,0,3.77,19.8,76.9,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20210923,084443,31722,16.79,34.69,48.38,51.12,23.8,61.0,74.72,114.70,132.93,136.05,136.57,1.05,0,0,3.77,19.8,76.8,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20210923,084444,32797,16.88,35.21,49.26,52.07,23.9,61.0,74.26,114.88,133.57,136.77,137.30,1.05,0,0,3.77,19.9,76.8,5A1
16,59.342790,18.047839,1,0.0,53.5,5,20210923,084445,33868,16.94,35.49,49.72,52.56,23.9,60.9,74.20,115.16,134.08,137.32,137.86,1.05,0,0,3.77,19.9,76.7,5A1
17,59.342790,18.047839,1,0.0,53.2,8,20210923,084446,34935,16.92,35.34,49.47,52.29,23.9,60.9,74.35,115.14,133.92,137.14,137.68,1.04,0,0,3.77,19.9,76.7,5A1
18,59.342790,18.047839,1,0.0,53.2,8,20210923,084446,36002,17.03,35.99,50.55,53.46,23.9,60.9,73.86,115.44,134.79,138.10,138.65,1.06,0,0,3.77,19.9,76.7,5A1
19,59.342782,18.047837,1,0.0,52.7,8,20210923,084448,37076,17.03,35.89,50.35,53.24,23.9,60.9,74.10,115.55,134.78,138.07,138.62,1.06,0,0,3.77,19.9,76.7,5A1
