[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.24]
[File start time: 09:37:21]

Time	Number	Size	LDSA	Filter	Diff	
4,5	1452	25,2	1,89	1,06	1,19
14,5	1454	25,5	1,92	1,09	1,2
24,5	755	36,3	1,48	1,03	0,73
34,5	1413	25,8	1,89	1,08	1,17
44,5	1709	23,1	2,02	1,07	1,34
54,5	1735	23,3	2,08	1,11	1,37
64,5	1880	22,6	2,17	1,13	1,45
74,5	1515	25,9	2,04	1,17	1,26
84,5	1639	23,5	1,98	1,06	1,29
94,5	1974	23,3	2,36	1,26	1,55
104,5	1711	25	2,21	1,24	1,4
114,5	1502	27,3	2,14	1,27	1,28
124,5	1611	26,5	2,23	1,3	1,36
134,5	1647	27,5	2,37	1,41	1,41
144,5	1545	28,7	2,33	1,42	1,35
154,5	1573	27,6	2,27	1,35	1,35
164,5	1442	26,8	2,01	1,18	1,22
174,5	1469	26,3	2,01	1,16	1,23
184,5	1463	26,4	2,01	1,17	1,23
194,5	1493	26,3	2,04	1,18	1,25
204,5	1360	28,5	2,03	1,23	1,18
214,5	1388	26,9	1,95	1,14	1,18
224,5	1506	26,1	2,04	1,17	1,26
234,5	1526	26,2	2,08	1,2	1,28
244,5	1413	27,5	2,03	1,21	1,21
254,5	1420	26,5	1,96	1,14	1,19
264,5	1279	29,8	2,01	1,26	1,14
274,5	1218	29,6	1,9	1,18	1,08
284,5	1201	28,9	1,82	1,12	1,05
294,5	1273	27,6	1,84	1,1	1,09
304,5	1178	28,9	1,79	1,1	1,03
314,5	1195	28,9	1,82	1,11	1,05
324,5	1101	31	1,81	1,15	1
334,5	1264	26,7	1,76	1,03	1,07
344,5	1297	27,5	1,86	1,11	1,11
354,5	1300	27,8	1,89	1,13	1,12
364,5	1296	28,5	1,94	1,18	1,13
374,5	1312	28,6	1,97	1,2	1,14
384,5	1205	29	1,84	1,13	1,06
394,5	1219	29,2	1,87	1,15	1,07
404,5	1075	31	1,76	1,13	0,97
414,5	982	38,6	2,06	1,48	0,97
424,5	1090	31,6	1,83	1,18	1
434,5	1142	30,2	1,82	1,15	1,02
444,5	1177	31,6	1,98	1,28	1,08
454,5	1252	30,4	2,01	1,27	1,12
464,5	1069	33,5	1,92	1,28	1
474,5	1281	28,6	1,93	1,18	1,12
484,5	1489	28,9	2,27	1,39	1,31
494,5	1969	26,2	2,68	1,55	1,65
504,5	2008	26,2	2,74	1,58	1,68
514,5	1701	27,8	2,48	1,49	1,47
524,5	1689	29,1	2,59	1,59	1,49
534,5	1842	27	2,59	1,52	1,56
544,5	1858	26,7	2,58	1,51	1,57
554,5	2268	24,2	2,83	1,55	1,82
564,5	806	43,6	1,93	1,47	0,83
574,5	884	39,5	1,9	1,38	0,88
584,5	740	42,9	1,75	1,32	0,76
594,5	782	40	1,7	1,24	0,78
604,5	850	38,2	1,76	1,26	0,84
614,5	670	43	1,58	1,19	0,69
624,5	764	42,8	1,8	1,35	0,79
634,5	547	46,5	1,41	1,1	0,58
644,5	738	39,8	1,6	1,17	0,74
654,5	932	36,4	1,83	1,28	0,9
664,5	551	49,3	1,51	1,21	0,59
674,5	640	46,2	1,64	1,27	0,68
684,5	700	41,8	1,61	1,2	0,71
694,5	599	47,7	1,59	1,25	0,64
704,5	726	42,2	1,68	1,26	0,74
714,5	717	53,6	2,17	1,78	0,8
724,5	1200	43,2	2,85	2,15	1,24
734,5	6302	49	17,19	13,66	6,78
744,5	5813	57,2	18,84	15,82	6,59
754,5	5663	56,5	18,1	15,13	6,39
764,5	5956	56,1	18,88	15,74	6,7
774,5	5581	56,7	17,93	15,01	6,31
784,5	5009	56,7	16,09	13,47	5,66
794,5	4791	56	15,17	12,65	5,39
804,5	4886	55,3	15,27	12,68	5,47
814,5	4944	57,1	16,01	13,44	5,6
824,5	4238	56,9	13,67	11,46	4,79
834,5	4006	53,5	12,05	9,89	4,44
844,5	3685	55,8	11,63	9,69	4,14
854,5	4046	55,4	12,66	10,52	4,54
864,5	4204	53,2	12,57	10,3	4,65
874,5	4146	54,8	12,81	10,61	4,63
884,5	4269	54,8	13,2	10,93	4,77
894,5	4177	55,7	13,16	10,96	4,69
904,5	4411	53,4	13,24	10,87	4,88
914,5	4371	55	13,57	11,25	4,89
924,5	4529	53	13,49	11,04	5
934,5	5263	53,1	15,71	12,86	5,82
944,5	4932	56,1	15,65	13,05	5,55
954,5	4877	56,8	15,67	13,13	5,51
964,5	4868	56,1	15,43	12,87	5,48
974,5	4883	55	15,16	12,57	5,46
984,5	4927	54,3	15,06	12,43	5,48
994,5	4516	56,1	14,33	11,96	5,08
1004,5	4695	54,5	14,43	11,93	5,23
1014,5	5665	51,1	16,18	13,07	6,18
1024,5	5283	57,7	17,3	14,57	6,01
1034,5	5512	57,3	17,89	15,02	6,25
1044,5	5389	58,8	18,02	15,26	6,17
1054,5	4739	61,3	16,58	14,21	5,5
1064,5	4856	55,9	15,36	12,8	5,46
