[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.30]
[File start time: 16:08:04]

Time	Number	Size	LDSA	Filter	Diff	
4,5	2832	72,5	11,94	10,7	3,5
14,5	3708	60,3	12,74	10,87	4,28
24,5	2640	76,2	11,77	10,66	3,33
34,5	2997	68	11,77	10,38	3,61
44,5	3307	64,9	12,34	10,76	3,92
54,5	3334	63,4	12,12	10,49	3,92
64,5	3825	57,2	12,41	10,42	4,34
74,5	3078	66,6	11,81	10,37	3,68
84,5	3211	65,1	12,02	10,49	3,81
94,5	3089	67	11,94	10,5	3,71
104,5	3149	64,4	11,65	10,13	3,72
114,5	3213	63,5	11,69	10,12	3,78
124,5	2980	67,7	11,65	10,27	3,59
134,5	3148	65,6	11,88	10,39	3,75
144,5	3281	64,1	12,08	10,49	3,87
154,5	3239	64,7	12,05	10,5	3,84
164,5	3146	65,7	11,9	10,41	3,75
174,5	3055	66,3	11,67	10,23	3,65
184,5	3020	66,2	11,51	10,09	3,61
194,5	3071	66,6	11,79	10,35	3,68
204,5	3296	63,2	11,93	10,32	3,87
214,5	3190	64,5	11,81	10,28	3,77
224,5	3234	62,4	11,55	9,96	3,78
234,5	3061	66,7	11,77	10,34	3,67
244,5	3002	68,3	11,85	10,47	3,63
254,5	3157	65,5	11,9	10,4	3,76
264,5	3033	66,4	11,59	10,17	3,62
274,5	3110	65,2	11,66	10,17	3,69
284,5	3376	66,7	12,98	11,4	4,04
294,5	3500	66,3	13,36	11,71	4,18
304,5	3805	67,4	14,8	13,03	4,57
314,5	3824	69,1	15,3	13,55	4,64
324,5	3944	67,5	15,38	13,54	4,74
334,5	3351	72	14,02	12,54	4,13
344,5	2261	78	10,35	9,43	2,88
354,5	2462	76,1	10,96	9,93	3,11
364,5	2339	75,9	10,38	9,4	2,95
374,5	2249	77	10,14	9,21	2,85
384,5	2279	76,6	10,21	9,26	2,88
394,5	2154	78,6	9,94	9,07	2,76
404,5	1894	84,1	9,42	8,71	2,5
414,5	1966	83,2	9,67	8,92	2,58
424,5	2243	73,5	9,6	8,63	2,79
434,5	1939	80,1	9,14	8,37	2,5
444,5	2070	78,4	9,52	8,69	2,64
454,5	2022	79,8	9,48	8,68	2,6
464,5	2740	65,6	10,35	9,05	3,26
474,5	2800	64,7	10,41	9,07	3,32
484,5	2570	68,7	10,21	9,03	3,11
494,5	2704	66,6	10,38	9,11	3,24
504,5	2577	67,9	10,1	8,91	3,11
514,5	2672	66,6	10,25	8,99	3,2
524,5	2772	66	10,54	9,23	3,31
534,5	2623	68,3	10,35	9,14	3,17
544,5	2579	69,2	10,33	9,15	3,13
554,5	2541	70,2	10,34	9,2	3,1
564,5	2539	69,5	10,21	9,06	3,09
574,5	1656	84,8	8,31	7,7	2,19
584,5	1718	81,8	8,29	7,62	2,24
594,5	1658	81,2	7,93	7,29	2,15
604,5	1456	88,8	7,69	7,18	1,97
614,5	1367	89,1	7,25	6,77	1,85
624,5	1471	82,5	7,16	6,6	1,92
634,5	1211	95,8	6,96	6,59	1,7
644,5	1225	92,6	6,78	6,37	1,69
654,5	1427	81,2	6,83	6,27	1,85
664,5	1383	85,8	7,04	6,53	1,84
674,5	1352	88	7,07	6,59	1,82
684,5	2531	70	10,27	9,13	3,09
694,5	2773	69,3	11,12	9,86	3,37
704,5	2750	72,8	11,66	10,46	3,41
714,5	2770	70,2	11,27	10,02	3,38
724,5	2431	76,4	10,87	9,85	3,07
734,5	2608	71,3	10,8	9,64	3,2
744,5	2883	65	10,77	9,39	3,42
754,5	2740	67,1	10,61	9,33	3,29
764,5	2541	70,5	10,38	9,25	3,11
774,5	2613	68,4	10,32	9,12	3,16
784,5	2918	61,3	10,22	8,77	3,39
794,5	2925	61,2	10,23	8,78	3,4
804,5	2710	65,1	10,13	8,84	3,21
814,5	2893	61,7	10,21	8,78	3,37
824,5	2993	60,3	10,28	8,78	3,45
834,5	2666	63,3	9,67	8,37	3,13
844,5	2755	61,5	9,69	8,32	3,2
854,5	2492	63,4	9,06	7,84	2,93
864,5	2031	71,4	8,43	7,53	2,5
874,5	2787	55,2	8,68	7,2	3,12
884,5	2939	52,9	8,73	7,14	3,24
894,5	2070	67,3	8,04	7,07	2,49
904,5	1998	68,5	7,92	7	2,42
914,5	1937	68,6	7,68	6,79	2,34
924,5	1790	72,5	7,55	6,77	2,21
934,5	2006	66,3	7,66	6,71	2,4
944,5	2066	65,9	7,84	6,87	2,46
954,5	1870	70,9	7,7	6,86	2,29
964,5	1804	71,7	7,52	6,73	2,22
974,5	1885	69,7	7,61	6,76	2,3
984,5	1761	72,1	7,38	6,61	2,17
994,5	1751	73,2	7,46	6,7	2,17
1004,5	1876	69,5	7,55	6,7	2,28
1014,5	1766	72	7,39	6,61	2,18
1024,5	1688	74,2	7,3	6,58	2,11
1034,5	1774	69	7,09	6,28	2,15
1044,5	2086	68,3	8,23	7,27	2,52
1054,5	2706	65,6	10,22	8,94	3,22
1064,5	2940	62,6	10,53	9,09	3,44
1074,5	3046	61,8	10,76	9,26	3,55
1084,5	2183	75,8	9,68	8,76	2,75
