STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,59.342700,18.047957,1,0.2,26.7,6,20211001,152546,16677,15.69,40.11,59.14,62.94,20.6,56.9,51.53,98.52,123.69,128.00,128.72,1.15,0,0,3.45,16.6,72.1,5A1
1,59.342708,18.047959,1,0.1,26.3,6,20211001,152547,17754,13.69,30.55,43.56,46.16,20.6,56.9,55.50,90.95,108.21,111.17,111.66,1.06,0,0,3.44,16.6,72.1,5A1
2,59.342708,18.047959,1,1.1,25.9,6,20211001,152548,18827,13.67,30.34,43.20,45.77,20.6,56.8,55.78,90.96,108.03,110.95,111.44,1.16,0,0,3.44,16.6,72.0,5A1
3,59.342708,18.047959,1,0.9,25.4,6,20211001,152549,19903,13.88,31.74,45.55,48.31,20.6,56.8,54.45,91.34,109.66,112.79,113.32,1.16,0,0,3.44,16.6,71.9,5A1
4,59.342708,18.047961,1,0.2,25.0,6,20211001,152550,20978,13.61,29.72,42.13,44.61,20.6,56.7,56.77,91.19,107.66,110.48,110.95,1.08,0,0,3.44,16.6,71.9,5A1
5,59.342708,18.047961,1,1.8,24.7,6,20211001,152552,22051,13.50,28.84,40.63,42.99,20.6,56.7,57.81,91.15,106.82,109.50,109.95,1.05,0,0,3.45,16.6,71.8,5A1
6,59.342700,18.047972,1,2.3,24.4,6,20211001,152553,23127,13.17,26.24,36.21,38.21,20.6,56.7,60.86,91.02,104.31,106.58,106.96,0.99,0,0,3.44,16.6,71.8,5A1
7,59.342700,18.047994,1,1.6,23.4,6,20211001,152554,24203,13.22,26.33,36.33,38.33,20.6,56.6,61.14,91.41,104.73,107.00,107.39,0.99,0,0,3.45,16.6,71.8,5A1
8,59.342708,18.047998,1,1.8,22.8,6,20211001,152555,25279,13.45,27.31,37.90,40.02,20.6,56.6,60.96,92.39,106.50,108.91,109.31,1.00,0,0,3.44,16.6,71.7,5A1
9,59.342708,18.048006,1,0.8,22.2,6,20211001,152556,26351,13.50,27.27,37.78,39.89,20.7,56.6,61.52,92.89,106.90,109.29,109.69,0.99,0,0,3.44,16.7,71.7,5A1
10,59.342700,18.048014,1,0.9,21.6,6,20211001,152557,27427,13.73,28.37,39.58,41.82,20.6,56.6,61.02,93.72,108.64,111.20,111.62,1.01,0,0,3.44,16.6,71.6,5A1
