STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211001,071020,16687,5.82,10.28,13.62,14.29,19.3,52.1,30.15,41.75,46.19,46.96,47.09,0.77,0,0,3.74,15.3,66.2,488
1,0.000000,0.000000,0,-1.0,0.0,0,20211001,071021,17757,2.34,5.04,7.11,7.53,19.3,52.2,9.93,15.75,18.49,18.96,19.04,0.85,0,0,3.74,15.3,66.3,488
2,0.000000,0.000000,0,-1.0,0.0,0,20211001,071022,18828,2.34,5.04,7.11,7.53,19.3,52.4,9.93,15.75,18.49,18.96,19.04,0.85,0,0,3.74,15.3,66.5,488
3,0.000000,0.000000,0,-1.0,0.0,0,20211001,071023,19902,2.21,4.11,5.55,5.84,19.3,52.4,10.95,15.63,17.53,17.86,17.92,0.73,0,0,3.74,15.3,66.6,488
4,0.000000,0.000000,0,-1.0,0.0,0,20211001,071024,20977,2.19,4.01,5.38,5.66,19.3,52.4,10.98,15.52,17.35,17.66,17.72,0.70,0,0,3.74,15.3,66.6,488
5,0.000000,0.000000,0,-1.0,0.0,0,20211001,071026,22052,2.21,4.22,5.74,6.05,19.3,52.3,10.66,15.47,17.49,17.84,17.90,0.74,0,0,3.74,15.3,66.5,488
6,0.000000,0.000000,0,-1.0,0.0,0,20211001,071027,23123,2.23,4.48,6.19,6.53,19.3,52.3,10.25,15.38,17.65,18.04,18.11,0.80,0,0,3.74,15.3,66.4,488
7,0.000000,0.000000,0,-1.0,0.0,0,20211001,071028,24198,2.17,4.20,5.74,6.05,19.3,52.2,10.38,15.17,17.21,17.57,17.63,0.75,0,0,3.74,15.3,66.3,488
8,0.000000,0.000000,0,-1.0,0.0,0,20211001,071029,25273,2.10,3.86,5.18,5.45,19.3,52.2,10.52,14.90,16.66,16.96,17.01,0.75,0,0,3.74,15.3,66.3,488
9,0.000000,0.000000,0,-1.0,0.0,0,20211001,071030,26344,2.03,3.49,4.58,4.80,19.3,52.2,10.70,14.62,16.08,16.33,16.37,0.76,0,0,3.74,15.3,66.3,488
10,0.000000,0.000000,0,-1.0,0.0,0,20211001,071031,27419,1.97,3.10,3.93,4.09,19.3,52.2,11.12,14.55,15.66,15.85,15.89,0.73,0,0,3.74,15.3,66.2,488
11,0.000000,0.000000,0,-1.0,0.0,0,20211001,071032,28495,2.00,3.17,4.04,4.21,19.3,52.2,11.17,14.70,15.85,16.05,16.09,0.76,0,0,3.74,15.3,66.2,488
