STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211002,135611,16688,6.74,27.58,44.14,47.45,18.2,50.9,0.00,30.92,52.44,56.18,56.80,1.63,0,0,3.75,14.2,64.8,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211002,135612,17757,3.27,4.67,5.65,5.85,18.2,50.9,19.57,24.65,26.00,26.23,26.27,0.53,0,0,3.74,14.2,64.8,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211002,135613,18830,3.38,3.58,3.58,3.58,18.2,50.9,23.28,26.93,27.01,27.02,27.02,0.44,0,0,3.75,14.2,64.8,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211002,135614,19906,3.40,3.59,3.59,3.59,18.2,50.9,23.37,27.04,27.12,27.12,27.13,0.50,0,0,3.74,14.2,64.8,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211002,135615,20981,3.43,3.62,3.62,3.62,18.3,50.9,23.56,27.26,27.34,27.34,27.35,0.44,0,0,3.74,14.3,64.8,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211002,135616,22056,3.44,3.64,3.64,3.64,18.2,50.9,23.65,27.36,27.44,27.45,27.45,0.46,0,0,3.74,14.2,64.7,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211002,135618,23127,3.45,3.65,3.65,3.65,18.3,50.9,23.72,27.44,27.52,27.53,27.53,0.49,0,0,3.75,14.3,64.7,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211002,135619,24202,3.44,3.64,3.64,3.64,18.3,50.8,23.66,27.36,27.44,27.45,27.46,0.48,0,0,3.74,14.3,64.7,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211002,135620,25277,3.42,3.62,3.62,3.62,18.3,50.8,23.54,27.23,27.31,27.32,27.32,0.50,0,0,3.75,14.3,64.6,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211002,135621,26348,3.41,3.73,3.83,3.85,18.3,50.8,23.20,27.04,27.24,27.27,27.28,0.54,0,0,3.74,14.3,64.6,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211002,135622,27423,3.42,3.75,3.85,3.87,18.3,50.8,23.26,27.11,27.32,27.35,27.36,0.52,0,0,3.74,14.3,64.6,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211002,135623,28499,3.42,3.73,3.83,3.85,18.3,50.7,23.21,27.05,27.25,27.28,27.29,0.52,0,0,3.75,14.3,64.5,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211002,135624,29575,3.40,3.70,3.78,3.79,18.3,50.7,23.15,26.95,27.13,27.16,27.17,0.54,0,0,3.74,14.3,64.5,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211002,135625,30647,3.42,3.76,3.87,3.89,18.3,50.7,23.20,27.06,27.29,27.32,27.33,0.51,0,0,3.75,14.3,64.5,286
14,0.000000,0.000000,0,-1.0,0.0,0,20211002,135626,31723,3.45,3.80,3.92,3.94,18.3,50.6,23.38,27.29,27.53,27.57,27.58,0.52,0,0,3.74,14.3,64.4,286
15,0.000000,0.000000,0,-1.0,0.0,0,20211002,135627,32799,3.47,3.83,3.96,3.98,18.3,50.6,23.53,27.47,27.72,27.76,27.77,0.51,0,0,3.74,14.3,64.4,286
16,0.000000,0.000000,0,-1.0,0.0,0,20211002,135628,33872,3.52,3.96,4.15,4.19,18.3,50.6,23.64,27.75,28.08,28.13,28.14,0.54,0,0,3.74,14.3,64.4,286
17,0.000000,0.000000,0,-1.0,0.0,0,20211002,135629,34949,3.53,4.00,4.22,4.26,18.3,50.5,23.67,27.82,28.18,28.24,28.25,0.55,0,0,3.74,14.3,64.3,286
18,0.000000,0.000000,0,-1.0,0.0,0,20211002,135631,36025,3.53,4.01,4.24,4.29,18.3,50.6,23.57,27.73,28.11,28.18,28.19,0.56,0,0,3.75,14.3,64.3,286
19,0.000000,0.000000,0,-1.0,0.0,0,20211002,135632,37101,3.55,4.01,4.21,4.25,18.3,50.5,23.86,28.01,28.35,28.41,28.42,0.55,0,0,3.75,14.3,64.3,286
20,0.000000,0.000000,0,-1.0,0.0,0,20211002,135633,38173,3.58,4.06,4.28,4.33,18.4,50.5,23.98,28.19,28.56,28.62,28.63,0.57,0,0,3.74,14.4,64.3,286
21,0.000000,0.000000,0,-1.0,0.0,0,20211002,135634,39249,3.59,4.05,4.25,4.29,18.3,50.5,24.13,28.33,28.67,28.73,28.74,0.55,0,0,3.74,14.3,64.2,286
22,0.000000,0.000000,0,-1.0,0.0,0,20211002,135635,40325,3.60,4.06,4.26,4.30,18.4,50.4,24.17,28.38,28.73,28.78,28.79,0.56,0,0,3.75,14.4,64.1,286
23,0.000000,0.000000,0,-1.0,0.0,0,20211002,135636,41401,3.63,4.07,4.25,4.29,18.3,50.3,24.44,28.65,28.97,29.02,29.04,0.56,0,0,3.74,14.3,64.0,286
24,0.000000,0.000000,0,-1.0,0.0,0,20211002,135637,42473,3.67,4.13,4.33,4.37,18.4,50.2,24.63,28.91,29.25,29.31,29.32,0.57,0,0,3.74,14.4,63.9,286
25,0.000000,0.000000,0,-1.0,0.0,0,20211002,135638,43549,3.73,4.17,4.35,4.39,18.4,50.2,25.11,29.43,29.75,29.80,29.81,0.57,0,0,3.74,14.4,63.8,286
26,0.000000,0.000000,0,-1.0,0.0,0,20211002,135639,44625,3.89,4.32,4.50,4.53,18.4,50.1,26.22,30.68,31.00,31.05,31.06,0.57,0,0,3.74,14.4,63.7,286
27,0.000000,0.000000,0,-1.0,0.0,0,20211002,135640,45698,3.96,4.49,4.73,4.78,18.4,50.0,26.52,31.18,31.59,31.65,31.67,0.59,0,0,3.74,14.4,63.6,286
28,0.000000,0.000000,0,-1.0,0.0,0,20211002,135641,46775,4.04,4.60,4.85,4.91,18.4,50.0,27.05,31.82,32.25,32.32,32.34,0.60,0,0,3.74,14.4,63.6,286
29,0.000000,0.000000,0,-1.0,0.0,0,20211002,135642,47852,4.14,4.73,5.01,5.07,18.4,49.9,27.61,32.53,32.99,33.07,33.08,0.61,0,0,3.74,14.4,63.5,286
30,0.000000,0.000000,0,-1.0,0.0,0,20211002,135644,48929,4.24,4.87,5.19,5.25,18.4,49.9,28.21,33.28,33.79,33.87,33.89,0.61,0,0,3.74,14.4,63.5,286
31,0.000000,0.000000,0,-1.0,0.0,0,20211002,135645,50001,4.28,4.93,5.26,5.33,18.4,49.9,28.51,33.65,34.17,34.26,34.27,0.62,0,0,3.74,14.4,63.4,286
32,0.000000,0.000000,0,-1.0,0.0,0,20211002,135646,51077,4.30,4.98,5.32,5.39,18.5,49.8,28.59,33.78,34.33,34.42,34.44,0.62,0,0,3.74,14.5,63.3,286
33,0.000000,0.000000,0,-1.0,0.0,0,20211002,135647,52153,4.32,4.99,5.33,5.39,18.5,49.8,28.73,33.93,34.47,34.55,34.57,0.62,0,0,3.74,14.5,63.3,286
34,0.000000,0.000000,0,-1.0,0.0,0,20211002,135648,53225,4.31,4.96,5.29,5.35,18.5,49.7,28.68,33.85,34.37,34.46,34.47,0.62,0,0,3.74,14.5,63.2,286
35,0.000000,0.000000,0,-1.0,0.0,0,20211002,135649,54301,4.26,4.90,5.22,5.28,18.5,49.7,28.33,33.43,33.94,34.03,34.04,0.62,0,0,3.74,14.5,63.2,286
36,0.000000,0.000000,0,-1.0,0.0,0,20211002,135650,55377,4.21,4.83,5.14,5.20,18.5,49.6,28.07,33.10,33.60,33.68,33.70,0.62,0,0,3.74,14.5,63.1,286
37,0.000000,0.000000,0,-1.0,0.0,0,20211002,135651,56453,4.19,4.81,5.11,5.18,18.5,49.6,27.95,32.95,33.44,33.52,33.54,0.62,0,0,3.74,14.5,63.1,286
38,0.000000,0.000000,0,-1.0,0.0,0,20211002,135652,57525,4.18,4.79,5.10,5.16,18.5,49.5,27.84,32.83,33.31,33.39,33.41,0.62,0,0,3.74,14.5,63.0,286
39,0.000000,0.000000,0,-1.0,0.0,0,20211002,135653,58601,4.13,4.73,5.03,5.09,18.5,49.5,27.55,32.47,32.95,33.02,33.04,0.61,0,0,3.74,14.5,63.0,286
40,0.000000,0.000000,0,-1.0,0.0,0,20211002,135654,59677,4.09,4.70,5.00,5.06,18.5,49.5,27.27,32.16,32.65,32.72,32.74,0.61,0,0,3.74,14.5,62.9,286
41,0.000000,0.000000,0,-1.0,0.0,0,20211002,135655,60749,4.05,4.65,4.95,5.01,18.5,49.5,26.96,31.80,32.28,32.36,32.37,0.61,0,0,3.75,14.5,62.9,286
42,0.000000,0.000000,0,-1.0,0.0,0,20211002,135657,61825,4.04,4.60,4.86,4.91,18.6,49.5,27.02,31.80,32.23,32.30,32.31,0.59,0,0,3.74,14.6,62.9,286
43,0.000000,0.000000,0,-1.0,0.0,0,20211002,135658,62901,4.03,4.57,4.83,4.88,18.6,49.5,26.94,31.69,32.11,32.18,32.19,0.59,0,0,3.74,14.6,63.0,286
44,0.000000,0.000000,0,-1.0,0.0,0,20211002,135659,63977,4.01,4.56,4.81,4.86,18.6,49.5,26.88,31.60,32.02,32.09,32.10,0.59,0,0,3.74,14.6,63.0,286
45,0.000000,0.000000,0,-1.0,0.0,0,20211002,135700,65049,4.01,4.54,4.78,4.83,18.6,49.6,26.85,31.56,31.97,32.04,32.05,0.59,0,0,3.74,14.6,63.0,286
46,0.000000,0.000000,0,-1.0,0.0,0,20211002,135702,66125,4.01,4.51,4.73,4.78,18.6,49.6,26.90,31.58,31.96,32.02,32.03,0.58,0,0,3.74,14.6,63.1,286
47,0.000000,0.000000,0,-1.0,0.0,0,20211002,135703,67201,3.98,4.48,4.71,4.75,18.6,49.6,26.72,31.36,31.74,31.80,31.82,0.58,0,0,3.74,14.6,63.1,286
48,0.000000,0.000000,0,-1.0,0.0,0,20211002,135704,68273,3.99,4.47,4.67,4.71,18.6,49.6,26.82,31.45,31.80,31.86,31.87,0.57,0,0,3.74,14.6,63.1,286
49,0.000000,0.000000,0,-1.0,0.0,0,20211002,135705,69349,4.03,4.54,4.76,4.80,18.6,49.7,27.10,31.80,32.18,32.24,32.25,0.57,0,0,3.74,14.6,63.1,286
50,0.000000,0.000000,0,-1.0,0.0,0,20211002,135706,70425,4.12,4.64,4.88,4.93,18.6,49.7,27.61,32.42,32.82,32.89,32.90,0.57,0,0,3.74,14.6,63.2,286
51,0.000000,0.000000,0,-1.0,0.0,0,20211002,135707,71501,4.16,4.70,4.95,5.00,18.6,49.7,27.86,32.74,33.16,33.22,33.24,0.57,0,0,3.74,14.6,63.2,286
52,0.000000,0.000000,0,-1.0,0.0,0,20211002,135708,72573,4.21,4.74,4.97,5.02,18.6,49.8,28.25,33.15,33.55,33.61,33.63,0.57,0,0,3.74,14.6,63.3,286
53,0.000000,0.000000,0,-1.0,0.0,0,20211002,135709,73649,4.22,4.75,4.98,5.02,18.6,49.8,28.38,33.30,33.69,33.75,33.77,0.57,0,0,3.74,14.6,63.3,286
54,0.000000,0.000000,0,-1.0,0.0,0,20211002,135709,74725,4.20,4.72,4.94,4.99,18.7,49.8,28.19,33.07,33.46,33.53,33.54,0.57,0,0,3.74,14.7,63.3,286
55,0.000000,0.000000,0,-1.0,0.0,0,20211002,135711,75801,4.16,4.67,4.89,4.93,18.7,49.8,28.01,32.85,33.22,33.28,33.29,0.56,0,0,3.74,14.7,63.3,286
56,0.000000,0.000000,0,-1.0,0.0,0,20211002,135713,76873,4.13,4.64,4.86,4.90,18.7,49.8,27.77,32.57,32.95,33.01,33.02,0.57,0,0,3.74,14.7,63.3,286
57,0.000000,0.000000,0,-1.0,0.0,0,20211002,135714,77949,4.13,4.67,4.92,4.97,18.7,49.8,27.64,32.49,32.91,32.97,32.99,0.58,0,0,3.74,14.7,63.3,286
58,0.000000,0.000000,0,-1.0,0.0,0,20211002,135715,79025,4.11,4.66,4.92,4.97,18.7,49.8,27.49,32.33,32.76,32.83,32.85,0.58,0,0,3.74,14.7,63.3,286
59,0.000000,0.000000,0,-1.0,0.0,0,20211002,135716,80097,4.08,4.63,4.89,4.94,18.7,49.7,27.29,32.09,32.52,32.59,32.60,0.58,0,0,3.74,14.7,63.2,286
60,0.000000,0.000000,0,-1.0,0.0,0,20211002,135717,81173,4.04,4.57,4.82,4.87,18.7,49.7,27.05,31.80,32.21,32.27,32.29,0.57,0,0,3.74,14.7,63.2,286
61,0.000000,0.000000,0,-1.0,0.0,0,20211002,135718,82249,4.03,4.55,4.78,4.83,18.7,49.7,27.07,31.78,32.17,32.24,32.25,0.56,0,0,3.74,14.7,63.2,286
62,0.000000,0.000000,0,-1.0,0.0,0,20211002,135719,83325,4.01,4.52,4.75,4.79,18.8,49.7,26.95,31.63,32.02,32.08,32.09,0.56,0,0,3.75,14.8,63.2,286
63,0.000000,0.000000,0,-1.0,0.0,0,20211002,135720,84397,4.00,4.49,4.70,4.75,18.7,49.8,26.90,31.55,31.91,31.97,31.99,0.56,0,0,3.74,14.7,63.3,286
64,0.000000,0.000000,0,-1.0,0.0,0,20211002,135721,85473,3.98,4.47,4.67,4.71,18.7,49.8,26.80,31.42,31.78,31.83,31.85,0.56,0,0,3.74,14.7,63.3,286
65,0.000000,0.000000,0,-1.0,0.0,0,20211002,135722,86549,3.96,4.45,4.65,4.69,18.7,49.8,26.66,31.27,31.62,31.68,31.69,0.56,0,0,3.74,14.7,63.3,286
66,0.000000,0.000000,0,-1.0,0.0,0,20211002,135722,87621,3.98,4.47,4.68,4.72,18.8,49.8,26.71,31.34,31.71,31.77,31.78,0.56,0,0,3.74,14.8,63.4,286
67,0.000000,0.000000,0,-1.0,0.0,0,20211002,135724,88697,3.98,4.47,4.68,4.72,18.8,49.8,26.74,31.37,31.74,31.79,31.81,0.56,0,0,3.74,14.8,63.4,286
68,0.000000,0.000000,0,-1.0,0.0,0,20211002,135725,89773,4.00,4.48,4.69,4.73,18.8,49.8,26.92,31.56,31.91,31.97,31.98,0.56,0,0,3.74,14.8,63.3,286
69,0.000000,0.000000,0,-1.0,0.0,0,20211002,135726,90849,4.01,4.49,4.69,4.73,18.8,49.8,27.00,31.65,32.00,32.06,32.07,0.56,0,0,3.74,14.8,63.3,286
70,0.000000,0.000000,0,-1.0,0.0,0,20211002,135727,91921,4.05,4.52,4.72,4.76,18.8,49.8,27.27,31.95,32.29,32.35,32.36,0.56,0,0,3.74,14.8,63.3,286
71,0.000000,0.000000,0,-1.0,0.0,0,20211002,135728,92997,4.09,4.57,4.78,4.82,18.8,49.8,27.51,32.24,32.60,32.65,32.67,0.56,0,0,3.74,14.8,63.2,286
72,0.000000,0.000000,0,-1.0,0.0,0,20211002,135730,94073,4.11,4.60,4.81,4.86,18.8,49.7,27.66,32.42,32.79,32.84,32.86,0.56,0,0,3.74,14.8,63.2,286
73,0.000000,0.000000,0,-1.0,0.0,0,20211002,135731,95145,4.10,4.60,4.81,4.85,18.8,49.8,27.61,32.38,32.74,32.80,32.82,0.56,0,0,3.74,14.8,63.3,286
74,0.000000,0.000000,0,-1.0,0.0,0,20211002,135732,96221,4.15,4.65,4.85,4.89,18.8,49.8,27.96,32.76,33.13,33.18,33.20,0.55,0,0,3.74,14.8,63.3,286
75,0.000000,0.000000,0,-1.0,0.0,0,20211002,135733,97297,4.23,4.75,4.97,5.02,18.8,49.7,28.45,33.37,33.75,33.82,33.83,0.56,0,0,3.74,14.8,63.2,286
76,0.000000,0.000000,0,-1.0,0.0,0,20211002,135734,98373,4.29,4.82,5.04,5.09,18.8,49.7,28.82,33.81,34.20,34.26,34.28,0.56,0,0,3.74,14.8,63.2,286
77,0.000000,0.000000,0,-1.0,0.0,0,20211002,135735,99445,4.34,4.90,5.15,5.20,18.8,49.6,29.13,34.21,34.63,34.70,34.71,0.56,0,0,3.74,14.8,63.1,286
