STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211002,135615,16740,3.80,7.65,10.59,11.18,18.5,50.5,17.42,26.19,30.07,30.75,30.86,0.73,0,0,3.64,14.5,64.2,488
1,0.000000,0.000000,0,-1.0,0.0,0,20211002,135616,17807,1.06,3.83,6.02,6.46,18.5,50.5,0.80,5.43,8.28,8.78,8.86,1.63,0,0,3.64,14.5,64.2,488
2,0.000000,0.000000,0,-1.0,0.0,0,20211002,135617,18874,1.78,2.95,3.81,3.98,18.5,50.5,9.73,13.02,14.17,14.37,14.41,0.62,0,0,3.64,14.5,64.2,488
3,0.000000,0.000000,0,-1.0,0.0,0,20211002,135618,19948,2.28,4.11,5.48,5.76,18.5,50.5,11.63,16.28,18.11,18.42,18.48,0.69,0,0,3.64,14.5,64.2,488
4,0.000000,0.000000,0,-1.0,0.0,0,20211002,135619,21023,2.57,3.99,5.03,5.23,18.5,50.4,14.65,19.06,20.45,20.69,20.73,0.65,0,0,3.63,14.5,64.1,488
5,0.000000,0.000000,0,-1.0,0.0,0,20211002,135619,22098,2.83,4.22,5.21,5.41,18.5,50.4,16.54,21.17,22.52,22.75,22.79,0.57,0,0,3.63,14.5,64.2,488
6,0.000000,0.000000,0,-1.0,0.0,0,20211002,135621,23170,2.76,2.92,2.92,2.92,18.5,50.4,19.01,21.98,22.05,22.06,22.06,0.53,0,0,3.63,14.5,64.1,488
7,0.000000,0.000000,0,-1.0,0.0,0,20211002,135622,24245,2.87,3.04,3.04,3.04,18.5,50.4,19.75,22.84,22.91,22.91,22.92,0.52,0,0,3.63,14.5,64.1,488
8,0.000000,0.000000,0,-1.0,0.0,0,20211002,135623,25320,2.90,3.07,3.07,3.07,18.5,50.4,19.96,23.09,23.16,23.17,23.17,0.53,0,0,3.64,14.5,64.1,488
9,0.000000,0.000000,0,-1.0,0.0,0,20211002,135624,26391,2.98,3.15,3.15,3.15,18.5,50.3,20.49,23.70,23.77,23.78,23.78,0.52,0,0,3.63,14.5,64.0,488
10,0.000000,0.000000,0,-1.0,0.0,0,20211002,135625,27466,3.04,3.22,3.22,3.22,18.4,50.3,20.94,24.23,24.30,24.31,24.31,0.51,0,0,3.63,14.4,64.0,488
11,0.000000,0.000000,0,-1.0,0.0,0,20211002,135626,28542,3.06,3.24,3.24,3.24,18.5,50.4,21.07,24.37,24.44,24.45,24.45,0.50,0,0,3.63,14.5,64.1,488
12,0.000000,0.000000,0,-1.0,0.0,0,20211002,135628,29618,3.11,3.29,3.29,3.29,18.5,50.4,21.40,24.75,24.83,24.83,24.84,0.49,0,0,3.63,14.5,64.1,488
13,0.000000,0.000000,0,-1.0,0.0,0,20211002,135629,30690,3.13,3.31,3.31,3.31,18.5,50.4,21.55,24.92,25.00,25.00,25.01,0.50,0,0,3.63,14.5,64.1,488
14,0.000000,0.000000,0,-1.0,0.0,0,20211002,135630,31766,3.15,3.33,3.33,3.33,18.5,50.4,21.67,25.07,25.14,25.15,25.15,0.51,0,0,3.63,14.5,64.2,488
15,0.000000,0.000000,0,-1.0,0.0,0,20211002,135631,32842,3.20,3.38,3.38,3.38,18.5,50.4,22.00,25.45,25.53,25.54,25.54,0.50,0,0,3.63,14.5,64.2,488
16,0.000000,0.000000,0,-1.0,0.0,0,20211002,135632,33918,3.24,3.42,3.42,3.42,18.4,50.4,22.28,25.77,25.84,25.85,25.86,0.50,0,0,3.63,14.4,64.2,488
17,0.000000,0.000000,0,-1.0,0.0,0,20211002,135632,34990,3.27,3.46,3.46,3.46,18.5,50.4,22.50,26.02,26.10,26.11,26.11,0.50,0,0,3.63,14.5,64.2,488
18,0.000000,0.000000,0,-1.0,0.0,0,20211002,135634,36066,3.29,3.48,3.48,3.48,18.5,50.4,22.63,26.18,26.25,26.26,26.27,0.50,0,0,3.63,14.5,64.1,488
19,0.000000,0.000000,0,-1.0,0.0,0,20211002,135635,37142,3.32,3.52,3.52,3.52,18.4,50.3,22.87,26.45,26.53,26.54,26.55,0.50,0,0,3.63,14.4,64.0,488
20,0.000000,0.000000,0,-1.0,0.0,0,20211002,135636,38215,3.44,3.64,3.64,3.64,18.4,50.3,23.67,27.38,27.46,27.47,27.48,0.49,0,0,3.63,14.4,64.0,488
21,0.000000,0.000000,0,-1.0,0.0,0,20211002,135637,39292,3.54,3.74,3.74,3.74,18.4,50.2,24.32,28.14,28.22,28.23,28.23,0.49,0,0,3.63,14.4,63.9,488
22,0.000000,0.000000,0,-1.0,0.0,0,20211002,135638,40368,3.61,3.82,3.82,3.82,18.4,50.2,24.86,28.76,28.84,28.85,28.85,0.48,0,0,3.63,14.4,63.9,488
