[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.10.04]
[File start time: 16:29:18]

Time	Number	Size	LDSA	Filter	Diff	
4,5	5397	59	18,11	15,35	6,18
14,5	5022	60,6	17,37	14,85	5,81
24,5	5115	59	17,16	14,55	5,86
34,5	4733	62,7	16,99	14,67	5,54
44,5	4875	60,7	16,89	14,44	5,64
54,5	5230	58,1	17,26	14,57	5,96
64,5	4697	61	16,36	14,01	5,44
74,5	4308	64,7	16,01	13,93	5,1
84,5	4391	62,7	15,77	13,61	5,14
94,5	4075	64,8	15,17	13,22	4,83
104,5	3898	66,6	14,95	13,12	4,66
114,5	4102	64	15,07	13,09	4,84
124,5	4035	64,9	15,04	13,11	4,78
134,5	3946	62,8	14,19	12,25	4,62
144,5	4314	62,2	15,34	13,21	5,03
154,5	4074	65	15,23	13,28	4,83
164,5	4350	61,5	15,27	13,11	5,05
174,5	4221	62,5	15,09	13,01	4,93
184,5	4291	62,7	15,4	13,29	5,02
194,5	4183	64,2	15,41	13,39	4,94
204,5	4155	65	15,51	13,52	4,93
214,5	3112	72,3	13,08	11,71	3,84
224,5	2505	78,5	11,54	10,52	3,2
234,5	2564	76,8	11,52	10,46	3,25
244,5	2394	80,5	11,34	10,39	3,09
254,5	2329	81,6	11,2	10,29	3,03
264,5	2221	82,8	10,85	10	2,91
274,5	2365	78,6	10,9	9,95	3,02
284,5	2286	80	10,76	9,85	2,95
294,5	2501	76,7	11,22	10,18	3,16
304,5	4104	63,2	14,87	12,87	4,82
314,5	3970	63,3	14,4	12,46	4,66
324,5	3952	62,3	14,09	12,14	4,61
334,5	4220	62,1	15	12,91	4,92
344,5	4089	62,8	14,69	12,69	4,79
354,5	4273	62	15,14	13,03	4,98
364,5	4087	63,7	14,93	12,94	4,81
374,5	4201	61,9	14,86	12,78	4,89
384,5	3828	64,4	14,16	12,31	4,52
394,5	3939	64,6	14,63	12,73	4,66
404,5	4004	63,7	14,64	12,7	4,71
414,5	3942	64,7	14,64	12,75	4,67
424,5	4184	61,6	14,74	12,66	4,87
434,5	3954	63,9	14,48	12,56	4,66
444,5	4255	61,8	15,02	12,91	4,95
454,5	4308	61,1	15,03	12,88	5
464,5	4328	61	15,08	12,92	5,02
474,5	2483	77,4	11,26	10,23	3,15
484,5	1029	93,2	5,73	5,4	1,42
494,5	912	105,5	5,84	5,6	1,35
504,5	981	89,4	5,22	4,88	1,33
514,5	995	88,1	5,21	4,86	1,34
524,5	1072	85,9	5,46	5,07	1,43
534,5	1023	89,5	5,45	5,1	1,39
544,5	1217	78,6	5,61	5,12	1,56
554,5	955	95,3	5,46	5,16	1,34
564,5	844	104,3	5,33	5,1	1,24
574,5	1971	71,1	8,14	7,27	2,42
584,5	3330	70,9	13,71	12,22	4,08
594,5	3219	74,1	13,9	12,52	4,02
604,5	3098	75,1	13,58	12,27	3,89
614,5	3170	73,5	13,57	12,19	3,94
