STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211005,045352,16740,5.65,9.10,11.63,12.14,19.0,51.7,31.14,41.37,44.86,45.47,45.58,0.91,0,0,3.71,15.0,65.7,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211005,045353,17809,3.00,7.22,10.49,11.14,18.9,51.7,10.73,19.26,23.68,24.47,24.59,1.08,0,0,3.71,14.9,65.7,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211005,045353,18879,2.94,4.80,6.17,6.44,18.8,51.6,16.06,21.47,23.35,23.68,23.74,0.99,0,0,3.71,14.8,65.6,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211005,045355,19950,2.98,4.12,4.90,5.06,18.8,51.6,18.11,22.62,23.72,23.92,23.95,0.85,0,0,3.71,14.8,65.5,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211005,045356,21021,3.03,3.73,4.16,4.25,18.8,51.5,19.51,23.50,24.14,24.25,24.27,0.76,0,0,3.71,14.8,65.5,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211005,045357,22092,3.10,3.82,4.26,4.35,18.8,51.5,19.96,24.04,24.69,24.80,24.82,0.76,0,0,3.71,14.8,65.5,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211005,045358,23159,3.13,3.75,4.11,4.19,18.8,51.5,20.42,24.41,24.95,25.04,25.06,0.72,0,0,3.71,14.8,65.5,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211005,045359,24229,3.16,3.75,4.09,4.16,18.8,51.5,20.66,24.64,25.16,25.24,25.26,0.72,0,0,3.71,14.8,65.5,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211005,045400,25299,3.17,3.78,4.13,4.20,18.7,51.5,20.71,24.72,25.25,25.34,25.36,0.73,0,0,3.71,14.7,65.4,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211005,045402,26376,3.16,3.72,4.02,4.08,18.6,51.4,20.81,24.74,25.21,25.29,25.30,0.70,0,0,3.71,14.6,65.3,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211005,045403,27446,3.16,3.66,3.92,3.97,18.6,51.4,20.92,24.78,25.19,25.26,25.27,0.69,0,0,3.71,14.6,65.3,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211005,045404,28517,3.14,3.56,3.74,3.78,18.6,51.4,21.02,24.75,25.06,25.12,25.13,0.67,0,0,3.71,14.6,65.3,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211005,045405,29588,3.16,3.57,3.76,3.80,18.5,51.4,21.18,24.92,25.23,25.28,25.30,0.65,0,0,3.71,14.5,65.3,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20211005,045406,30655,3.21,3.61,3.79,3.83,18.5,51.4,21.55,25.33,25.63,25.68,25.69,0.64,0,0,3.71,14.5,65.4,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20211005,045406,31726,3.25,3.65,3.82,3.85,18.6,51.4,21.85,25.67,25.95,26.00,26.01,0.64,0,0,3.71,14.6,65.4,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20211005,045408,32798,3.30,3.73,3.92,3.96,18.5,51.4,22.07,25.98,26.31,26.36,26.37,0.65,0,0,3.71,14.5,65.3,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211005,045409,33866,3.37,3.73,3.87,3.90,18.5,51.4,22.73,26.62,26.87,26.91,26.92,0.61,0,0,3.71,14.5,65.4,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211005,045410,34938,3.43,3.78,3.91,3.93,18.5,51.4,23.18,27.12,27.36,27.40,27.41,0.62,0,0,3.71,14.5,65.4,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211005,045411,36010,3.51,3.87,4.00,4.02,18.5,51.4,23.75,27.78,28.02,28.06,28.07,0.60,0,0,3.71,14.5,65.4,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211005,045412,37082,3.61,4.00,4.14,4.17,18.6,51.5,24.35,28.52,28.78,28.83,28.84,0.60,0,0,3.71,14.6,65.5,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20211005,045413,38150,3.68,4.09,4.25,4.28,18.5,51.6,24.78,29.04,29.33,29.37,29.39,0.60,0,0,3.71,14.5,65.6,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20211005,045415,39222,3.75,4.15,4.29,4.32,18.5,51.7,25.36,29.68,29.94,29.99,30.00,0.59,0,0,3.71,14.5,65.7,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20211005,045416,40293,3.84,4.28,4.46,4.49,18.5,51.7,25.83,30.29,30.61,30.66,30.67,0.61,0,0,3.71,14.5,65.8,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20211005,045417,41365,3.92,4.38,4.57,4.60,18.5,51.7,26.36,30.93,31.26,31.32,31.33,0.61,0,0,3.71,14.5,65.8,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20211005,045418,42432,3.96,4.42,4.60,4.64,18.6,51.8,26.64,31.26,31.58,31.64,31.65,0.61,0,0,3.71,14.6,65.9,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20211005,045419,43504,4.01,4.45,4.62,4.65,18.5,51.8,27.01,31.64,31.95,32.00,32.02,0.61,0,0,3.71,14.5,65.9,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20211005,045419,44576,4.02,4.46,4.63,4.67,18.5,51.8,27.14,31.80,32.10,32.15,32.16,0.60,0,0,3.71,14.5,65.9,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20211005,045421,45644,4.04,4.48,4.66,4.69,18.6,52.0,27.25,31.93,32.24,32.29,32.30,0.59,0,0,3.71,14.6,66.1,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20211005,045422,46716,4.04,4.46,4.61,4.64,18.5,52.2,27.30,31.94,32.23,32.27,32.28,0.59,0,0,3.71,14.5,66.4,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20211005,045423,47788,4.04,4.45,4.59,4.62,18.5,52.4,27.32,31.95,32.23,32.27,32.28,0.59,0,0,3.71,14.5,66.6,31A
30,0.000000,0.000000,0,-1.0,0.0,0,20211005,045424,48860,4.03,4.45,4.60,4.63,18.5,52.4,27.27,31.90,32.18,32.22,32.24,0.59,0,0,3.71,14.5,66.6,31A
31,0.000000,0.000000,0,-1.0,0.0,0,20211005,045425,49928,4.03,4.43,4.57,4.60,18.5,52.4,27.25,31.87,32.14,32.18,32.19,0.59,0,0,3.71,14.5,66.6,31A
32,0.000000,0.000000,0,-1.0,0.0,0,20211005,045426,51000,4.01,4.41,4.55,4.58,18.5,52.3,27.15,31.74,32.00,32.05,32.06,0.59,0,0,3.71,14.5,66.5,31A
33,0.000000,0.000000,0,-1.0,0.0,0,20211005,045428,52072,3.99,4.39,4.53,4.55,18.5,52.3,27.02,31.59,31.85,31.89,31.90,0.59,0,0,3.71,14.5,66.5,31A
34,0.000000,0.000000,0,-1.0,0.0,0,20211005,045429,53140,3.96,4.35,4.48,4.50,18.5,52.2,26.84,31.36,31.61,31.66,31.67,0.59,0,0,3.71,14.5,66.4,31A
35,0.000000,0.000000,0,-1.0,0.0,0,20211005,045430,54212,3.93,4.32,4.45,4.48,18.5,52.1,26.64,31.13,31.39,31.43,31.44,0.59,0,0,3.71,14.5,66.3,31A
36,0.000000,0.000000,0,-1.0,0.0,0,20211005,045431,55283,3.90,4.28,4.40,4.43,18.5,52.1,26.46,30.91,31.15,31.19,31.20,0.60,0,0,3.71,14.5,66.2,31A
37,0.000000,0.000000,0,-1.0,0.0,0,20211005,045432,56356,3.88,4.25,4.37,4.39,18.5,52.0,26.33,30.74,30.98,31.01,31.03,0.59,0,0,3.71,14.5,66.2,31A
38,0.000000,0.000000,0,-1.0,0.0,0,20211005,045432,57424,3.87,4.24,4.37,4.39,18.5,52.0,26.20,30.62,30.86,30.90,30.91,0.59,0,0,3.71,14.5,66.1,31A
39,0.000000,0.000000,0,-1.0,0.0,0,20211005,045434,58495,3.85,4.22,4.34,4.36,18.5,52.2,26.10,30.48,30.72,30.76,30.77,0.59,0,0,3.71,14.5,66.3,31A
40,0.000000,0.000000,0,-1.0,0.0,0,20211005,045435,59567,3.84,4.20,4.32,4.34,18.5,52.7,26.03,30.39,30.62,30.66,30.67,0.59,0,0,3.71,14.5,67.0,31A
41,0.000000,0.000000,0,-1.0,0.0,0,20211005,045436,60635,3.82,4.20,4.32,4.34,18.5,53.1,25.90,30.26,30.50,30.54,30.55,0.59,0,0,3.71,14.5,67.6,31A
42,0.000000,0.000000,0,-1.0,0.0,0,20211005,045437,61706,3.80,4.16,4.29,4.31,18.5,53.1,25.73,30.06,30.29,30.33,30.34,0.59,0,0,3.71,14.5,67.6,31A
43,0.000000,0.000000,0,-1.0,0.0,0,20211005,045438,62778,3.79,4.16,4.28,4.31,18.4,53.0,25.64,29.96,30.20,30.24,30.25,0.58,0,0,3.71,14.4,67.5,31A
44,0.000000,0.000000,0,-1.0,0.0,0,20211005,045438,63850,3.77,4.14,4.27,4.29,18.4,52.9,25.49,29.80,30.05,30.09,30.10,0.58,0,0,3.71,14.4,67.3,31A
45,0.000000,0.000000,0,-1.0,0.0,0,20211005,045439,64918,3.75,4.11,4.23,4.25,18.4,52.8,25.43,29.70,29.93,29.97,29.98,0.58,0,0,3.71,14.4,67.2,31A
46,0.000000,0.000000,0,-1.0,0.0,0,20211005,045441,65990,3.72,4.08,4.20,4.23,18.4,52.7,25.18,29.43,29.66,29.70,29.71,0.59,0,0,3.71,14.4,67.0,31A
47,0.000000,0.000000,0,-1.0,0.0,0,20211005,045442,67062,3.69,4.06,4.18,4.20,18.4,52.5,25.01,29.23,29.47,29.51,29.52,0.58,0,0,3.71,14.4,66.8,31A
48,0.000000,0.000000,0,-1.0,0.0,0,20211005,045443,68130,3.66,4.02,4.14,4.16,18.4,52.4,24.77,28.95,29.18,29.22,29.23,0.58,0,0,3.71,14.4,66.7,31A
49,0.000000,0.000000,0,-1.0,0.0,0,20211005,045444,69202,3.62,3.98,4.11,4.14,18.4,52.4,24.49,28.63,28.87,28.91,28.92,0.58,0,0,3.71,14.4,66.6,31A
50,0.000000,0.000000,0,-1.0,0.0,0,20211005,045445,70274,3.58,3.93,4.05,4.08,18.3,52.3,24.22,28.32,28.55,28.59,28.60,0.58,0,0,3.71,14.3,66.6,31A
51,0.000000,0.000000,0,-1.0,0.0,0,20211005,045447,71346,3.54,3.89,4.01,4.03,18.3,52.3,23.94,27.99,28.22,28.26,28.27,0.58,0,0,3.71,14.3,66.6,31A
52,0.000000,0.000000,0,-1.0,0.0,0,20211005,045448,72414,3.54,3.88,4.00,4.02,18.3,52.3,23.95,27.99,28.21,28.25,28.26,0.58,0,0,3.71,14.3,66.6,31A
53,0.000000,0.000000,0,-1.0,0.0,0,20211005,045449,73486,3.56,3.90,4.00,4.03,18.3,52.3,24.14,28.19,28.41,28.44,28.45,0.57,0,0,3.71,14.3,66.5,31A
54,0.000000,0.000000,0,-1.0,0.0,0,20211005,045450,74558,3.57,3.91,4.02,4.04,18.3,52.3,24.22,28.29,28.50,28.53,28.54,0.58,0,0,3.71,14.3,66.5,31A
55,0.000000,0.000000,0,-1.0,0.0,0,20211005,045451,75630,3.55,3.89,4.00,4.03,18.4,52.3,24.08,28.13,28.35,28.39,28.40,0.58,0,0,3.71,14.4,66.5,31A
56,0.000000,0.000000,0,-1.0,0.0,0,20211005,045451,76698,3.53,3.87,3.98,4.00,18.3,52.2,23.91,27.93,28.15,28.18,28.19,0.58,0,0,3.71,14.3,66.4,31A
57,0.000000,0.000000,0,-1.0,0.0,0,20211005,045452,77770,3.51,3.84,3.95,3.97,18.3,52.2,23.76,27.76,27.97,28.01,28.02,0.57,0,0,3.71,14.3,66.4,31A
58,0.000000,0.000000,0,-1.0,0.0,0,20211005,045454,78842,3.47,3.80,3.91,3.93,18.3,52.2,23.54,27.50,27.71,27.74,27.75,0.57,0,0,3.71,14.3,66.4,31A
59,0.000000,0.000000,0,-1.0,0.0,0,20211005,045455,79910,3.45,3.78,3.89,3.91,18.3,52.2,23.35,27.28,27.50,27.53,27.54,0.57,0,0,3.71,14.3,66.4,31A
60,0.000000,0.000000,0,-1.0,0.0,0,20211005,045456,80982,3.48,3.82,3.93,3.95,18.3,52.2,23.56,27.53,27.75,27.79,27.80,0.57,0,0,3.71,14.3,66.4,31A
61,0.000000,0.000000,0,-1.0,0.0,0,20211005,045457,82054,3.51,3.85,3.96,3.98,18.3,52.2,23.79,27.79,28.00,28.04,28.05,0.57,0,0,3.71,14.3,66.4,31A
62,0.000000,0.000000,0,-1.0,0.0,0,20211005,045458,83126,3.52,3.86,3.98,4.00,18.3,52.2,23.85,27.87,28.09,28.13,28.14,0.57,0,0,3.71,14.3,66.4,31A
63,0.000000,0.000000,0,-1.0,0.0,0,20211005,045500,84194,3.56,3.90,4.01,4.03,18.3,52.2,24.15,28.21,28.42,28.46,28.47,0.56,0,0,3.71,14.3,66.5,31A
64,0.000000,0.000000,0,-1.0,0.0,0,20211005,045501,85265,3.64,3.98,4.09,4.11,18.2,52.3,24.65,28.78,29.00,29.04,29.05,0.57,0,0,3.71,14.2,66.5,31A
65,0.000000,0.000000,0,-1.0,0.0,0,20211005,045502,86337,3.73,4.07,4.18,4.20,18.2,52.3,25.28,29.51,29.72,29.76,29.77,0.56,0,0,3.71,14.2,66.5,31A
66,0.000000,0.000000,0,-1.0,0.0,0,20211005,045503,87405,3.80,4.15,4.26,4.28,18.2,52.3,25.80,30.12,30.34,30.37,30.38,0.56,0,0,3.71,14.2,66.5,31A
67,0.000000,0.000000,0,-1.0,0.0,0,20211005,045504,88477,3.87,4.22,4.33,4.35,18.2,52.3,26.30,30.69,30.91,30.94,30.95,0.57,0,0,3.71,14.2,66.6,31A
68,0.000000,0.000000,0,-1.0,0.0,0,20211005,045504,89549,3.96,4.32,4.43,4.45,18.2,52.4,26.89,31.38,31.61,31.64,31.65,0.57,0,0,3.71,14.2,66.7,31A
69,0.000000,0.000000,0,-1.0,0.0,0,20211005,045505,90621,4.10,4.47,4.57,4.60,18.2,52.4,27.89,32.53,32.75,32.79,32.80,0.57,0,0,3.71,14.2,66.7,31A
70,0.000000,0.000000,0,-1.0,0.0,0,20211005,045507,91689,4.18,4.54,4.65,4.67,18.2,52.4,28.38,33.10,33.32,33.36,33.37,0.57,0,0,3.71,14.2,66.7,31A
71,0.000000,0.000000,0,-1.0,0.0,0,20211005,045508,92761,4.23,4.60,4.71,4.73,18.2,52.4,28.73,33.50,33.73,33.76,33.77,0.57,0,0,3.71,14.2,66.7,31A
72,0.000000,0.000000,0,-1.0,0.0,0,20211005,045509,93833,4.25,4.62,4.73,4.75,18.2,52.4,28.91,33.71,33.93,33.96,33.97,0.57,0,0,3.71,14.2,66.7,31A
73,0.000000,0.000000,0,-1.0,0.0,0,20211005,045510,94901,4.24,4.61,4.71,4.73,18.2,52.5,28.86,33.64,33.86,33.90,33.91,0.57,0,0,3.71,14.2,66.8,31A
74,0.000000,0.000000,0,-1.0,0.0,0,20211005,045511,95973,4.24,4.61,4.71,4.74,18.2,52.5,28.79,33.58,33.80,33.84,33.85,0.57,0,0,3.71,14.2,66.8,31A
75,0.000000,0.000000,0,-1.0,0.0,0,20211005,045513,97045,4.21,4.59,4.70,4.72,18.2,52.5,28.64,33.40,33.63,33.66,33.67,0.57,0,0,3.71,14.2,66.8,31A
76,0.000000,0.000000,0,-1.0,0.0,0,20211005,045514,98117,4.20,4.57,4.68,4.70,18.2,52.5,28.51,33.25,33.48,33.51,33.52,0.57,0,0,3.71,14.2,66.9,31A
77,0.000000,0.000000,0,-1.0,0.0,0,20211005,045515,99185,4.19,4.56,4.67,4.69,18.2,52.5,28.43,33.17,33.40,33.43,33.44,0.57,0,0,3.71,14.2,66.9,31A
78,0.000000,0.000000,0,-1.0,0.0,0,20211005,045516,100257,4.16,4.54,4.65,4.67,18.2,52.6,28.27,32.99,33.22,33.26,33.27,0.57,0,0,3.71,14.2,66.9,31A
