STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211005,130244,16766,16.14,43.69,65.24,69.55,18.3,70.7,45.76,98.02,127.07,132.21,133.06,1.26,0,0,3.56,14.3,89.9,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211005,130245,17842,11.46,30.19,44.82,47.75,18.3,70.6,34.53,70.55,90.29,93.78,94.35,1.44,0,0,3.56,14.3,89.8,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211005,130246,18914,11.44,29.28,43.19,45.98,18.3,70.5,36.54,71.39,90.17,93.49,94.03,1.41,0,0,3.56,14.3,89.7,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211005,130247,19991,11.52,29.85,44.15,47.01,18.4,70.5,35.92,71.48,90.78,94.19,94.75,1.42,0,0,3.56,14.4,89.6,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211005,130248,21067,11.59,30.18,44.68,47.58,18.4,70.4,35.77,71.73,91.30,94.77,95.33,1.41,0,0,3.56,14.4,89.6,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211005,130250,22143,11.63,30.02,44.36,47.23,18.3,70.3,36.58,72.32,91.68,95.10,95.66,1.38,0,0,3.56,14.3,89.5,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211005,130251,23217,11.62,28.87,42.28,44.97,18.4,70.2,39.31,73.56,91.68,94.89,95.41,1.34,0,0,3.56,14.4,89.4,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211005,130252,24293,11.71,28.49,41.53,44.14,18.4,70.4,41.08,74.82,92.44,95.55,96.06,1.32,0,0,3.56,14.4,89.5,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211005,130253,25369,11.78,27.34,39.39,41.80,18.4,70.5,44.50,76.72,93.03,95.91,96.38,1.27,0,0,3.55,14.4,89.7,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211005,130254,26441,11.95,28.06,40.55,43.04,18.4,70.6,44.35,77.45,94.34,97.33,97.82,1.28,0,0,3.56,14.4,89.8,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211005,130255,27517,12.01,27.62,39.69,42.11,18.4,70.6,46.02,78.53,94.87,97.76,98.24,1.26,0,0,3.56,14.4,89.8,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211005,130256,28594,12.06,27.75,39.89,42.32,18.5,70.5,46.18,78.85,95.28,98.18,98.66,1.26,0,0,3.56,14.5,89.7,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211005,130257,29672,12.26,28.93,41.85,44.43,18.5,70.4,45.21,79.36,96.83,99.92,100.43,1.27,0,0,3.56,14.5,89.6,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20211005,130258,30745,12.28,28.40,40.88,43.37,18.5,70.3,46.69,80.15,97.03,100.01,100.50,1.25,0,0,3.56,14.5,89.4,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20211005,130259,31814,12.38,28.84,41.59,44.13,18.5,70.2,46.58,80.58,97.82,100.87,101.37,1.25,0,0,3.55,14.5,89.3,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20211005,130300,32882,12.43,28.72,41.32,43.84,18.5,70.1,47.33,81.15,98.21,101.22,101.72,1.24,0,0,3.56,14.5,89.1,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211005,130302,33957,12.45,28.36,40.65,43.10,18.6,70.0,48.43,81.77,98.41,101.35,101.83,1.23,0,0,3.56,14.6,89.0,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211005,130302,35026,12.61,29.35,42.31,44.91,18.6,69.9,47.47,82.06,99.60,102.70,103.21,1.24,0,0,3.56,14.6,88.9,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211005,130304,36095,12.72,29.59,42.66,45.27,18.6,69.8,47.90,82.78,100.45,103.58,104.09,1.23,0,0,3.56,14.6,88.7,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211005,130306,37172,12.78,29.42,42.29,44.87,18.7,69.7,48.91,83.55,100.97,104.05,104.55,1.23,0,0,3.56,14.7,88.6,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20211005,130307,38242,12.86,29.37,42.13,44.68,18.7,69.6,49.80,84.35,101.62,104.67,105.18,1.22,0,0,3.55,14.7,88.5,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20211005,130308,39312,12.95,29.22,41.78,44.30,18.7,69.7,51.00,85.32,102.34,105.34,105.84,1.21,0,0,3.55,14.7,88.6,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20211005,130309,40382,13.07,29.20,41.65,44.14,18.7,69.6,52.22,86.49,103.35,106.33,106.82,1.19,0,0,3.55,14.7,88.5,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20211005,130310,41459,13.19,29.29,41.71,44.19,18.8,69.6,53.06,87.41,104.23,107.20,107.70,1.18,0,0,3.55,14.8,88.5,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20211005,130311,42528,13.27,29.03,41.17,43.60,18.7,69.6,54.51,88.50,104.96,107.86,108.34,1.17,0,0,3.56,14.7,88.5,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20211005,130312,43597,13.29,28.94,40.99,43.40,18.8,69.7,54.89,88.76,105.09,107.97,108.45,1.16,0,0,3.55,14.8,88.7,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20211005,130313,44673,13.32,28.91,40.91,43.31,18.8,69.8,55.28,89.10,105.37,108.24,108.72,1.16,0,0,3.55,14.8,88.7,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20211005,130314,45742,13.33,28.93,40.93,43.33,18.8,69.8,55.35,89.18,105.45,108.33,108.80,1.16,0,0,3.56,14.8,88.7,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20211005,130315,46811,13.33,28.93,40.94,43.35,18.8,69.8,55.29,89.13,105.41,108.29,108.76,1.16,0,0,3.55,14.8,88.7,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20211005,130315,47880,13.34,28.95,40.97,43.38,18.8,69.7,55.32,89.19,105.49,108.36,108.84,1.16,0,0,3.55,14.8,88.5,31A
30,0.000000,0.000000,0,-1.0,0.0,0,20211005,130317,48957,13.35,28.98,41.00,43.41,18.8,69.5,55.39,89.29,105.59,108.47,108.95,1.15,0,0,3.55,14.8,88.4,31A
31,0.000000,0.000000,0,-1.0,0.0,0,20211005,130318,50027,13.38,29.01,41.05,43.45,18.9,69.4,55.53,89.47,105.78,108.66,109.14,1.15,0,0,3.55,14.9,88.3,31A
32,0.000000,0.000000,0,-1.0,0.0,0,20211005,130319,51097,13.42,29.09,41.14,43.55,18.9,69.3,55.79,89.81,106.15,109.03,109.51,1.15,0,0,3.56,14.9,88.1,31A
33,0.000000,0.000000,0,-1.0,0.0,0,20211005,130320,52174,13.49,29.21,41.32,43.74,18.9,69.2,56.10,90.26,106.67,109.57,110.05,1.15,0,0,3.55,14.9,87.9,31A
34,0.000000,0.000000,0,-1.0,0.0,0,20211005,130321,53244,13.49,29.19,41.27,43.69,18.9,69.1,56.20,90.34,106.71,109.61,110.09,1.14,0,0,3.55,14.9,87.8,31A
35,0.000000,0.000000,0,-1.0,0.0,0,20211005,130322,54313,13.51,29.19,41.25,43.67,18.9,68.9,56.36,90.48,106.84,109.73,110.21,1.14,0,0,3.55,14.9,87.6,31A
36,0.000000,0.000000,0,-1.0,0.0,0,20211005,130323,55389,13.50,29.16,41.20,43.61,18.9,68.8,56.39,90.48,106.81,109.69,110.17,1.15,0,0,3.55,14.9,87.4,31A
37,0.000000,0.000000,0,-1.0,0.0,0,20211005,130325,56458,13.53,29.17,41.19,43.59,19.0,68.6,56.64,90.73,107.04,109.91,110.39,1.13,0,0,3.55,15.0,87.2,31A
38,0.000000,0.000000,0,-1.0,0.0,0,20211005,130326,57527,13.58,29.22,41.25,43.65,19.0,68.5,56.97,91.12,107.43,110.30,110.78,1.13,0,0,3.55,15.0,87.1,31A
39,0.000000,0.000000,0,-1.0,0.0,0,20211005,130327,58596,13.76,29.52,41.64,44.06,19.0,68.4,57.95,92.44,108.87,111.77,112.25,1.13,0,0,3.55,15.0,86.9,31A
40,0.000000,0.000000,0,-1.0,0.0,0,20211005,130328,59672,13.80,29.55,41.67,44.09,19.0,68.3,58.20,92.72,109.15,112.05,112.53,1.12,0,0,3.55,15.0,86.8,31A
41,0.000000,0.000000,0,-1.0,0.0,0,20211005,130328,60741,13.84,29.60,41.71,44.13,19.0,68.2,58.50,93.07,109.49,112.39,112.87,1.13,0,0,3.55,15.0,86.7,31A
42,0.000000,0.000000,0,-1.0,0.0,0,20211005,130330,61810,13.90,29.69,41.82,44.24,19.0,68.1,58.84,93.50,109.96,112.86,113.34,1.13,0,0,3.55,15.0,86.5,31A
43,0.000000,0.000000,0,-1.0,0.0,0,20211005,130331,62886,13.97,29.80,41.97,44.40,19.0,68.0,59.21,94.01,110.51,113.42,113.90,1.12,0,0,3.55,15.0,86.4,31A
44,0.000000,0.000000,0,-1.0,0.0,0,20211005,130332,63955,14.01,29.85,42.01,44.45,19.1,67.9,59.48,94.32,110.83,113.74,114.23,1.12,0,0,3.55,15.1,86.3,31A
45,0.000000,0.000000,0,-1.0,0.0,0,20211005,130333,65025,14.07,29.91,42.07,44.50,19.1,67.8,59.95,94.85,111.35,114.26,114.75,1.11,0,0,3.55,15.1,86.2,31A
46,0.000000,0.000000,0,-1.0,0.0,0,20211005,130334,66095,14.16,30.01,42.17,44.60,19.1,67.7,60.53,95.54,112.04,114.95,115.44,1.10,0,0,3.55,15.1,86.0,31A
47,0.000000,0.000000,0,-1.0,0.0,0,20211005,130335,67172,14.22,30.05,42.20,44.63,19.1,67.6,60.99,96.03,112.52,115.43,115.91,1.10,0,0,3.55,15.1,85.9,31A
48,0.000000,0.000000,0,-1.0,0.0,0,20211005,130336,68242,14.30,30.12,42.27,44.69,19.1,67.6,61.56,96.68,113.15,116.06,116.55,1.09,0,0,3.55,15.1,85.9,31A
49,0.000000,0.000000,0,-1.0,0.0,0,20211005,130337,69311,14.38,30.20,42.33,44.76,19.2,67.5,62.09,97.28,113.75,116.66,117.14,1.09,0,0,3.55,15.2,85.7,31A
