STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,053902,16661,11.34,17.45,21.87,22.75,21.8,51.8,64.90,84.16,90.12,91.15,91.33,0.87,0,0,3.67,17.8,65.5,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,053903,17737,10.02,21.86,30.98,32.81,21.8,51.8,41.90,67.22,79.22,81.29,81.65,1.06,0,0,3.68,17.8,65.4,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,053904,18809,10.49,16.27,20.45,21.29,21.8,51.8,59.79,77.77,83.41,84.38,84.55,0.81,0,0,3.68,17.8,65.5,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,053905,19884,10.67,13.82,15.87,16.28,21.8,51.8,67.36,82.13,85.02,85.51,85.60,0.65,0,0,3.68,17.8,65.5,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,053906,20959,10.60,13.70,15.72,16.12,21.8,51.7,66.92,81.56,84.41,84.89,84.98,0.70,0,0,3.68,17.8,65.4,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,053907,22034,10.59,13.05,14.55,14.86,21.8,51.7,68.37,82.18,84.36,84.73,84.80,0.67,0,0,3.67,17.8,65.3,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,053909,23105,10.58,12.78,14.07,14.33,21.8,51.7,68.99,82.45,84.36,84.68,84.74,0.64,0,0,3.68,17.8,65.4,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,053910,24180,10.54,12.58,13.75,13.99,21.8,51.7,69.02,82.25,84.00,84.29,84.35,0.62,0,0,3.68,17.8,65.3,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,053911,25255,10.50,12.33,13.32,13.52,21.8,51.7,69.31,82.21,83.73,83.98,84.03,0.63,0,0,3.68,17.8,65.3,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,053912,26326,10.46,11.94,12.66,12.80,21.8,51.7,69.88,82.30,83.46,83.64,83.69,0.60,0,0,3.68,17.8,65.3,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,053913,27401,10.37,11.87,12.60,12.75,21.8,51.6,69.18,81.53,82.71,82.90,82.95,0.60,0,0,3.67,17.8,65.2,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,053914,28476,10.29,11.80,12.54,12.69,21.8,51.6,68.62,80.90,82.09,82.28,82.33,0.60,0,0,3.67,17.8,65.3,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,053915,29551,10.28,11.56,12.13,12.24,21.8,51.6,69.06,81.04,82.00,82.15,82.19,0.58,0,0,3.67,17.8,65.2,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,053916,30622,10.27,11.43,11.89,11.98,21.8,51.6,69.29,81.10,81.94,82.07,82.10,0.58,0,0,3.67,17.8,65.3,286
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,053917,31697,10.22,11.43,11.94,12.04,21.8,51.6,68.78,80.61,81.50,81.64,81.67,0.59,0,0,3.67,17.8,65.2,286
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,053918,32772,10.21,11.46,11.99,12.10,21.8,51.6,68.66,80.52,81.45,81.59,81.63,0.60,0,0,3.67,17.8,65.2,286
16,0.000000,0.000000,0,-1.0,0.0,0,20211006,053919,33843,10.19,11.42,11.93,12.04,21.8,51.6,68.57,80.39,81.29,81.43,81.47,0.59,0,0,3.67,17.8,65.2,286
17,0.000000,0.000000,0,-1.0,0.0,0,20211006,053920,34919,10.17,11.40,11.92,12.02,21.8,51.6,68.44,80.23,81.14,81.28,81.32,0.59,0,0,3.68,17.8,65.2,286
18,0.000000,0.000000,0,-1.0,0.0,0,20211006,053920,35995,10.17,11.33,11.80,11.89,21.8,51.5,68.57,80.28,81.12,81.26,81.29,0.59,0,0,3.68,17.8,65.1,286
19,0.000000,0.000000,0,-1.0,0.0,0,20211006,053923,37071,10.18,11.35,11.82,11.92,21.8,51.5,68.61,80.34,81.19,81.32,81.36,0.60,0,0,3.67,17.8,65.1,286
20,0.000000,0.000000,0,-1.0,0.0,0,20211006,053924,38144,10.17,11.25,11.66,11.74,21.8,51.4,68.73,80.34,81.10,81.22,81.25,0.58,0,0,3.68,17.8,65.0,286
21,0.000000,0.000000,0,-1.0,0.0,0,20211006,053926,39220,10.13,11.19,11.58,11.66,21.8,51.4,68.50,80.04,80.78,80.89,80.92,0.58,0,0,3.68,17.8,64.9,286
22,0.000000,0.000000,0,-1.0,0.0,0,20211006,053927,40296,10.11,11.25,11.71,11.80,21.8,51.3,68.20,79.83,80.65,80.78,80.81,0.58,0,0,3.67,17.8,64.8,286
23,0.000000,0.000000,0,-1.0,0.0,0,20211006,053928,41368,10.14,11.23,11.64,11.72,21.8,51.2,68.55,80.13,80.90,81.01,81.04,0.58,0,0,3.67,17.8,64.7,286
24,0.000000,0.000000,0,-1.0,0.0,0,20211006,053929,42443,10.18,11.32,11.76,11.85,21.8,51.2,68.73,80.42,81.23,81.35,81.38,0.58,0,0,3.67,17.8,64.7,286
25,0.000000,0.000000,0,-1.0,0.0,0,20211006,053930,43519,10.21,11.32,11.73,11.82,21.8,51.1,69.01,80.69,81.47,81.59,81.62,0.58,0,0,3.67,17.8,64.6,286
26,0.000000,0.000000,0,-1.0,0.0,0,20211006,053931,44590,10.24,11.31,11.70,11.77,21.8,51.1,69.25,80.91,81.65,81.77,81.80,0.58,0,0,3.67,17.8,64.6,286
