STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,053904,16688,14.36,21.44,26.51,27.52,22.0,52.5,83.78,107.32,114.19,115.37,115.58,0.83,0,0,3.67,18.0,66.4,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,053905,17763,7.64,8.08,8.08,8.08,22.0,52.6,52.58,60.82,61.00,61.02,61.03,0.44,0,0,3.67,18.0,66.5,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,053906,18835,7.62,8.06,8.06,8.06,22.0,52.6,52.45,60.67,60.85,60.87,60.88,0.43,0,0,3.67,18.0,66.5,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,053907,19911,7.62,8.05,8.05,8.05,22.0,52.6,52.39,60.60,60.78,60.80,60.81,0.55,0,0,3.67,18.0,66.4,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,053908,20987,7.74,8.67,9.06,9.14,22.0,52.6,52.10,61.07,61.75,61.86,61.89,0.59,0,0,3.67,18.0,66.4,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,053909,22063,7.81,8.78,9.20,9.28,22.0,52.6,52.51,61.60,62.32,62.44,62.46,0.57,0,0,3.67,18.0,66.5,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,053911,23134,7.86,8.78,9.15,9.22,22.0,52.6,52.99,62.06,62.73,62.83,62.86,0.56,0,0,3.67,18.0,66.5,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,053912,24210,7.86,8.31,8.31,8.31,22.0,52.6,54.09,62.57,62.75,62.77,62.78,0.54,0,0,3.67,18.0,66.5,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,053913,25286,7.93,8.39,8.39,8.39,22.0,52.7,54.56,63.12,63.30,63.32,63.33,0.54,0,0,3.67,18.0,66.5,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,053914,26357,8.01,8.47,8.47,8.47,22.0,52.7,55.10,63.74,63.92,63.94,63.96,0.53,0,0,3.67,18.0,66.6,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,053915,27432,8.09,8.56,8.56,8.56,22.0,52.7,55.69,64.42,64.60,64.63,64.64,0.54,0,0,3.67,18.0,66.6,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,053916,28508,8.19,8.66,8.66,8.66,22.0,52.7,56.35,65.18,65.37,65.39,65.41,0.55,0,0,3.67,18.0,66.6,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,053917,29584,8.26,8.73,8.73,8.73,22.0,52.7,56.81,65.71,65.90,65.92,65.93,0.54,0,0,3.67,18.0,66.6,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,053918,30656,8.39,8.88,8.88,8.88,22.0,52.6,57.74,66.79,66.98,67.00,67.02,0.54,0,0,3.67,18.0,66.5,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,053919,31732,8.44,8.93,8.93,8.93,22.0,52.6,58.09,67.20,67.40,67.42,67.43,0.53,0,0,3.67,18.0,66.5,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,053920,32808,8.48,8.97,8.97,8.97,22.0,52.6,58.33,67.47,67.67,67.69,67.70,0.53,0,0,3.67,18.0,66.5,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20211006,053921,33880,8.47,8.96,8.96,8.96,22.0,52.6,58.28,67.42,67.62,67.64,67.65,0.53,0,0,3.67,18.0,66.4,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20211006,053922,34956,8.47,8.96,8.96,8.96,22.0,52.5,58.28,67.41,67.61,67.63,67.65,0.54,0,0,3.67,18.0,66.4,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20211006,053924,36033,8.45,8.94,8.94,8.94,22.0,52.4,58.13,67.24,67.44,67.46,67.47,0.54,0,0,3.67,18.0,66.3,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20211006,053926,37110,8.46,8.95,8.95,8.95,22.0,52.3,58.22,67.34,67.54,67.56,67.58,0.54,0,0,3.67,18.0,66.1,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20211006,053927,38183,8.46,8.94,8.94,8.94,22.0,52.2,58.19,67.31,67.51,67.53,67.54,0.55,0,0,3.66,18.0,66.0,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20211006,053928,39259,8.47,8.95,8.95,8.95,22.0,52.2,58.24,67.37,67.57,67.59,67.60,0.53,0,0,3.67,18.0,65.9,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20211006,053929,40336,8.47,8.96,8.96,8.96,22.0,52.1,58.27,67.40,67.60,67.62,67.63,0.54,0,0,3.67,18.0,65.8,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20211006,053930,41412,8.54,9.03,9.03,9.03,22.0,52.1,58.72,67.92,68.12,68.14,68.16,0.53,0,0,3.67,18.0,65.8,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20211006,053931,42484,8.61,9.11,9.11,9.11,22.0,52.0,59.24,68.52,68.73,68.75,68.76,0.53,0,0,3.67,18.0,65.7,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20211006,053932,43560,8.71,9.21,9.21,9.21,22.0,52.0,59.95,69.34,69.54,69.57,69.58,0.53,0,0,3.67,18.0,65.7,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20211006,053933,44636,8.89,9.40,9.40,9.40,22.0,52.0,61.17,70.76,70.97,70.99,71.00,0.53,0,0,3.66,18.0,65.7,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20211006,053934,45708,8.94,9.46,9.46,9.46,22.0,52.1,61.53,71.18,71.39,71.41,71.42,0.53,0,0,3.66,18.0,65.8,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20211006,053935,46784,8.99,9.50,9.50,9.50,22.0,52.0,61.83,71.52,71.73,71.75,71.76,0.53,0,0,3.67,18.0,65.8,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20211006,053936,47860,8.98,9.50,9.50,9.50,22.0,52.0,61.79,71.48,71.69,71.71,71.72,0.54,0,0,3.67,18.0,65.7,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20211006,053936,48937,8.95,9.47,9.47,9.47,22.0,52.0,61.59,71.24,71.45,71.47,71.49,0.54,0,0,3.66,18.0,65.7,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20211006,053938,50010,8.93,9.45,9.45,9.45,22.0,52.1,61.46,71.10,71.30,71.33,71.34,0.54,0,0,3.67,18.0,65.8,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20211006,053940,51087,8.95,9.46,9.46,9.46,22.0,52.1,61.54,71.18,71.39,71.41,71.43,0.54,0,0,3.67,18.0,65.8,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20211006,053941,52163,8.99,9.51,9.51,9.51,22.0,52.1,61.86,71.55,71.76,71.78,71.80,0.53,0,0,3.67,18.0,65.8,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20211006,053942,53235,9.06,9.58,9.58,9.58,22.0,52.1,62.33,72.10,72.31,72.33,72.35,0.54,0,0,3.67,18.0,65.8,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20211006,053943,54311,9.11,9.64,9.64,9.64,22.0,52.1,62.70,72.53,72.74,72.77,72.78,0.54,0,0,3.67,18.0,65.8,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20211006,053944,55387,9.19,9.72,9.72,9.72,22.0,52.1,63.21,73.12,73.33,73.36,73.37,0.54,0,0,3.66,18.0,65.8,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20211006,053945,56463,9.23,9.76,9.76,9.76,22.0,52.1,63.47,73.42,73.64,73.66,73.67,0.54,0,0,3.66,18.0,65.8,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20211006,053946,57535,9.29,9.82,9.82,9.82,22.0,52.1,63.92,73.93,74.15,74.17,74.19,0.54,0,0,3.66,18.0,65.8,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20211006,053947,58611,9.34,9.88,9.88,9.88,21.9,52.1,64.28,74.36,74.57,74.60,74.61,0.54,0,0,3.67,17.9,65.8,1ED
40,0.000000,0.000000,0,-1.0,0.0,0,20211006,053948,59687,9.40,9.94,9.94,9.94,21.9,52.1,64.68,74.81,75.03,75.06,75.07,0.54,0,0,3.67,17.9,65.8,1ED
41,0.000000,0.000000,0,-1.0,0.0,0,20211006,053949,60759,9.45,9.99,9.99,9.99,21.9,52.1,65.01,75.20,75.42,75.44,75.46,0.54,0,0,3.66,17.9,65.8,1ED
42,0.000000,0.000000,0,-1.0,0.0,0,20211006,053949,61835,9.54,10.09,10.09,10.09,22.0,52.1,65.63,75.92,76.14,76.17,76.18,0.54,0,0,3.67,18.0,65.8,1ED
43,0.000000,0.000000,0,-1.0,0.0,0,20211006,053951,62905,9.60,10.15,10.15,10.15,22.0,52.1,66.06,76.41,76.63,76.66,76.67,0.54,0,0,3.66,18.0,65.9,1ED
44,0.000000,0.000000,0,-1.0,0.0,0,20211006,053952,63974,9.63,10.18,10.18,10.18,22.0,52.2,66.22,76.60,76.82,76.85,76.86,0.54,0,0,3.66,18.0,65.9,1ED
45,0.000000,0.000000,0,-1.0,0.0,0,20211006,053953,65050,9.68,10.23,10.23,10.23,22.0,52.3,66.56,77.00,77.22,77.25,77.26,0.54,0,0,3.66,18.0,66.1,1ED
46,0.000000,0.000000,0,-1.0,0.0,0,20211006,053954,66120,9.73,10.29,10.29,10.29,22.0,52.4,66.92,77.41,77.64,77.66,77.68,0.53,0,0,3.67,18.0,66.2,1ED
47,0.000000,0.000000,0,-1.0,0.0,0,20211006,053955,67190,9.75,10.31,10.31,10.31,22.0,52.5,67.07,77.58,77.81,77.83,77.85,0.53,0,0,3.66,18.0,66.3,1ED
48,0.000000,0.000000,0,-1.0,0.0,0,20211006,053956,68266,9.80,10.36,10.36,10.36,21.9,52.6,67.40,77.96,78.19,78.21,78.23,0.53,0,0,3.66,17.9,66.5,1ED
49,0.000000,0.000000,0,-1.0,0.0,0,20211006,053957,69335,9.83,10.39,10.39,10.39,21.9,52.7,67.60,78.19,78.42,78.45,78.46,0.52,0,0,3.67,17.9,66.6,1ED
50,0.000000,0.000000,0,-1.0,0.0,0,20211006,053959,70404,9.83,10.40,10.40,10.40,21.9,52.7,67.66,78.26,78.49,78.51,78.53,0.52,0,0,3.67,17.9,66.6,1ED
51,0.000000,0.000000,0,-1.0,0.0,0,20211006,054000,71473,9.82,10.38,10.38,10.38,22.0,52.7,67.53,78.11,78.34,78.37,78.38,0.52,0,0,3.67,18.0,66.6,1ED
52,0.000000,0.000000,0,-1.0,0.0,0,20211006,054001,72549,9.81,10.38,10.38,10.38,22.0,52.7,67.50,78.08,78.31,78.33,78.35,0.51,0,0,3.66,18.0,66.6,1ED
53,0.000000,0.000000,0,-1.0,0.0,0,20211006,054002,73618,9.79,10.36,10.36,10.36,22.0,52.8,67.37,77.93,78.16,78.18,78.20,0.52,0,0,3.67,18.0,66.7,1ED
54,0.000000,0.000000,0,-1.0,0.0,0,20211006,054002,74687,9.79,10.35,10.35,10.35,22.0,52.8,67.34,77.89,78.12,78.15,78.16,0.51,0,0,3.66,18.0,66.7,1ED
55,0.000000,0.000000,0,-1.0,0.0,0,20211006,054004,75763,9.83,10.39,10.39,10.39,22.0,52.8,67.60,78.20,78.43,78.45,78.47,0.51,0,0,3.66,18.0,66.7,1ED
56,0.000000,0.000000,0,-1.0,0.0,0,20211006,054005,76832,9.83,10.39,10.39,10.39,22.1,52.8,67.62,78.22,78.45,78.48,78.49,0.51,0,0,3.66,18.1,66.7,1ED
57,0.000000,0.000000,0,-1.0,0.0,0,20211006,054006,77902,9.82,10.38,10.38,10.38,22.0,52.7,67.53,78.12,78.35,78.37,78.39,0.51,0,0,3.66,18.0,66.6,1ED
58,0.000000,0.000000,0,-1.0,0.0,0,20211006,054007,78972,9.80,10.37,10.37,10.37,22.0,52.7,67.44,78.01,78.24,78.26,78.28,0.51,0,0,3.66,18.0,66.6,1ED
59,0.000000,0.000000,0,-1.0,0.0,0,20211006,054008,80049,9.80,10.37,10.37,10.37,22.0,52.7,67.44,78.01,78.24,78.26,78.27,0.51,0,0,3.66,18.0,66.6,1ED
60,0.000000,0.000000,0,-1.0,0.0,0,20211006,054009,81119,9.80,10.36,10.36,10.36,22.0,52.6,67.42,77.98,78.21,78.24,78.25,0.51,0,0,3.66,18.0,66.5,1ED
61,0.000000,0.000000,0,-1.0,0.0,0,20211006,054010,82188,9.78,10.34,10.34,10.34,22.0,52.6,67.25,77.79,78.02,78.05,78.06,0.52,0,0,3.66,18.0,66.5,1ED
62,0.000000,0.000000,0,-1.0,0.0,0,20211006,054011,83265,9.78,10.34,10.34,10.34,22.0,52.7,67.28,77.83,78.05,78.08,78.09,0.52,0,0,3.67,18.0,66.6,1ED
