STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,053706,16756,12.49,24.30,33.27,35.06,21.0,55.0,59.35,87.10,98.96,101.01,101.37,1.08,0,0,4.61,17.0,69.7,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,053707,17825,7.01,7.41,7.41,7.41,21.1,55.2,48.23,55.80,55.96,55.98,55.99,0.33,0,0,4.61,17.1,69.9,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,053708,18901,7.04,7.44,7.44,7.44,21.1,55.4,48.39,55.98,56.15,56.16,56.17,0.43,0,0,4.61,17.1,70.1,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,053710,19976,7.05,7.46,7.46,7.46,21.0,55.5,48.52,56.13,56.29,56.31,56.32,0.40,0,0,4.61,17.0,70.3,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,053711,21051,7.10,7.51,7.51,7.51,21.1,55.7,48.84,56.50,56.66,56.68,56.69,0.45,0,0,4.61,17.1,70.5,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,053711,22126,7.18,7.60,7.60,7.60,21.1,55.9,49.41,57.16,57.32,57.34,57.35,0.51,0,0,4.61,17.1,70.8,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,053713,23197,7.27,7.69,7.69,7.69,21.1,56.1,50.02,57.86,58.03,58.05,58.06,0.49,0,0,4.61,17.1,71.0,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,053714,24272,7.36,7.79,7.79,7.79,21.1,56.2,50.66,58.60,58.77,58.79,58.80,0.48,0,0,4.61,17.1,71.2,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,053715,25347,7.46,7.89,7.89,7.89,21.1,56.3,51.31,59.36,59.53,59.55,59.56,0.50,0,0,4.61,17.1,71.3,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,053716,26419,7.54,7.97,7.97,7.97,21.1,56.4,51.87,60.00,60.17,60.19,60.20,0.50,0,0,4.61,17.1,71.4,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,053908,27495,7.62,8.06,8.06,8.06,21.1,56.5,52.44,60.66,60.84,60.86,60.87,0.49,0,0,4.61,17.1,71.5,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,053909,28572,7.68,8.13,8.13,8.13,21.1,56.5,52.86,61.15,61.32,61.34,61.36,0.48,0,0,4.61,17.1,71.6,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,053910,29649,7.76,8.20,8.20,8.20,21.1,56.6,53.37,61.74,61.92,61.94,61.95,0.48,0,0,4.61,17.1,71.6,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,053912,30722,7.84,8.29,8.29,8.29,21.1,56.6,53.95,62.40,62.59,62.61,62.62,0.48,0,0,4.61,17.1,71.6,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,053913,31799,7.87,8.32,8.32,8.32,21.1,56.6,54.14,62.62,62.81,62.83,62.84,0.48,0,0,4.61,17.1,71.7,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,053914,32876,7.90,8.35,8.35,8.35,21.1,56.6,54.34,62.86,63.04,63.06,63.08,0.48,0,0,4.61,17.1,71.7,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20211006,053915,33949,7.91,8.37,8.37,8.37,21.1,56.7,54.44,62.98,63.16,63.18,63.20,0.48,0,0,4.61,17.1,71.8,2E4
17,0.000000,0.000000,0,-1.0,0.0,0,20211006,053916,35026,7.93,8.38,8.38,8.38,21.1,56.7,54.52,63.07,63.25,63.27,63.28,0.48,0,0,4.61,17.1,71.8,2E4
18,0.000000,0.000000,0,-1.0,0.0,0,20211006,053916,36103,7.98,8.44,8.44,8.44,21.1,56.7,54.89,63.50,63.69,63.71,63.72,0.49,0,0,4.61,17.1,71.8,2E4
19,0.000000,0.000000,0,-1.0,0.0,0,20211006,053918,37180,8.04,8.50,8.50,8.50,21.1,56.7,55.29,63.96,64.15,64.17,64.18,0.49,0,0,4.61,17.1,71.8,2E4
20,0.000000,0.000000,0,-1.0,0.0,0,20211006,053919,38253,8.07,8.54,8.54,8.54,21.1,56.7,55.54,64.25,64.44,64.46,64.47,0.50,0,0,4.61,17.1,71.7,2E4
21,0.000000,0.000000,0,-1.0,0.0,0,20211006,053920,39330,8.12,8.59,8.59,8.59,21.1,56.7,55.89,64.65,64.84,64.86,64.87,0.50,0,0,4.61,17.1,71.7,2E4
22,0.000000,0.000000,0,-1.0,0.0,0,20211006,053921,40407,8.19,8.66,8.66,8.66,21.1,56.5,56.36,65.19,65.38,65.40,65.42,0.50,0,0,4.61,17.1,71.6,2E4
23,0.000000,0.000000,0,-1.0,0.0,0,20211006,053922,41474,8.29,8.77,8.77,8.77,21.1,56.5,57.03,65.97,66.17,66.19,66.20,0.50,0,0,4.61,17.1,71.5,2E4
24,0.000000,0.000000,0,-1.0,0.0,0,20211006,053923,42547,8.45,8.94,8.94,8.94,21.2,56.4,58.13,67.25,67.44,67.47,67.48,0.51,0,0,4.61,17.2,71.4,2E4
25,0.000000,0.000000,0,-1.0,0.0,0,20211006,053924,43624,8.54,9.03,9.03,9.03,21.1,56.3,58.77,67.98,68.18,68.20,68.21,0.50,0,0,4.61,17.1,71.2,2E4
26,0.000000,0.000000,0,-1.0,0.0,0,20211006,053925,44701,8.68,9.18,9.18,9.18,21.2,56.2,59.71,69.08,69.28,69.30,69.31,0.51,0,0,4.61,17.2,71.1,2E4
27,0.000000,0.000000,0,-1.0,0.0,0,20211006,053926,45774,8.70,9.20,9.20,9.20,21.1,56.2,59.88,69.27,69.47,69.49,69.50,0.51,0,0,4.61,17.1,71.1,2E4
28,0.000000,0.000000,0,-1.0,0.0,0,20211006,053927,46851,8.71,9.21,9.21,9.21,21.2,56.1,59.89,69.28,69.49,69.51,69.52,0.51,0,0,4.61,17.2,71.0,2E4
29,0.000000,0.000000,0,-1.0,0.0,0,20211006,053928,47927,8.68,9.17,9.17,9.17,21.2,55.9,59.68,69.04,69.24,69.26,69.28,0.51,0,0,4.61,17.2,70.8,2E4
30,0.000000,0.000000,0,-1.0,0.0,0,20211006,053929,49003,8.70,9.20,9.20,9.20,21.1,55.8,59.88,69.27,69.47,69.49,69.51,0.50,0,0,4.61,17.1,70.6,2E4
31,0.000000,0.000000,0,-1.0,0.0,0,20211006,053931,50075,8.75,9.25,9.25,9.25,21.2,55.7,60.19,69.63,69.83,69.85,69.87,0.51,0,0,4.61,17.2,70.5,2E4
32,0.000000,0.000000,0,-1.0,0.0,0,20211006,053932,51151,8.81,9.31,9.31,9.31,21.2,55.7,60.59,70.09,70.30,70.32,70.33,0.50,0,0,4.61,17.2,70.5,2E4
33,0.000000,0.000000,0,-1.0,0.0,0,20211006,053933,52227,8.92,9.43,9.43,9.43,21.2,55.7,61.33,70.94,71.15,71.17,71.19,0.50,0,0,4.61,17.2,70.5,2E4
34,0.000000,0.000000,0,-1.0,0.0,0,20211006,053934,53299,9.00,9.52,9.52,9.52,21.2,55.8,61.90,71.61,71.82,71.84,71.85,0.51,0,0,4.60,17.2,70.7,2E4
35,0.000000,0.000000,0,-1.0,0.0,0,20211006,053935,54376,9.13,9.66,9.66,9.66,21.2,55.8,62.82,72.67,72.88,72.90,72.92,0.50,0,0,4.61,17.2,70.6,2E4
36,0.000000,0.000000,0,-1.0,0.0,0,20211006,053936,55453,9.24,9.77,9.77,9.77,21.2,55.8,63.58,73.54,73.76,73.78,73.80,0.50,0,0,4.61,17.2,70.6,2E4
37,0.000000,0.000000,0,-1.0,0.0,0,20211006,053937,56530,9.39,9.93,9.93,9.93,21.2,55.8,64.57,74.70,74.91,74.94,74.95,0.50,0,0,4.61,17.2,70.6,2E4
38,0.000000,0.000000,0,-1.0,0.0,0,20211006,053938,57603,9.58,10.13,10.13,10.13,21.2,55.8,65.91,76.24,76.47,76.49,76.51,0.51,0,0,4.61,17.2,70.6,2E4
39,0.000000,0.000000,0,-1.0,0.0,0,20211006,053939,58673,9.63,10.19,10.19,10.19,21.2,55.7,66.27,76.66,76.89,76.91,76.93,0.51,0,0,4.61,17.2,70.5,2E4
40,0.000000,0.000000,0,-1.0,0.0,0,20211006,053940,59743,9.71,10.26,10.26,10.26,21.2,55.6,66.76,77.23,77.45,77.48,77.49,0.51,0,0,4.61,17.2,70.4,2E4
41,0.000000,0.000000,0,-1.0,0.0,0,20211006,053941,60810,9.75,10.31,10.31,10.31,21.1,55.5,67.08,77.60,77.82,77.85,77.86,0.51,0,0,4.61,17.1,70.2,2E4
42,0.000000,0.000000,0,-1.0,0.0,0,20211006,053942,61880,9.84,10.43,10.45,10.46,21.1,55.3,67.62,78.27,78.52,78.55,78.57,0.51,0,0,4.61,17.1,70.0,2E4
43,0.000000,0.000000,0,-1.0,0.0,0,20211006,053944,62950,9.91,10.54,10.58,10.59,21.1,55.2,68.07,78.83,79.11,79.15,79.16,0.52,0,0,4.60,17.1,69.9,2E4
44,0.000000,0.000000,0,-1.0,0.0,0,20211006,053945,64020,10.02,10.68,10.74,10.75,21.1,55.1,68.76,79.67,79.98,80.02,80.04,0.52,0,0,4.61,17.1,69.7,2E4
45,0.000000,0.000000,0,-1.0,0.0,0,20211006,053946,65087,10.13,10.81,10.89,10.91,21.1,55.1,69.42,80.48,80.82,80.86,80.88,0.52,0,0,4.61,17.1,69.7,2E4
46,0.000000,0.000000,0,-1.0,0.0,0,20211006,053947,66158,10.22,10.89,10.96,10.97,21.1,55.1,70.11,81.23,81.56,81.60,81.62,0.51,0,0,4.61,17.1,69.7,2E4
47,0.000000,0.000000,0,-1.0,0.0,0,20211006,053948,67229,10.31,10.97,11.02,11.03,21.1,55.1,70.76,81.97,82.28,82.31,82.33,0.51,0,0,4.61,17.1,69.7,2E4
48,0.000000,0.000000,0,-1.0,0.0,0,20211006,053949,68296,10.39,11.07,11.15,11.16,21.1,55.2,71.25,82.57,82.90,82.95,82.96,0.51,0,0,4.61,17.1,69.8,2E4
49,0.000000,0.000000,0,-1.0,0.0,0,20211006,053950,69367,10.50,11.22,11.31,11.32,21.2,55.4,72.00,83.47,83.82,83.87,83.89,0.51,0,0,4.61,17.2,70.1,2E4
50,0.000000,0.000000,0,-1.0,0.0,0,20211006,053951,70438,10.59,11.32,11.43,11.45,21.1,55.5,72.52,84.10,84.48,84.53,84.55,0.52,0,0,4.61,17.1,70.3,2E4
51,0.000000,0.000000,0,-1.0,0.0,0,20211006,053952,71509,10.70,11.46,11.58,11.60,21.2,55.6,73.28,85.01,85.41,85.46,85.48,0.52,0,0,4.61,17.2,70.4,2E4
52,0.000000,0.000000,0,-1.0,0.0,0,20211006,053953,72576,10.85,11.65,11.79,11.82,21.2,55.8,74.22,86.15,86.58,86.64,86.67,0.52,0,0,4.61,17.2,70.6,2E4
53,0.000000,0.000000,0,-1.0,0.0,0,20211006,053954,73646,10.86,11.67,11.82,11.85,21.2,55.8,74.25,86.20,86.65,86.71,86.73,0.52,0,0,4.61,17.2,70.7,2E4
54,0.000000,0.000000,0,-1.0,0.0,0,20211006,053955,74716,10.83,11.65,11.81,11.84,21.2,56.0,74.00,85.93,86.39,86.45,86.48,0.52,0,0,4.61,17.2,70.8,2E4
55,0.000000,0.000000,0,-1.0,0.0,0,20211006,053957,75793,10.78,11.61,11.77,11.81,21.3,56.1,73.64,85.53,86.00,86.07,86.09,0.52,0,0,4.61,17.3,71.0,2E4
56,0.000000,0.000000,0,-1.0,0.0,0,20211006,053958,76863,10.72,11.56,11.74,11.77,21.3,56.3,73.25,85.10,85.57,85.64,85.66,0.52,0,0,4.61,17.3,71.2,2E4
57,0.000000,0.000000,0,-1.0,0.0,0,20211006,053959,77933,10.73,11.58,11.77,11.80,21.3,56.3,73.25,85.12,85.61,85.68,85.71,0.52,0,0,4.61,17.3,71.3,2E4
58,0.000000,0.000000,0,-1.0,0.0,0,20211006,054000,79003,10.77,11.63,11.83,11.86,21.3,56.3,73.48,85.40,85.91,85.98,86.00,0.51,0,0,4.61,17.3,71.3,2E4
59,0.000000,0.000000,0,-1.0,0.0,0,20211006,054001,80080,10.77,11.59,11.75,11.78,21.2,56.3,73.65,85.52,85.98,86.04,86.06,0.51,0,0,4.61,17.2,71.2,2E4
60,0.000000,0.000000,0,-1.0,0.0,0,20211006,054002,81150,10.75,11.52,11.65,11.68,21.3,56.2,73.58,85.38,85.79,85.85,85.87,0.51,0,0,4.61,17.3,71.2,2E4
61,0.000000,0.000000,0,-1.0,0.0,0,20211006,054003,82220,10.69,11.43,11.53,11.55,21.3,56.2,73.27,84.97,85.35,85.40,85.41,0.51,0,0,4.61,17.3,71.1,2E4
62,0.000000,0.000000,0,-1.0,0.0,0,20211006,054004,83297,10.59,11.30,11.37,11.39,21.3,56.1,72.61,84.15,84.50,84.55,84.57,0.51,0,0,4.61,17.3,71.0,2E4
63,0.000000,0.000000,0,-1.0,0.0,0,20211006,054005,84367,10.54,11.22,11.28,11.30,21.3,55.9,72.30,83.77,84.09,84.14,84.15,0.50,0,0,4.61,17.3,70.8,2E4
64,0.000000,0.000000,0,-1.0,0.0,0,20211006,054006,85437,10.57,11.24,11.29,11.30,21.3,55.9,72.56,84.04,84.35,84.39,84.41,0.51,0,0,4.61,17.3,70.7,2E4
65,0.000000,0.000000,0,-1.0,0.0,0,20211006,054007,86507,10.62,11.28,11.32,11.33,21.3,55.8,72.95,84.47,84.77,84.81,84.83,0.51,0,0,4.61,17.3,70.6,2E4
66,0.000000,0.000000,0,-1.0,0.0,0,20211006,054008,87584,10.75,11.40,11.43,11.43,21.3,55.7,73.87,85.51,85.79,85.82,85.84,0.50,0,0,4.61,17.3,70.4,2E4
