STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,053048,16701,6.10,8.92,10.91,11.31,21.3,51.8,35.88,45.73,48.52,49.01,49.09,0.64,0,0,3.73,17.3,65.6,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,053050,17774,4.31,6.49,8.05,8.37,21.2,51.5,24.90,32.11,34.28,34.66,34.73,0.82,0,0,3.73,17.2,65.1,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,053051,18841,4.30,6.45,7.99,8.30,21.2,51.2,24.89,32.05,34.19,34.57,34.63,0.68,0,0,3.73,17.2,64.8,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,053052,19911,4.20,5.95,7.18,7.42,21.2,51.5,25.16,31.70,33.42,33.72,33.77,0.68,0,0,3.74,17.2,65.1,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,053053,20981,3.90,4.12,4.12,4.12,21.2,51.3,26.77,31.01,31.09,31.10,31.10,0.55,0,0,3.73,17.2,65.0,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,053054,22051,3.93,4.15,4.15,4.15,21.2,51.2,27.00,31.28,31.36,31.37,31.37,0.55,0,0,3.73,17.2,64.8,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,053056,23128,3.97,4.20,4.20,4.20,21.1,51.4,27.30,31.63,31.71,31.72,31.73,0.55,0,0,3.73,17.1,65.1,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,053057,24198,4.10,4.34,4.34,4.34,21.1,51.4,28.18,32.65,32.73,32.74,32.75,0.54,0,0,3.73,17.1,65.1,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,053058,25265,4.19,4.43,4.43,4.43,21.1,51.1,28.79,33.35,33.44,33.45,33.45,0.52,0,0,3.73,17.1,64.6,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,053059,26342,4.25,4.49,4.49,4.49,21.1,50.6,29.18,33.80,33.89,33.90,33.90,0.52,0,0,3.73,17.1,64.1,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,053100,27412,4.29,4.53,4.53,4.53,21.0,50.2,29.47,34.14,34.22,34.24,34.24,0.53,0,0,3.73,17.0,63.5,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,053101,28483,4.34,4.59,4.59,4.59,21.0,49.8,29.83,34.56,34.65,34.66,34.67,0.53,0,0,3.73,17.0,63.1,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,053102,29554,4.40,4.65,4.65,4.65,21.0,49.5,30.22,35.00,35.09,35.10,35.11,0.53,0,0,3.73,17.0,62.7,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20211007,053103,30621,4.46,4.72,4.72,4.72,21.0,49.3,30.65,35.50,35.59,35.61,35.61,0.54,0,0,3.73,17.0,62.4,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20211007,053104,31692,4.59,4.86,4.86,4.86,20.9,49.1,31.55,36.55,36.64,36.65,36.66,0.54,0,0,3.73,16.9,62.2,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20211007,053105,32763,4.67,4.93,4.93,4.93,20.9,48.9,32.07,37.15,37.24,37.25,37.26,0.53,0,0,3.73,16.9,61.9,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20211007,053106,33830,4.73,5.00,5.00,5.00,20.9,48.7,32.51,37.66,37.76,37.77,37.78,0.52,0,0,3.73,16.9,61.7,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20211007,053107,34901,4.80,5.07,5.07,5.07,20.9,48.6,32.97,38.19,38.29,38.30,38.31,0.52,0,0,3.73,16.9,61.5,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20211007,053107,35972,4.81,5.09,5.09,5.09,21.0,48.5,33.05,38.29,38.38,38.40,38.40,0.52,0,0,3.73,17.0,61.4,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20211007,053109,37043,4.85,5.13,5.13,5.13,21.0,48.4,33.32,38.60,38.70,38.71,38.72,0.52,0,0,3.73,17.0,61.3,B1F
20,0.000000,0.000000,0,-1.0,0.0,0,20211007,053111,38111,4.92,5.20,5.20,5.20,21.0,48.3,33.79,39.14,39.24,39.25,39.26,0.52,0,0,3.73,17.0,61.2,B1F
21,0.000000,0.000000,0,-1.0,0.0,0,20211007,053112,39181,4.96,5.25,5.25,5.25,21.0,48.2,34.10,39.50,39.60,39.61,39.62,0.52,0,0,3.73,17.0,61.0,B1F
22,0.000000,0.000000,0,-1.0,0.0,0,20211007,053113,40248,5.03,5.32,5.32,5.32,21.0,48.1,34.54,40.02,40.12,40.13,40.14,0.52,0,0,3.73,17.0,60.9,B1F
23,0.000000,0.000000,0,-1.0,0.0,0,20211007,053114,41319,5.08,5.37,5.37,5.37,21.0,48.0,34.91,40.44,40.54,40.56,40.57,0.52,0,0,3.73,17.0,60.8,B1F
24,0.000000,0.000000,0,-1.0,0.0,0,20211007,053115,42386,5.12,5.42,5.42,5.42,21.0,48.0,35.20,40.78,40.88,40.90,40.91,0.53,0,0,3.73,17.0,60.7,B1F
25,0.000000,0.000000,0,-1.0,0.0,0,20211007,053116,43457,5.15,5.45,5.45,5.45,21.0,47.9,35.39,41.01,41.11,41.12,41.13,0.54,0,0,3.73,17.0,60.7,B1F
26,0.000000,0.000000,0,-1.0,0.0,0,20211007,053117,44528,5.21,5.51,5.51,5.51,21.0,47.9,35.77,41.45,41.55,41.56,41.57,0.53,0,0,3.73,17.0,60.6,B1F
27,0.000000,0.000000,0,-1.0,0.0,0,20211007,053118,45596,5.25,5.55,5.55,5.55,21.0,47.8,36.07,41.79,41.89,41.91,41.92,0.53,0,0,3.73,17.0,60.5,B1F
28,0.000000,0.000000,0,-1.0,0.0,0,20211007,053119,46666,5.40,5.71,5.71,5.71,21.0,47.8,37.13,43.02,43.13,43.14,43.15,0.53,0,0,3.73,17.0,60.5,B1F
29,0.000000,0.000000,0,-1.0,0.0,0,20211007,053120,47737,5.47,5.79,5.79,5.79,21.1,47.8,37.61,43.58,43.69,43.70,43.71,0.53,0,0,3.73,17.1,60.4,B1F
30,0.000000,0.000000,0,-1.0,0.0,0,20211007,053120,48808,5.54,5.86,5.86,5.86,21.1,47.7,38.09,44.13,44.24,44.25,44.26,0.53,0,0,3.73,17.1,60.4,B1F
31,0.000000,0.000000,0,-1.0,0.0,0,20211007,053122,49875,5.58,5.90,5.90,5.90,21.1,47.7,38.36,44.44,44.56,44.57,44.58,0.53,0,0,3.73,17.1,60.4,B1F
32,0.000000,0.000000,0,-1.0,0.0,0,20211007,053123,50947,5.61,5.93,5.93,5.93,21.1,47.7,38.55,44.66,44.77,44.78,44.79,0.53,0,0,3.73,17.1,60.3,B1F
33,0.000000,0.000000,0,-1.0,0.0,0,20211007,053124,52018,5.63,5.95,5.95,5.95,21.1,47.6,38.66,44.78,44.90,44.91,44.92,0.52,0,0,3.73,17.1,60.3,B1F
