STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,142849,16710,17.01,26.15,32.75,34.07,20.0,62.0,97.44,126.29,135.21,136.73,137.01,0.70,0,0,3.75,16.0,78.6,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,142850,17780,18.81,36.89,50.65,53.41,19.9,61.9,88.62,130.79,148.99,152.13,152.67,1.08,0,0,3.75,15.9,78.5,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,142851,18847,18.58,38.98,54.63,57.76,19.9,61.9,81.48,126.42,147.04,150.60,151.21,1.15,0,0,3.75,15.9,78.5,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,142852,19916,18.38,40.02,56.68,60.01,20.0,61.9,77.07,123.39,145.32,149.11,149.76,1.18,0,0,3.75,16.0,78.5,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,142853,20985,18.17,40.45,57.63,61.07,20.0,61.9,74.13,121.07,143.66,147.57,148.24,1.21,0,0,3.75,16.0,78.5,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,142854,22054,18.21,38.22,53.57,56.64,20.0,62.1,79.80,123.86,144.08,147.58,148.18,1.15,0,0,3.75,16.0,78.7,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,142856,23130,18.15,36.97,51.36,54.23,20.0,62.1,82.28,124.75,143.73,147.01,147.57,1.14,0,0,3.75,16.0,78.8,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,142857,24198,18.09,36.39,50.37,53.16,20.1,62.1,83.04,124.78,143.23,146.41,146.96,1.11,0,0,3.75,16.1,78.7,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,142858,25266,18.00,35.62,49.05,51.73,20.0,62.1,84.09,124.86,142.60,145.66,146.19,1.10,0,0,3.75,16.0,78.7,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,142859,26341,18.00,34.83,47.62,50.18,20.1,62.1,85.92,125.67,142.59,145.51,146.02,1.08,0,0,3.75,16.1,78.8,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,142900,27410,17.99,34.53,47.08,49.59,20.1,62.2,86.57,125.94,142.55,145.42,145.91,1.06,0,0,3.75,16.1,78.9,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,142901,28479,17.87,34.31,46.79,49.28,20.1,62.2,85.98,125.10,141.61,144.46,144.95,1.07,0,0,3.75,16.1,78.9,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,142902,29556,17.78,33.32,45.07,47.42,20.1,62.1,87.55,125.42,140.99,143.68,144.14,1.05,0,0,3.75,16.1,78.8,286
13,0.000000,0.000000,0,-1.0,0.0,0,20211007,142903,30626,17.53,33.11,44.90,47.25,20.1,62.0,85.70,123.36,138.98,141.68,142.14,1.05,0,0,3.75,16.1,78.6,286
14,0.000000,0.000000,0,-1.0,0.0,0,20211007,142904,31696,17.44,32.37,43.63,45.89,20.1,61.9,86.64,123.37,138.31,140.89,141.34,1.03,0,0,3.75,16.1,78.5,286
15,0.000000,0.000000,0,-1.0,0.0,0,20211007,142905,32766,17.33,31.91,42.90,45.10,20.2,61.8,86.66,122.84,137.43,139.95,140.38,1.02,0,0,3.75,16.2,78.4,286
16,0.000000,0.000000,0,-1.0,0.0,0,20211007,142906,33842,17.27,31.26,41.78,43.88,20.2,61.8,87.68,123.05,137.02,139.42,139.84,1.01,0,0,3.75,16.2,78.4,286
