STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,140714,16770,22.37,45.59,63.35,66.90,21.5,60.1,100.13,153.12,177.11,181.39,182.10,0.90,0,0,3.70,17.5,76.0,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,140715,17840,23.26,61.31,91.03,96.97,21.5,60.1,70.13,143.40,183.25,190.39,191.56,1.28,0,0,3.70,17.5,76.0,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,140716,18916,21.54,48.99,70.21,74.45,21.5,60.0,83.99,141.66,170.22,175.32,176.17,1.09,0,0,3.70,17.5,75.9,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,140717,19984,21.50,48.78,69.86,74.07,21.5,60.0,84.13,141.53,169.90,174.97,175.81,1.08,0,0,3.69,17.5,75.9,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,140718,21052,21.66,49.75,71.48,75.82,21.5,60.0,83.28,141.91,171.14,176.37,177.23,1.10,0,0,3.70,17.5,75.9,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,140718,22121,21.14,46.57,66.16,70.08,21.5,60.0,86.12,140.74,167.14,171.85,172.64,1.04,0,0,3.70,17.5,75.8,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,140720,23196,20.58,43.26,60.66,64.14,21.5,59.9,88.91,139.38,162.86,167.05,167.75,1.00,0,0,3.69,17.5,75.8,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,140722,24264,20.55,43.82,61.70,65.28,21.6,60.0,87.28,138.49,162.60,166.91,167.62,1.02,0,0,3.70,17.6,75.9,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,140723,25332,20.43,43.73,61.64,65.22,21.5,60.0,86.34,137.46,161.61,165.92,166.64,1.02,0,0,3.69,17.5,75.9,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,140724,26407,20.45,44.70,63.38,67.11,21.5,60.0,84.19,136.58,161.75,166.24,166.99,1.04,0,0,3.69,17.5,75.9,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,140725,27477,20.23,43.89,62.09,65.73,21.5,59.8,84.09,135.48,160.01,164.40,165.13,1.04,0,0,3.69,17.5,75.7,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,140726,28548,20.11,43.66,61.78,65.41,21.6,59.6,83.46,134.58,159.01,163.38,164.10,1.05,0,0,3.69,17.6,75.4,1D6
