STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,052715,16640,7.39,13.15,17.47,18.33,20.8,44.9,38.20,52.96,58.64,59.61,59.77,0.93,0,0,3.84,16.8,56.9,56A
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,052716,17710,3.64,3.85,3.85,3.85,20.8,44.9,25.11,29.00,29.09,29.10,29.10,0.32,0,0,3.84,16.8,56.8,56A
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,052717,18778,3.62,3.82,3.82,3.82,20.7,44.8,24.91,28.77,28.85,28.86,28.87,0.35,0,0,3.84,16.7,56.8,56A
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,052718,19849,3.64,3.85,3.85,3.85,20.8,44.8,25.05,28.94,29.02,29.03,29.03,0.36,0,0,3.84,16.8,56.8,56A
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,052719,20920,3.65,3.86,3.86,3.86,20.8,44.8,25.17,29.07,29.15,29.16,29.17,0.37,0,0,3.84,16.8,56.8,56A
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,052720,21991,3.67,3.88,3.88,3.88,20.7,44.8,25.26,29.18,29.26,29.27,29.28,0.38,0,0,3.84,16.7,56.7,56A
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,052722,23058,3.67,3.88,3.88,3.88,20.7,44.8,25.29,29.20,29.29,29.30,29.30,0.42,0,0,3.84,16.7,56.7,56A
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,052723,24129,3.70,3.91,3.91,3.91,20.7,44.7,25.50,29.46,29.54,29.55,29.56,0.41,0,0,3.84,16.7,56.7,56A
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,052724,25200,3.81,4.03,4.03,4.03,20.7,44.7,26.27,30.34,30.42,30.43,30.44,0.45,0,0,3.84,16.7,56.6,56A
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,052725,26267,3.88,4.10,4.10,4.10,20.7,44.7,26.70,30.84,30.93,30.94,30.94,0.45,0,0,3.84,16.7,56.6,56A
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,052726,27338,3.90,4.12,4.12,4.12,20.7,44.7,26.88,31.04,31.13,31.14,31.15,0.46,0,0,3.84,16.7,56.6,56A
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,052727,28410,3.92,4.14,4.14,4.14,20.7,44.7,27.00,31.19,31.28,31.29,31.29,0.45,0,0,3.84,16.7,56.6,56A
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,052728,29482,4.00,4.23,4.23,4.23,20.8,44.6,27.55,31.82,31.91,31.92,31.93,0.47,0,0,3.84,16.8,56.5,56A
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,052729,30550,4.14,4.37,4.37,4.37,20.7,44.6,28.49,32.91,33.00,33.01,33.02,0.45,0,0,3.84,16.7,56.5,56A
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,052730,31622,4.18,4.42,4.42,4.42,20.7,44.6,28.79,33.25,33.35,33.36,33.36,0.45,0,0,3.84,16.7,56.5,56A
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,052731,32694,4.25,4.50,4.50,4.50,20.8,44.6,29.30,33.83,33.93,33.94,33.95,0.46,0,0,3.84,16.8,56.4,56A
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,052732,33762,4.33,4.58,4.58,4.58,20.7,44.5,29.81,34.43,34.53,34.54,34.55,0.47,0,0,3.84,16.7,56.4,56A
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,052733,34834,4.38,4.63,4.63,4.63,20.7,44.5,30.19,34.86,34.96,34.97,34.98,0.47,0,0,3.84,16.7,56.4,56A
18,0.000000,0.000000,0,-1.0,0.0,0,20211008,052735,35906,4.42,4.68,4.68,4.68,20.7,44.5,30.49,35.21,35.31,35.32,35.33,0.48,0,0,3.84,16.7,56.4,56A
19,0.000000,0.000000,0,-1.0,0.0,0,20211008,052736,36978,4.43,4.68,4.68,4.68,20.6,44.5,30.53,35.26,35.36,35.37,35.38,0.48,0,0,3.84,16.6,56.4,56A
20,0.000000,0.000000,0,-1.0,0.0,0,20211008,052737,38046,4.43,4.68,4.68,4.68,20.6,44.5,30.50,35.23,35.33,35.34,35.35,0.48,0,0,3.84,16.6,56.4,56A
21,0.000000,0.000000,0,-1.0,0.0,0,20211008,052738,39118,4.44,4.69,4.69,4.69,20.6,44.5,30.58,35.32,35.42,35.43,35.44,0.48,0,0,3.84,16.6,56.4,56A
22,0.000000,0.000000,0,-1.0,0.0,0,20211008,052739,40190,4.46,4.72,4.72,4.72,20.6,44.5,30.74,35.51,35.61,35.62,35.63,0.48,0,0,3.84,16.6,56.4,56A
23,0.000000,0.000000,0,-1.0,0.0,0,20211008,052740,41262,4.47,4.73,4.73,4.73,20.6,44.5,30.82,35.59,35.69,35.70,35.71,0.48,0,0,3.84,16.6,56.4,56A
24,0.000000,0.000000,0,-1.0,0.0,0,20211008,052741,42330,4.52,4.78,4.78,4.78,20.7,44.6,31.12,35.94,36.04,36.06,36.06,0.48,0,0,3.84,16.7,56.4,56A
25,0.000000,0.000000,0,-1.0,0.0,0,20211008,052742,43402,4.54,4.80,4.80,4.80,20.7,44.6,31.31,36.16,36.26,36.27,36.28,0.49,0,0,3.84,16.7,56.5,56A
26,0.000000,0.000000,0,-1.0,0.0,0,20211008,052743,44474,4.61,4.88,4.88,4.88,20.7,44.5,31.80,36.72,36.83,36.84,36.85,0.49,0,0,3.84,16.7,56.4,56A
27,0.000000,0.000000,0,-1.0,0.0,0,20211008,052744,45542,4.77,5.05,5.05,5.05,20.6,44.6,32.89,37.98,38.09,38.10,38.11,0.50,0,0,3.84,16.6,56.5,56A
28,0.000000,0.000000,0,-1.0,0.0,0,20211008,052745,46614,4.85,5.13,5.13,5.13,20.5,44.6,33.41,38.59,38.70,38.71,38.72,0.51,0,0,3.84,16.5,56.5,56A
29,0.000000,0.000000,0,-1.0,0.0,0,20211008,052746,47685,4.90,5.18,5.18,5.18,20.5,44.6,33.75,38.99,39.10,39.11,39.12,0.50,0,0,3.84,16.5,56.6,56A
30,0.000000,0.000000,0,-1.0,0.0,0,20211008,052746,48757,4.96,5.24,5.24,5.24,20.5,44.7,34.15,39.44,39.55,39.56,39.57,0.50,0,0,3.84,16.5,56.6,56A
31,0.000000,0.000000,0,-1.0,0.0,0,20211008,052748,49825,5.00,5.28,5.28,5.28,20.6,44.8,34.42,39.76,39.87,39.89,39.89,0.50,0,0,3.84,16.6,56.7,56A
32,0.000000,0.000000,0,-1.0,0.0,0,20211008,052749,50897,5.04,5.33,5.33,5.33,20.6,44.8,34.71,40.09,40.20,40.21,40.22,0.50,0,0,3.84,16.6,56.8,56A
33,0.000000,0.000000,0,-1.0,0.0,0,20211008,052751,51969,5.06,5.35,5.35,5.35,20.6,44.8,34.89,40.30,40.41,40.42,40.43,0.49,0,0,3.84,16.6,56.8,56A
34,0.000000,0.000000,0,-1.0,0.0,0,20211008,052752,53037,5.11,5.41,5.41,5.41,20.6,44.9,35.24,40.70,40.82,40.83,40.84,0.49,0,0,3.84,16.6,56.8,56A
