STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211012,152409,16654,15.28,32.75,46.18,48.86,20.9,47.7,64.42,102.67,120.88,124.09,124.63,0.97,0,0,3.70,16.9,60.3,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20211012,152410,17729,12.34,19.49,24.70,25.75,20.9,47.6,69.00,90.84,98.04,99.30,99.52,0.82,0,0,3.70,16.9,60.3,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20211012,152411,18799,12.35,19.53,24.77,25.82,20.9,47.5,69.01,90.89,98.13,99.40,99.61,0.89,0,0,3.70,16.9,60.2,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20211012,152412,19870,12.11,17.92,22.05,22.88,20.9,47.4,70.73,90.58,96.33,97.34,97.52,0.83,0,0,3.70,16.9,60.1,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20211012,152413,20941,11.97,17.18,20.83,21.57,20.9,47.4,71.20,90.12,95.24,96.14,96.29,0.81,0,0,3.70,16.9,60.0,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20211012,152414,22010,11.97,17.61,21.62,22.42,20.9,47.4,70.14,89.63,95.21,96.19,96.36,0.81,0,0,3.70,16.9,60.0,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20211012,152416,23087,12.09,18.60,23.31,24.25,20.9,47.3,68.88,89.63,96.14,97.29,97.48,0.85,0,0,3.69,16.9,59.9,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20211012,152417,24156,12.28,19.81,25.34,26.45,20.9,47.3,67.67,89.95,97.56,98.90,99.13,0.89,0,0,3.70,16.9,59.9,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20211012,152418,25225,12.49,21.07,27.43,28.70,21.0,47.3,66.56,90.40,99.14,100.68,100.94,0.92,0,0,3.70,17.0,59.8,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20211012,152419,26292,12.64,21.67,28.40,29.74,20.9,47.2,66.52,91.10,100.32,101.95,102.22,0.93,0,0,3.69,16.9,59.8,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20211012,152420,27363,12.68,21.78,28.55,29.91,21.0,47.2,66.66,91.37,100.66,102.29,102.57,0.94,0,0,3.69,17.0,59.8,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20211012,152421,28435,12.79,22.31,29.42,30.85,21.0,47.2,66.38,91.75,101.49,103.21,103.50,0.95,0,0,3.69,17.0,59.8,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20211012,152422,29508,12.91,23.04,30.63,32.15,20.9,47.1,65.77,92.05,102.44,104.27,104.57,0.97,0,0,3.70,16.9,59.6,90E
13,0.000000,0.000000,0,-1.0,0.0,0,20211012,152423,30578,12.93,23.26,31.01,32.57,21.0,46.9,65.42,91.99,102.59,104.46,104.77,0.97,0,0,3.70,17.0,59.3,90E
14,0.000000,0.000000,0,-1.0,0.0,0,20211012,152424,31651,12.82,23.14,30.90,32.45,21.0,46.5,64.62,91.07,101.67,103.54,103.85,0.98,0,0,3.70,17.0,58.9,90E
15,0.000000,0.000000,0,-1.0,0.0,0,20211012,152425,32724,12.74,23.32,31.30,32.89,21.0,46.2,63.45,90.16,101.05,102.96,103.29,0.98,0,0,3.69,17.0,58.4,90E
16,0.000000,0.000000,0,-1.0,0.0,0,20211012,152426,33795,12.60,23.20,31.20,32.80,21.0,45.8,62.41,89.00,99.92,101.84,102.16,0.99,0,0,3.70,17.0,58.0,90E
17,0.000000,0.000000,0,-1.0,0.0,0,20211012,152427,34867,12.41,22.87,30.77,32.35,21.0,45.6,61.40,87.62,98.39,100.29,100.61,1.00,0,0,3.69,17.0,57.7,90E
18,0.000000,0.000000,0,-1.0,0.0,0,20211012,152429,35940,12.16,22.34,30.01,31.54,21.0,45.3,60.36,85.95,96.42,98.27,98.58,1.00,0,0,3.69,17.0,57.4,90E
