STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211012,054032,16695,0.70,3.39,5.53,5.96,16.8,47.7,0.00,2.57,5.44,5.94,6.03,1.63,0,0,3.77,12.8,60.9,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211012,054033,17772,1.41,6.76,11.03,11.88,16.8,49.0,0.00,5.16,10.88,11.89,12.05,1.63,0,0,3.77,12.8,62.6,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211012,054034,18840,1.43,4.50,6.91,7.40,16.8,50.3,2.54,7.99,11.23,11.81,11.90,1.20,0,0,3.77,12.8,64.2,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211012,054035,19909,1.43,4.01,6.03,6.44,16.9,51.3,3.75,8.56,11.29,11.77,11.85,1.21,0,0,3.77,12.9,65.5,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211012,054036,20977,1.43,3.77,5.60,5.96,16.9,52.0,4.29,8.78,11.25,11.69,11.76,1.21,0,0,3.78,12.9,66.4,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211012,054037,22044,1.42,3.78,5.63,6.00,16.9,52.6,4.18,8.70,11.19,11.63,11.71,1.26,0,0,3.78,12.9,67.2,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211012,054039,23118,1.41,3.32,4.79,5.08,16.9,53.1,5.25,9.16,11.15,11.50,11.56,1.13,0,0,3.77,12.9,67.7,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211012,054040,24185,1.39,3.26,4.71,5.00,16.9,53.2,5.16,9.00,10.96,11.31,11.36,1.13,0,0,3.78,12.9,67.9,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211012,054041,25252,1.35,3.18,4.59,4.88,16.9,53.2,5.03,8.78,10.70,11.03,11.09,1.13,0,0,3.77,12.9,67.8,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211012,054042,26319,1.31,3.08,4.46,4.73,16.9,52.9,4.88,8.52,10.37,10.70,10.76,1.13,0,0,3.78,12.9,67.5,A7A
