STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210621,080348,16712,26.86,35.68,41.56,42.74,26.8,54.6,166.80,205.54,213.92,215.38,215.65,0.76,0,0,4.61,22.8,68.4,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20210621,080349,17783,15.78,21.27,24.98,25.72,26.8,54.3,97.21,120.37,125.64,126.56,126.72,0.74,0,0,4.61,22.8,68.0,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20210621,080350,18857,15.61,19.96,22.74,23.30,26.8,54.0,98.87,120.36,124.39,125.09,125.22,0.78,0,0,4.61,22.8,67.7,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20210621,080350,19932,15.63,19.72,22.31,22.82,26.8,53.9,99.59,120.78,124.53,125.19,125.31,0.77,0,0,4.61,22.8,67.5,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20210621,080351,21007,15.67,19.37,21.63,22.08,26.8,53.8,100.85,121.56,124.90,125.47,125.58,0.74,0,0,4.61,22.8,67.4,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20210621,080353,22082,15.76,19.25,21.35,21.77,26.8,53.6,101.92,122.46,125.57,126.11,126.21,0.73,0,0,4.61,22.8,67.2,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20210621,080354,23153,16.02,20.25,22.93,23.46,26.8,53.4,102.01,123.77,127.66,128.34,128.46,0.77,0,0,4.61,22.8,67.0,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20210621,080355,24227,16.14,19.92,22.22,22.68,26.8,53.4,103.96,125.25,128.65,129.23,129.35,0.74,0,0,4.61,22.8,66.9,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20210621,080356,25300,16.36,20.20,22.55,23.02,26.7,53.6,105.33,126.93,130.38,130.98,131.09,0.74,0,0,4.60,22.7,67.1,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20210621,080357,26371,16.67,20.45,22.73,23.18,26.8,53.6,107.66,129.49,132.87,133.45,133.56,0.74,0,0,4.61,22.8,67.2,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20210621,080358,27445,16.99,20.77,23.04,23.49,26.8,53.5,109.92,132.08,135.45,136.03,136.14,0.74,0,0,4.61,22.8,67.0,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20210621,080359,28520,17.24,21.02,23.27,23.72,26.8,53.4,111.68,134.09,137.44,138.02,138.13,0.73,0,0,4.61,22.8,66.9,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20210621,080400,29592,17.51,21.38,23.70,24.16,26.8,53.2,113.29,136.10,139.54,140.13,140.25,0.74,0,0,4.61,22.8,66.7,90E
13,0.000000,0.000000,0,-1.0,0.0,0,20210621,080401,30667,17.85,21.78,24.13,24.60,26.8,53.1,115.53,138.75,142.25,142.85,142.96,0.74,0,0,4.61,22.8,66.5,90E
14,0.000000,0.000000,0,-1.0,0.0,0,20210621,080402,31742,17.99,22.04,24.47,24.96,26.8,53.1,116.29,139.81,143.41,144.04,144.16,0.74,0,0,4.61,22.8,66.5,90E
15,0.000000,0.000000,0,-1.0,0.0,0,20210621,080403,32817,18.09,22.14,24.57,25.06,26.8,53.1,116.97,140.59,144.20,144.82,144.94,0.74,0,0,4.60,22.8,66.5,90E
16,0.000000,0.000000,0,-1.0,0.0,0,20210621,080404,33889,18.18,22.24,24.68,25.17,26.8,53.1,117.55,141.28,144.90,145.52,145.64,0.73,0,0,4.61,22.8,66.5,90E
17,0.000000,0.000000,0,-1.0,0.0,0,20210621,080406,34964,18.26,22.33,24.77,25.26,26.8,53.2,118.05,141.87,145.50,146.13,146.25,0.73,0,0,4.61,22.8,66.7,90E
18,0.000000,0.000000,0,-1.0,0.0,0,20210621,080407,36039,18.28,22.36,24.81,25.30,26.8,53.4,118.22,142.08,145.72,146.35,146.47,0.73,0,0,4.61,22.8,66.9,90E
19,0.000000,0.000000,0,-1.0,0.0,0,20210621,080408,37112,18.30,22.38,24.84,25.33,26.8,53.7,118.30,142.18,145.83,146.45,146.57,0.73,0,0,4.61,22.8,67.3,90E
20,0.000000,0.000000,0,-1.0,0.0,0,20210621,080409,38187,18.29,22.38,24.84,25.34,26.8,53.9,118.21,142.10,145.75,146.38,146.50,0.74,0,0,4.61,22.8,67.5,90E
21,0.000000,0.000000,0,-1.0,0.0,0,20210621,080410,39262,18.24,22.33,24.79,25.29,26.9,53.9,117.92,141.75,145.40,146.03,146.15,0.73,0,0,4.60,22.9,67.5,90E
22,0.000000,0.000000,0,-1.0,0.0,0,20210621,080411,40334,18.19,22.28,24.74,25.23,26.8,54.2,117.58,141.36,145.01,145.63,145.76,0.73,0,0,4.61,22.8,67.9,90E
23,0.000000,0.000000,0,-1.0,0.0,0,20210621,080412,41409,18.18,22.26,24.73,25.22,26.9,54.5,117.46,141.22,144.87,145.50,145.62,0.73,0,0,4.61,22.9,68.2,90E
24,0.000000,0.000000,0,-1.0,0.0,0,20210621,080413,42484,18.21,22.30,24.76,25.26,26.8,54.8,117.70,141.50,145.15,145.78,145.90,0.72,0,0,4.61,22.8,68.7,90E
25,0.000000,0.000000,0,-1.0,0.0,0,20210621,080414,43559,18.28,22.37,24.83,25.32,26.9,55.4,118.14,142.01,145.66,146.29,146.41,0.71,0,0,4.61,22.9,69.4,90E
26,0.000000,0.000000,0,-1.0,0.0,0,20210621,080415,44631,18.37,22.46,24.92,25.41,26.9,55.9,118.77,142.74,146.39,147.01,147.14,0.71,0,0,4.61,22.9,70.0,90E
27,0.000000,0.000000,0,-1.0,0.0,0,20210621,080416,45706,18.42,22.53,25.00,25.49,26.9,56.2,119.15,143.19,146.85,147.48,147.60,0.72,0,0,4.61,22.9,70.3,90E
28,0.000000,0.000000,0,-1.0,0.0,0,20210621,080417,46781,18.59,22.74,25.23,25.73,26.9,56.1,120.17,144.43,148.13,148.76,148.89,0.72,0,0,4.61,22.9,70.3,90E
29,0.000000,0.000000,0,-1.0,0.0,0,20210621,080419,47854,18.74,22.93,25.45,25.95,26.9,55.7,121.17,145.63,149.37,150.01,150.13,0.72,0,0,4.61,22.9,69.8,90E
30,0.000000,0.000000,0,-1.0,0.0,0,20210621,080420,48929,18.83,23.04,25.57,26.08,26.9,55.4,121.77,146.35,150.11,150.75,150.88,0.71,0,0,4.61,22.9,69.4,90E
31,0.000000,0.000000,0,-1.0,0.0,0,20210621,080421,50004,18.96,23.20,25.75,26.26,26.9,55.2,122.57,147.33,151.11,151.76,151.88,0.71,0,0,4.61,22.9,69.1,90E
32,0.000000,0.000000,0,-1.0,0.0,0,20210621,080422,51076,19.12,23.40,25.97,26.49,26.9,54.8,123.57,148.54,152.36,153.02,153.14,0.71,0,0,4.61,22.9,68.7,90E
33,0.000000,0.000000,0,-1.0,0.0,0,20210621,080423,52151,19.25,23.58,26.18,26.70,26.9,54.5,124.43,149.59,153.45,154.11,154.24,0.72,0,0,4.60,22.9,68.2,90E
34,0.000000,0.000000,0,-1.0,0.0,0,20210621,080424,53226,19.32,23.68,26.30,26.83,26.9,54.2,124.82,150.09,153.99,154.66,154.78,0.73,0,0,4.61,22.9,67.9,90E
35,0.000000,0.000000,0,-1.0,0.0,0,20210621,080425,54301,19.35,23.73,26.37,26.90,26.9,54.2,124.97,150.30,154.22,154.89,155.02,0.73,0,0,4.61,22.9,68.0,90E
36,0.000000,0.000000,0,-1.0,0.0,0,20210621,080426,55373,19.35,23.75,26.40,26.94,27.0,54.2,124.92,150.27,154.21,154.88,155.01,0.73,0,0,4.61,23.0,67.8,90E
37,0.000000,0.000000,0,-1.0,0.0,0,20210621,080427,56447,19.32,23.74,26.41,26.94,27.0,54.1,124.69,150.04,154.00,154.68,154.81,0.73,0,0,4.61,23.0,67.8,90E
38,0.000000,0.000000,0,-1.0,0.0,0,20210621,080428,57521,19.31,23.75,26.45,26.99,27.0,54.5,124.54,149.91,153.89,154.58,154.71,0.73,0,0,4.61,23.0,68.3,90E
