STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,59.348828,18.073224,1,-1.0,25.9,6,20210821,154050,16714,2.12,8.45,13.46,14.47,29.2,29.3,0.00,9.81,16.54,17.73,17.92,1.63,0,0,3.68,25.2,36.6,A7A
1,59.348885,18.073250,1,2.8,28.3,6,20210821,154058,23615,0.72,0.77,0.77,0.77,29.0,28.8,4.98,5.77,5.78,5.79,5.79,0.28,0,0,3.68,25.0,35.9,A7A
2,59.348893,18.073248,1,2.1,29.2,6,20210821,154059,24692,0.73,0.77,0.77,0.77,29.0,28.9,5.03,5.83,5.84,5.84,5.85,0.28,0,0,3.68,25.0,36.1,A7A
3,59.348893,18.073248,1,2.1,29.2,6,20210821,154100,25761,0.74,0.78,0.78,0.78,29.0,29.1,5.07,5.87,5.89,5.89,5.89,0.28,0,0,3.67,25.0,36.3,A7A
4,59.348893,18.073236,1,2.1,29.9,6,20210821,154101,26830,0.74,0.78,0.78,0.78,29.0,29.8,5.05,5.85,5.87,5.87,5.87,0.28,0,0,3.67,25.0,37.2,A7A
5,59.348893,18.073240,1,1.9,30.2,6,20210821,154102,27899,0.73,0.77,0.77,0.77,29.0,30.3,4.99,5.78,5.79,5.79,5.79,0.28,0,0,3.68,25.0,37.8,A7A
6,59.348885,18.073242,1,5.5,30.6,6,20210821,154103,28975,0.71,0.75,0.75,0.75,29.0,30.4,4.88,5.66,5.67,5.67,5.67,0.28,0,0,3.67,25.0,37.9,A7A
7,59.348869,18.073246,1,7.8,30.9,6,20210821,154104,30044,0.70,0.74,0.74,0.74,29.0,30.5,4.80,5.56,5.58,5.58,5.58,0.28,0,0,3.68,25.0,38.1,A7A
8,59.348853,18.073246,1,6.6,31.2,6,20210821,154105,31114,0.68,0.72,0.72,0.72,29.0,30.6,4.69,5.43,5.44,5.44,5.45,0.28,0,0,3.67,25.0,38.2,A7A
9,59.348853,18.073260,1,6.9,32.4,6,20210821,154106,32183,0.66,0.70,0.70,0.70,29.0,30.9,4.55,5.27,5.28,5.28,5.28,0.28,0,0,3.67,25.0,38.5,A7A
