STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210907,055310,16728,8.44,23.01,34.42,36.70,22.6,49.9,23.50,51.05,66.42,69.14,69.58,1.42,0,0,3.76,18.6,63.0,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20210907,055311,17799,3.94,9.81,14.39,15.30,22.6,49.4,13.24,24.89,31.06,32.15,32.33,1.12,0,0,3.76,18.6,62.3,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20210907,055312,18869,3.33,6.11,8.20,8.62,22.6,49.8,16.54,23.53,26.39,26.89,26.98,1.08,0,0,3.76,18.6,62.9,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20210907,055314,19940,3.08,4.52,5.54,5.74,22.6,50.3,18.10,23.09,24.52,24.76,24.81,0.86,0,0,3.76,18.6,63.5,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20210907,055315,21011,3.08,4.42,5.37,5.56,22.6,50.4,18.31,23.19,24.51,24.74,24.78,0.83,0,0,3.76,18.6,63.6,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20210907,055315,22082,3.02,4.01,4.67,4.80,22.7,50.0,18.78,23.13,24.07,24.23,24.26,0.78,0,0,3.76,18.7,63.2,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20210907,055317,23149,3.01,3.90,4.48,4.59,22.6,50.3,18.91,23.12,23.96,24.10,24.13,0.78,0,0,3.76,18.6,63.5,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20210907,055318,24220,3.00,3.84,4.37,4.47,22.6,50.3,19.04,23.17,23.94,24.07,24.09,0.77,0,0,3.76,18.6,63.5,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20210907,055319,25291,3.01,3.76,4.23,4.32,22.6,50.5,19.24,23.27,23.96,24.08,24.10,0.76,0,0,3.76,18.6,63.8,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20210907,055320,26358,2.99,3.64,4.02,4.10,22.6,50.5,19.41,23.28,23.85,23.95,23.97,0.73,0,0,3.76,18.6,63.8,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20210907,055321,27429,2.99,3.51,3.80,3.86,22.5,50.4,19.65,23.36,23.80,23.88,23.89,0.71,0,0,3.76,18.5,63.7,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20210907,055322,28501,2.99,3.52,3.81,3.87,22.5,50.0,19.69,23.41,23.86,23.93,23.95,0.69,0,0,3.75,18.5,63.1,B1F
