STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210907,110531,16739,3.36,3.56,3.56,3.56,24.5,77.2,23.10,26.76,26.83,26.84,26.85,0.55,0,0,3.76,20.5,97.1,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20210907,110532,17806,2.24,2.37,2.37,2.37,24.6,75.7,15.40,17.84,17.89,17.89,17.90,0.53,0,0,3.76,20.6,95.2,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20210907,110533,18874,2.25,2.38,2.38,2.38,24.6,74.5,15.48,17.93,17.98,17.98,17.99,0.47,0,0,3.76,20.6,93.7,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20210907,110534,19945,2.28,2.41,2.41,2.41,24.5,73.6,15.66,18.14,18.18,18.19,18.19,0.43,0,0,3.75,20.5,92.5,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20210907,110535,21016,2.28,2.41,2.41,2.41,24.6,72.2,15.68,18.17,18.21,18.22,18.22,0.45,0,0,3.76,20.6,90.8,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20210907,110537,22086,2.26,2.39,2.39,2.39,24.6,71.2,15.55,18.01,18.05,18.06,18.06,0.45,0,0,3.76,20.6,89.5,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20210907,110538,23163,2.24,2.37,2.37,2.37,24.6,70.5,15.39,17.84,17.88,17.89,17.89,0.43,0,0,3.76,20.6,88.7,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20210907,110539,24234,2.21,2.34,2.34,2.34,24.7,71.0,15.20,17.60,17.65,17.65,17.66,0.45,0,0,3.76,20.7,89.3,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20210907,110540,25305,2.20,2.33,2.33,2.33,24.7,72.1,15.11,17.51,17.55,17.56,17.56,0.47,0,0,3.76,20.7,90.7,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20210907,110541,26382,2.19,2.32,2.32,2.32,24.7,72.9,15.05,17.44,17.48,17.49,17.49,0.51,0,0,3.76,20.7,91.6,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20210907,110542,27453,2.18,2.30,2.30,2.30,24.7,73.1,14.96,17.34,17.38,17.39,17.39,0.51,0,0,3.76,20.7,92.0,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20210907,110543,28525,2.15,2.28,2.28,2.28,24.7,73.3,14.78,17.13,17.17,17.18,17.18,0.53,0,0,3.76,20.7,92.2,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20210907,110544,29597,2.13,2.25,2.25,2.25,24.7,73.3,14.60,16.92,16.96,16.97,16.97,0.55,0,0,3.75,20.7,92.1,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20210907,110545,30665,2.06,2.18,2.18,2.18,24.8,73.0,14.18,16.43,16.47,16.48,16.48,0.54,0,0,3.76,20.8,91.8,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20210907,110546,31737,2.03,2.14,2.14,2.14,24.7,72.0,13.92,16.12,16.16,16.17,16.17,0.56,0,0,3.76,20.7,90.5,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20210907,110547,32809,2.01,2.12,2.12,2.12,24.8,70.8,13.79,15.98,16.02,16.02,16.03,0.53,0,0,3.76,20.8,89.1,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20210907,110548,33881,1.98,2.10,2.10,2.10,24.8,70.4,13.63,15.79,15.83,15.84,15.84,0.52,0,0,3.76,20.8,88.5,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20210907,110550,34958,1.96,2.07,2.07,2.07,24.8,70.8,13.48,15.62,15.66,15.66,15.66,0.53,0,0,3.76,20.8,89.0,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20210907,110551,36030,1.92,2.03,2.03,2.03,24.8,71.6,13.22,15.32,15.36,15.36,15.37,0.53,0,0,3.76,20.8,90.0,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20210907,110552,37102,1.89,1.99,1.99,1.99,24.8,72.1,12.96,15.01,15.05,15.06,15.06,0.54,0,0,3.76,20.8,90.6,B1F
