STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210908,050804,16724,6.79,13.45,18.52,19.53,21.1,72.7,31.73,47.12,53.82,54.98,55.18,1.07,0,0,3.75,17.1,92.1,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210908,050805,17795,9.55,21.67,31.04,32.91,21.1,72.8,37.94,63.14,75.44,77.57,77.94,1.23,0,0,3.75,17.1,92.2,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210908,050806,18868,8.99,18.07,25.01,26.40,21.2,72.5,41.28,62.01,71.17,72.75,73.02,1.07,0,0,3.75,17.2,91.8,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210908,050808,19944,8.84,17.61,24.30,25.64,21.2,72.5,41.03,61.20,70.04,71.56,71.82,1.11,0,0,3.75,17.2,91.7,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210908,050809,21019,8.56,15.89,21.43,22.54,21.2,72.3,42.50,60.54,67.89,69.15,69.37,1.03,0,0,3.76,17.2,91.5,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210908,050809,22094,8.18,13.20,16.88,17.61,21.2,71.9,45.37,60.05,64.99,65.83,65.98,0.89,0,0,3.75,17.2,91.0,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210908,050811,23164,8.06,12.87,16.39,17.09,21.3,71.4,45.05,59.34,64.07,64.88,65.02,0.88,0,0,3.75,17.3,90.4,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210908,050812,24239,7.82,11.84,14.73,15.31,21.3,70.9,45.26,58.29,62.21,62.87,62.99,0.84,0,0,3.75,17.3,89.8,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210908,050812,25313,7.63,11.28,13.87,14.39,21.3,70.9,44.80,57.16,60.69,61.29,61.40,0.82,0,0,3.76,17.3,89.7,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210908,050814,26383,7.37,10.12,12.01,12.39,21.3,70.7,45.10,56.05,58.65,59.10,59.18,0.76,0,0,3.75,17.3,89.4,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210908,050815,27458,7.20,9.57,11.16,11.48,21.2,70.3,44.79,55.08,57.30,57.68,57.75,0.73,0,0,3.75,17.2,88.9,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210908,050816,28532,7.10,9.35,10.84,11.14,21.3,69.7,44.41,54.44,56.53,56.89,56.95,0.75,0,0,3.75,17.3,88.2,488
