STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210909,053512,16673,11.69,13.82,15.00,15.23,26.5,54.2,76.96,91.44,93.23,93.53,93.59,0.57,0,0,3.76,22.5,67.9,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20210909,053513,17745,5.73,6.06,6.06,6.06,26.5,53.1,39.44,45.62,45.75,45.77,45.77,0.55,0,0,3.76,22.5,66.6,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20210909,053514,18813,5.83,6.99,7.65,7.78,26.5,52.0,38.14,45.48,46.47,46.64,46.67,0.63,0,0,3.76,22.5,65.2,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20210909,053515,19884,5.74,6.65,7.12,7.21,26.5,51.3,38.11,45.04,45.78,45.90,45.92,0.59,0,0,3.76,22.5,64.3,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20210909,053516,20955,5.62,5.95,5.95,5.95,26.5,50.9,38.68,44.74,44.87,44.88,44.89,0.49,0,0,3.76,22.5,63.8,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20210909,053517,22026,5.60,5.92,5.92,5.92,26.5,50.5,38.53,44.57,44.70,44.71,44.72,0.52,0,0,3.76,22.5,63.3,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20210909,053520,23093,5.57,5.89,5.89,5.89,26.5,50.0,38.29,44.29,44.42,44.43,44.44,0.56,0,0,3.76,22.5,62.6,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20210909,053521,24164,5.60,6.29,6.60,6.66,26.5,49.3,37.61,44.13,44.65,44.73,44.75,0.58,0,0,3.75,22.5,61.8,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20210909,053522,25235,5.60,6.25,6.53,6.58,26.5,48.7,37.70,44.17,44.65,44.73,44.74,0.59,0,0,3.76,22.5,61.1,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20210909,053523,26312,5.58,6.14,6.33,6.36,26.5,48.1,37.84,44.16,44.53,44.59,44.60,0.60,0,0,3.76,22.5,60.3,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20210909,053524,27382,5.58,6.17,6.39,6.43,26.4,47.7,37.72,44.08,44.49,44.55,44.57,0.57,0,0,3.76,22.4,59.8,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20210909,053525,28453,5.55,5.87,5.87,5.87,26.4,47.4,38.20,44.19,44.32,44.33,44.34,0.55,0,0,3.76,22.4,59.4,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20210909,053526,29525,5.56,5.88,5.88,5.88,26.4,47.1,38.23,44.22,44.35,44.37,44.37,0.55,0,0,3.76,22.4,59.0,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20210909,053527,30593,5.57,6.07,6.21,6.24,26.4,46.8,37.90,44.14,44.45,44.49,44.51,0.56,0,0,3.76,22.4,58.7,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20210909,053528,31665,5.54,5.99,6.09,6.11,26.5,46.7,37.83,43.97,44.23,44.27,44.28,0.56,0,0,3.76,22.5,58.5,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20210909,053530,32737,5.56,6.03,6.14,6.17,26.4,46.4,37.93,44.11,44.39,44.43,44.45,0.58,0,0,3.76,22.4,58.2,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20210909,053531,33805,5.60,6.07,6.20,6.22,26.4,46.3,38.16,44.40,44.69,44.73,44.74,0.59,0,0,3.76,22.4,58.0,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20210909,053532,34877,5.65,6.12,6.23,6.25,26.4,46.2,38.56,44.84,45.11,45.15,45.17,0.60,0,0,3.76,22.4,57.9,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20210909,053533,35949,5.75,6.23,6.36,6.39,26.4,46.1,39.16,45.56,45.86,45.90,45.92,0.62,0,0,3.76,22.4,57.8,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20210909,053534,37021,5.83,6.36,6.52,6.55,26.4,45.9,39.67,46.20,46.54,46.59,46.60,0.63,0,0,3.76,22.4,57.6,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20210909,053535,38089,5.91,6.47,6.64,6.68,26.4,45.8,40.11,46.77,47.13,47.19,47.20,0.64,0,0,3.76,22.4,57.4,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20210909,053536,39161,5.97,6.55,6.74,6.78,26.3,45.7,40.47,47.21,47.60,47.66,47.68,0.64,0,0,3.76,22.3,57.3,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20210909,053537,40233,6.00,6.53,6.68,6.71,26.3,45.6,40.84,47.55,47.88,47.93,47.94,0.62,0,0,3.76,22.3,57.1,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20210909,053538,41305,6.01,6.54,6.69,6.72,26.2,45.5,40.93,47.65,47.99,48.04,48.05,0.63,0,0,3.76,22.2,57.0,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20210909,053539,42373,6.01,6.53,6.67,6.70,26.1,45.4,40.92,47.62,47.94,47.99,48.00,0.62,0,0,3.76,22.1,57.0,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20210909,053540,43445,5.99,6.50,6.64,6.67,26.0,45.4,40.84,47.52,47.83,47.88,47.89,0.62,0,0,3.76,22.0,57.0,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20210909,053541,44517,5.99,6.45,6.54,6.56,25.8,45.5,40.96,47.56,47.82,47.86,47.87,0.60,0,0,3.76,21.8,57.1,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20210909,053542,45585,5.99,6.41,6.48,6.49,25.5,45.5,41.04,47.60,47.82,47.85,47.86,0.59,0,0,3.76,21.5,57.2,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20210909,053543,46657,5.96,6.37,6.43,6.44,25.5,45.8,40.81,47.32,47.54,47.56,47.57,0.59,0,0,3.76,21.5,57.5,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20210909,053545,47729,5.91,6.31,6.37,6.38,25.5,46.0,40.47,46.93,47.13,47.16,47.17,0.59,0,0,3.76,21.5,57.8,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20210909,053546,48801,5.86,6.26,6.30,6.31,25.5,46.2,40.20,46.59,46.79,46.81,46.82,0.59,0,0,3.76,21.5,58.1,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20210909,053547,49869,5.83,6.21,6.26,6.26,25.5,46.4,39.96,46.31,46.50,46.53,46.54,0.59,0,0,3.75,21.5,58.2,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20210909,053548,50941,5.79,6.19,6.23,6.24,25.4,46.5,39.71,46.03,46.23,46.25,46.26,0.60,0,0,3.76,21.4,58.4,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20210909,053549,52013,5.75,6.13,6.18,6.18,25.3,46.6,39.43,45.69,45.88,45.91,45.92,0.59,0,0,3.76,21.3,58.6,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20210909,053550,53081,5.70,6.07,6.11,6.11,25.2,46.8,39.07,45.27,45.45,45.47,45.48,0.59,0,0,3.76,21.2,58.8,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20210909,053551,54153,5.65,6.02,6.06,6.07,25.2,47.0,38.73,44.88,45.06,45.09,45.10,0.59,0,0,3.76,21.2,59.0,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20210909,053552,55224,5.64,6.02,6.07,6.08,25.1,47.2,38.67,44.82,45.02,45.04,45.05,0.60,0,0,3.76,21.1,59.3,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20210909,053553,56295,5.65,6.03,6.07,6.08,25.1,47.3,38.78,44.94,45.12,45.14,45.15,0.60,0,0,3.76,21.1,59.5,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20210909,053554,57362,5.69,6.06,6.11,6.11,25.1,47.5,38.99,45.19,45.38,45.40,45.41,0.60,0,0,3.75,21.1,59.7,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20210909,053555,58433,5.73,6.11,6.16,6.17,25.1,47.6,39.26,45.50,45.69,45.72,45.73,0.60,0,0,3.76,21.1,59.8,1ED
40,0.000000,0.000000,0,-1.0,0.0,0,20210909,053556,59504,5.71,6.09,6.14,6.15,25.1,47.7,39.17,45.40,45.59,45.61,45.62,0.60,0,0,3.76,21.1,60.0,1ED
41,0.000000,0.000000,0,-1.0,0.0,0,20210909,053557,60572,5.72,6.09,6.13,6.14,25.1,47.7,39.22,45.45,45.63,45.65,45.66,0.59,0,0,3.76,21.1,60.0,1ED
42,0.000000,0.000000,0,-1.0,0.0,0,20210909,053558,61644,5.74,6.12,6.16,6.17,25.1,47.8,39.36,45.62,45.80,45.83,45.84,0.60,0,0,3.76,21.1,60.0,1ED
43,0.000000,0.000000,0,-1.0,0.0,0,20210909,053600,62715,5.79,6.17,6.20,6.21,25.0,47.8,39.75,46.05,46.23,46.26,46.27,0.60,0,0,3.76,21.0,60.0,1ED
44,0.000000,0.000000,0,-1.0,0.0,0,20210909,053601,63786,5.81,6.18,6.22,6.22,25.0,47.8,39.84,46.15,46.33,46.35,46.36,0.59,0,0,3.76,21.0,60.1,1ED
45,0.000000,0.000000,0,-1.0,0.0,0,20210909,053602,64853,5.81,6.18,6.21,6.21,25.0,47.9,39.87,46.18,46.35,46.37,46.38,0.59,0,0,3.75,21.0,60.1,1ED
46,0.000000,0.000000,0,-1.0,0.0,0,20210909,053603,65924,5.81,6.18,6.21,6.22,25.0,48.0,39.88,46.19,46.36,46.39,46.40,0.59,0,0,3.75,21.0,60.3,1ED
47,0.000000,0.000000,0,-1.0,0.0,0,20210909,053604,66995,5.79,6.16,6.19,6.20,25.0,48.1,39.75,46.04,46.22,46.24,46.25,0.59,0,0,3.76,21.0,60.4,1ED
48,0.000000,0.000000,0,-1.0,0.0,0,20210909,053605,68062,5.79,6.16,6.19,6.19,25.0,48.1,39.78,46.07,46.24,46.26,46.27,0.59,0,0,3.76,21.0,60.5,1ED
49,0.000000,0.000000,0,-1.0,0.0,0,20210909,053606,69133,5.77,6.13,6.16,6.16,25.0,48.1,39.63,45.89,46.05,46.07,46.08,0.59,0,0,3.76,21.0,60.5,1ED
50,0.000000,0.000000,0,-1.0,0.0,0,20210909,053607,70204,5.77,6.12,6.14,6.15,25.0,48.2,39.64,45.89,46.05,46.07,46.07,0.58,0,0,3.76,21.0,60.6,1ED
51,0.000000,0.000000,0,-1.0,0.0,0,20210909,053608,71275,5.78,6.14,6.16,6.17,24.9,48.2,39.72,45.99,46.15,46.17,46.18,0.58,0,0,3.76,20.9,60.6,1ED
52,0.000000,0.000000,0,-1.0,0.0,0,20210909,053609,72342,5.82,6.18,6.20,6.20,24.9,48.3,39.96,46.27,46.43,46.45,46.46,0.57,0,0,3.76,20.9,60.7,1ED
