STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210914,153402,16700,1.98,6.58,10.22,10.95,20.8,35.6,2.85,10.77,15.50,16.33,16.47,1.63,0,0,3.69,16.8,45.1,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210914,153403,17772,2.64,7.37,11.07,11.81,20.8,35.5,7.21,15.94,20.78,21.62,21.76,1.03,0,0,3.69,16.8,45.0,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210914,153404,18840,2.72,7.97,12.09,12.91,20.8,35.5,6.51,15.99,21.37,22.31,22.46,1.27,0,0,3.69,16.8,44.9,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210914,153405,19911,2.60,7.07,10.57,11.27,20.8,35.4,7.50,15.87,20.44,21.24,21.37,1.29,0,0,3.69,16.8,44.9,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210914,153406,20981,2.46,6.12,8.96,9.53,20.8,35.5,8.47,15.65,19.38,20.02,20.13,1.14,0,0,3.69,16.8,44.9,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210914,153406,22049,2.41,6.01,8.80,9.36,20.8,35.5,8.32,15.37,19.04,19.67,19.78,1.14,0,0,3.69,16.8,45.0,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210914,153408,23125,2.32,5.56,8.08,8.58,20.8,35.6,8.52,15.02,18.32,18.89,18.99,1.14,0,0,3.69,16.8,45.1,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210914,153409,24194,2.23,5.07,7.27,7.70,20.8,35.7,8.84,14.73,17.62,18.12,18.20,1.17,0,0,3.69,16.8,45.2,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210914,153410,25263,2.22,5.09,7.32,7.76,20.8,35.8,8.67,14.60,17.52,18.02,18.11,1.14,0,0,3.69,16.8,45.3,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210914,153412,26339,2.17,4.79,6.81,7.22,20.8,35.8,8.91,14.47,17.13,17.59,17.67,1.17,0,0,3.69,16.8,45.3,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210914,153413,27408,2.06,3.96,5.40,5.69,20.8,35.8,9.92,14.44,16.34,16.67,16.73,1.02,0,0,3.69,16.8,45.4,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210914,153414,28478,2.02,3.61,4.81,5.05,20.7,36.0,10.32,14.39,15.99,16.26,16.31,0.94,0,0,3.69,16.7,45.5,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210914,153415,29549,1.99,3.39,4.43,4.63,20.8,36.0,10.58,14.38,15.77,16.01,16.05,0.91,0,0,3.69,16.8,45.6,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210914,153416,30626,1.98,3.30,4.26,4.46,20.8,35.9,10.78,14.46,15.76,15.98,16.02,0.88,0,0,3.69,16.8,45.4,488
14,0.000000,0.000000,0,-1.0,0.0,0,20210914,153417,31696,2.01,3.33,4.30,4.50,20.8,35.7,10.92,14.64,15.94,16.17,16.21,0.89,0,0,3.69,16.8,45.2,488
15,0.000000,0.000000,0,-1.0,0.0,0,20210914,153418,32766,2.01,3.24,4.14,4.32,20.8,35.5,11.18,14.78,15.99,16.20,16.23,0.87,0,0,3.69,16.8,45.0,488
16,0.000000,0.000000,0,-1.0,0.0,0,20210914,153419,33836,2.01,3.09,3.87,4.03,20.8,35.4,11.49,14.90,15.96,16.14,16.17,0.84,0,0,3.68,16.8,44.8,488
17,0.000000,0.000000,0,-1.0,0.0,0,20210914,153419,34913,2.00,3.03,3.77,3.92,20.8,35.3,11.57,14.91,15.91,16.08,16.11,0.82,0,0,3.69,16.8,44.7,488
