STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210916,133854,16688,1.94,6.28,9.70,10.38,23.2,52.6,3.20,10.73,15.19,15.97,16.10,1.63,0,0,3.55,19.2,66.4,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20210916,133855,17765,1.03,3.63,5.68,6.09,23.2,53.4,1.05,5.43,8.10,8.56,8.64,1.63,0,0,3.55,19.2,67.3,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20210916,133856,18838,1.02,3.59,5.62,6.03,23.2,54.1,1.04,5.37,8.01,8.47,8.55,1.63,0,0,3.55,19.2,68.2,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20210916,133857,19914,0.91,2.76,4.22,4.51,23.2,53.6,1.93,5.23,7.13,7.46,7.52,1.63,0,0,3.55,19.2,67.6,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20210916,133858,20990,0.63,0.67,0.67,0.67,23.2,51.5,4.36,5.05,5.06,5.06,5.06,0.51,0,0,3.55,19.2,64.9,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20210916,133859,22066,0.64,0.68,0.68,0.68,23.2,48.8,4.41,5.10,5.12,5.12,5.12,0.53,0,0,3.55,19.2,61.5,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20210916,133901,23138,0.66,0.70,0.70,0.70,23.2,46.3,4.54,5.25,5.27,5.27,5.27,0.43,0,0,3.55,19.2,58.4,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20210916,133902,24214,0.67,0.71,0.71,0.71,23.2,44.4,4.64,5.37,5.38,5.38,5.39,0.48,0,0,3.55,19.2,55.9,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20210916,133903,25290,0.68,0.72,0.72,0.72,23.2,42.8,4.68,5.41,5.42,5.43,5.43,0.48,0,0,3.55,19.2,54.0,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20210916,133904,26366,0.68,0.72,0.72,0.72,23.3,41.7,4.70,5.44,5.45,5.46,5.46,0.48,0,0,3.55,19.3,52.6,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20210916,133905,27438,0.69,0.73,0.73,0.73,23.3,40.9,4.72,5.46,5.47,5.48,5.48,0.45,0,0,3.55,19.3,51.5,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20210916,133906,28515,0.70,0.74,0.74,0.74,23.3,40.1,4.82,5.57,5.59,5.59,5.59,0.52,0,0,3.55,19.3,50.6,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20210916,133907,29592,0.72,0.76,0.76,0.76,23.3,39.7,4.94,5.71,5.73,5.73,5.73,0.55,0,0,3.55,19.3,50.0,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20210916,133908,30665,0.77,0.84,0.87,0.88,23.3,39.4,5.18,6.05,6.11,6.11,6.12,0.58,0,0,3.55,19.3,49.7,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20210916,133909,31742,0.79,0.88,0.90,0.91,23.3,39.3,5.38,6.28,6.33,6.34,6.35,0.61,0,0,3.55,19.3,49.6,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20210916,133910,32819,0.81,0.89,0.92,0.93,23.4,39.4,5.48,6.40,6.46,6.47,6.47,0.61,0,0,3.55,19.4,49.7,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20210916,133911,33896,0.83,0.96,1.02,1.03,23.3,39.9,5.54,6.54,6.64,6.66,6.66,0.64,0,0,3.55,19.3,50.4,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20210916,133912,34969,0.84,0.96,1.02,1.03,23.3,39.3,5.64,6.64,6.73,6.74,6.74,0.62,0,0,3.54,19.3,49.5,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20210916,133914,36046,0.86,0.98,1.04,1.05,23.3,38.5,5.73,6.75,6.84,6.86,6.86,0.61,0,0,3.54,19.3,48.6,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20210916,133915,37123,0.88,1.01,1.08,1.10,23.3,38.1,5.82,6.88,6.99,7.00,7.01,0.60,0,0,3.54,19.3,48.0,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20210916,133916,38200,0.89,1.01,1.07,1.08,23.3,37.7,5.96,7.01,7.10,7.12,7.12,0.60,0,0,3.55,19.3,47.6,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20210916,133917,39273,0.90,1.04,1.10,1.11,23.3,37.2,6.02,7.10,7.20,7.22,7.22,0.60,0,0,3.55,19.3,46.9,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20210916,133918,40350,0.92,1.05,1.12,1.13,23.3,36.6,6.15,7.25,7.36,7.37,7.38,0.61,0,0,3.54,19.3,46.1,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20210916,133919,41426,0.94,1.09,1.16,1.18,23.3,36.0,6.22,7.36,7.48,7.50,7.50,0.62,0,0,3.54,19.3,45.4,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20210916,133920,42499,0.96,1.11,1.20,1.21,23.3,35.7,6.35,7.52,7.65,7.67,7.67,0.60,0,0,3.54,19.3,44.9,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20210916,133921,43575,0.99,1.18,1.28,1.30,23.4,35.9,6.50,7.73,7.89,7.92,7.92,0.63,0,0,3.55,19.4,45.3,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20210916,133922,44651,1.06,1.25,1.36,1.38,23.4,36.8,6.98,8.29,8.45,8.48,8.49,0.62,0,0,3.55,19.4,46.4,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20210916,133923,45728,1.09,1.28,1.38,1.40,23.4,37.4,7.23,8.57,8.72,8.75,8.75,0.60,0,0,3.55,19.4,47.1,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20210916,133924,46801,1.14,1.34,1.45,1.48,23.3,37.6,7.51,8.92,9.09,9.11,9.12,0.62,0,0,3.55,19.3,47.4,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20210916,133925,47878,1.17,1.37,1.48,1.50,23.4,37.4,7.77,9.20,9.37,9.40,9.40,0.62,0,0,3.55,19.4,47.2,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20210916,133927,48955,1.20,1.41,1.52,1.55,23.3,37.4,7.92,9.40,9.57,9.60,9.61,0.62,0,0,3.54,19.3,47.2,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20210916,133928,50032,1.21,1.42,1.54,1.56,23.2,36.9,7.98,9.46,9.64,9.67,9.67,0.62,0,0,3.54,19.2,46.5,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20210916,133929,51105,1.21,1.42,1.53,1.55,23.2,36.3,7.99,9.47,9.64,9.67,9.68,0.63,0,0,3.54,19.2,45.8,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20210916,133930,52182,1.23,1.43,1.54,1.56,23.2,36.2,8.14,9.63,9.80,9.83,9.83,0.64,0,0,3.54,19.2,45.7,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20210916,133931,53259,1.26,1.48,1.60,1.62,23.4,36.5,8.33,9.88,10.06,10.09,10.09,0.64,0,0,3.54,19.4,46.0,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20210916,133932,54335,1.28,1.49,1.61,1.63,23.3,36.9,8.46,10.02,10.20,10.23,10.23,0.64,0,0,3.54,19.3,46.5,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20210916,133933,55405,1.29,1.50,1.60,1.63,23.1,36.7,8.53,10.09,10.26,10.29,10.29,0.63,0,0,3.54,19.1,46.2,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20210916,133934,56475,1.30,1.49,1.59,1.61,23.1,36.0,8.64,10.20,10.35,10.38,10.38,0.60,0,0,3.54,19.1,45.4,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20210916,133935,57547,1.31,1.50,1.59,1.61,23.1,35.3,8.77,10.33,10.48,10.50,10.51,0.59,0,0,3.54,19.1,44.5,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20210916,133936,58624,1.34,1.54,1.63,1.65,23.0,34.5,8.97,10.57,10.72,10.75,10.75,0.60,0,0,3.54,19.0,43.6,1ED
