STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210916,142450,16665,2.73,8.07,12.27,13.11,18.0,52.3,6.31,15.94,21.42,22.37,22.53,1.63,0,0,3.52,14.0,66.6,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20210916,142451,17733,0.95,3.01,4.63,4.95,18.0,52.0,1.75,5.35,7.46,7.83,7.89,1.63,0,0,3.52,14.0,66.2,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20210916,142453,18806,0.95,3.01,4.63,4.95,18.1,51.8,1.75,5.35,7.46,7.83,7.89,1.63,0,0,3.52,14.1,65.9,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20210916,142454,19882,0.93,2.82,4.31,4.61,18.1,51.5,2.01,5.38,7.32,7.65,7.71,1.63,0,0,3.52,14.1,65.5,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20210916,142454,20958,0.96,2.93,4.48,4.79,18.1,51.3,1.98,5.48,7.50,7.85,7.91,1.63,0,0,3.52,14.1,65.3,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20210916,142456,22034,0.96,2.89,4.42,4.72,18.1,51.2,2.09,5.55,7.53,7.88,7.94,1.63,0,0,3.52,14.1,65.2,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,0,142457,23106,0.96,2.90,4.42,4.73,18.2,51.4,2.09,5.55,7.54,7.89,7.95,1.63,0,0,3.52,14.2,65.4,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20210916,142457,24175,0.95,2.87,4.38,4.68,18.2,51.5,2.07,5.50,7.47,7.82,7.87,1.63,0,0,3.52,14.2,65.5,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20210916,142459,25251,0.85,2.07,3.03,3.22,18.2,51.7,2.99,5.42,6.67,6.88,6.92,1.26,0,0,3.52,14.2,65.8,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20210916,142500,26327,0.83,1.97,2.85,3.03,18.3,51.9,3.11,5.41,6.57,6.77,6.80,1.26,0,0,3.52,14.3,66.0,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20210916,142501,27398,0.82,1.89,2.72,2.88,18.3,52.2,3.20,5.40,6.49,6.68,6.71,1.26,0,0,3.44,14.3,66.4,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20210916,142502,28474,0.81,1.79,2.54,2.69,18.3,52.5,3.37,5.44,6.43,6.60,6.63,1.19,0,0,3.43,14.3,66.8,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20210916,142503,29550,0.83,1.88,2.69,2.85,18.4,52.7,3.31,5.49,6.56,6.74,6.77,1.22,0,0,3.43,14.4,67.0,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20210916,142504,30623,0.86,1.90,2.70,2.86,18.3,52.7,3.53,5.73,6.78,6.97,7.00,1.20,0,0,3.43,14.3,67.1,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20210916,142505,31700,0.85,1.61,2.18,2.29,18.4,52.8,4.14,5.97,6.73,6.86,6.88,1.03,0,0,3.43,14.4,67.1,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20210916,142507,32777,0.87,1.50,1.98,2.07,18.5,53.0,4.58,6.27,6.90,7.01,7.03,0.94,0,0,3.52,14.5,67.4,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20210916,142507,33854,0.90,1.50,1.95,2.04,18.4,53.3,4.84,6.51,7.11,7.21,7.23,0.90,0,0,3.52,14.4,67.7,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20210916,142509,34927,0.91,1.53,1.99,2.08,18.5,53.5,4.94,6.65,7.26,7.37,7.38,0.90,0,0,3.52,14.5,68.1,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,0,142510,36004,0.94,1.57,2.05,2.14,18.6,53.7,5.04,6.80,7.43,7.54,7.56,0.92,0,0,3.52,14.6,68.3,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20210916,142510,37073,0.95,1.53,1.95,2.04,18.6,53.8,5.25,6.94,7.52,7.61,7.63,0.89,0,0,3.52,14.6,68.4,1ED
20,0.000000,0.000000,0,0.0,0.0,0,20210916,142511,38150,0.96,1.53,1.95,2.03,18.6,53.6,5.35,7.05,7.61,7.71,7.72,0.89,0,0,3.52,14.6,68.2,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20210916,142513,39222,0.96,1.52,1.93,2.01,18.6,53.5,5.43,7.11,7.66,7.75,7.77,0.90,0,0,3.52,14.6,68.0,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20210916,142514,40298,0.97,1.53,1.94,2.02,18.6,53.4,5.50,7.20,7.74,7.84,7.85,0.91,0,0,3.53,14.6,67.9,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20210916,142515,41374,0.99,1.50,1.86,1.94,18.7,53.2,5.69,7.34,7.83,7.92,7.94,0.89,0,0,3.52,14.7,67.6,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20210916,142516,42451,1.00,1.47,1.80,1.87,18.6,52.9,5.92,7.53,7.99,8.06,8.08,0.87,0,0,3.52,14.6,67.2,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20210916,142517,43523,1.02,1.49,1.83,1.89,18.7,52.5,5.99,7.62,8.08,8.16,8.17,0.87,0,0,3.52,14.7,66.7,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20210916,142518,44600,1.01,1.43,1.72,1.77,18.7,52.0,6.12,7.67,8.07,8.13,8.15,0.83,0,0,3.52,14.7,66.1,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20210916,142519,45677,1.00,1.42,1.70,1.76,18.7,51.6,6.06,7.60,8.00,8.06,8.07,0.83,0,0,3.52,14.7,65.6,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20210916,142520,46750,1.00,1.39,1.67,1.72,18.7,51.2,6.06,7.57,7.95,8.01,8.02,0.84,0,0,3.52,14.7,65.0,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20210916,142522,47827,0.99,1.37,1.64,1.69,18.7,50.7,6.03,7.52,7.89,7.95,7.96,0.84,0,0,3.52,14.7,64.5,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,0,142523,48904,0.98,1.33,1.57,1.61,18.8,50.4,6.07,7.51,7.83,7.89,7.90,0.82,0,0,3.52,14.8,64.0,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20210916,142523,49973,0.99,1.33,1.56,1.60,18.8,50.0,6.09,7.52,7.84,7.90,7.91,0.83,0,0,3.52,14.8,63.6,1ED
32,0.000000,0.000000,0,0.0,0.0,0,20210916,142524,51046,0.98,1.32,1.54,1.59,18.8,49.7,6.04,7.46,7.78,7.83,7.84,0.83,0,0,3.52,14.8,63.2,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20210916,142525,52122,0.97,1.30,1.53,1.58,18.9,49.4,5.98,7.39,7.71,7.76,7.77,0.83,0,0,3.52,14.9,62.8,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20210916,142527,53199,0.97,1.25,1.43,1.47,18.8,49.2,6.12,7.45,7.71,7.75,7.76,0.79,0,0,3.52,14.8,62.5,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20210916,142528,54276,0.97,1.23,1.40,1.44,18.9,49.0,6.17,7.48,7.72,7.76,7.77,0.77,0,0,3.53,14.9,62.2,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20210916,142529,55348,0.99,1.24,1.39,1.42,18.9,48.7,6.32,7.64,7.86,7.90,7.90,0.76,0,0,3.52,14.9,61.9,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20210916,142530,56424,1.02,1.29,1.45,1.49,18.9,48.5,6.52,7.89,8.13,8.17,8.18,0.76,0,0,3.52,14.9,61.7,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20210916,142531,57500,1.04,1.30,1.46,1.49,19.0,48.4,6.69,8.07,8.30,8.33,8.34,0.75,0,0,3.52,15.0,61.5,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20210916,142532,58572,1.11,1.33,1.46,1.49,19.0,48.2,7.25,8.65,8.84,8.88,8.88,0.70,0,0,3.52,15.0,61.3,1ED
40,0.000000,0.000000,0,-1.0,0.0,0,20210916,142533,59649,1.14,1.35,1.46,1.48,19.0,48.1,7.52,8.93,9.11,9.13,9.14,0.67,0,0,3.53,15.0,61.1,1ED
41,0.000000,0.000000,0,-1.0,0.0,0,20210916,142535,60725,1.16,1.37,1.48,1.50,19.0,47.9,7.65,9.08,9.25,9.28,9.29,0.67,0,0,3.52,15.0,60.9,1ED
42,0.000000,0.000000,0,-1.0,0.0,0,0,142536,61801,1.18,1.39,1.51,1.54,19.1,47.8,7.75,9.21,9.39,9.42,9.42,0.68,0,0,3.53,15.1,60.7,1ED
43,0.000000,0.000000,0,-1.0,0.0,0,20210916,142536,62877,1.20,1.40,1.52,1.54,19.1,47.7,7.90,9.37,9.54,9.57,9.58,0.67,0,0,3.53,15.1,60.6,1ED
44,0.000000,0.000000,0,0.0,0.0,0,20210916,142537,63953,1.20,1.41,1.52,1.55,19.1,47.6,7.93,9.41,9.58,9.61,9.62,0.67,0,0,3.52,15.1,60.4,1ED
45,0.000000,0.000000,0,-1.0,0.0,0,20210916,142538,65029,1.21,1.42,1.53,1.56,19.1,47.5,7.96,9.45,9.62,9.65,9.66,0.67,0,0,3.52,15.1,60.3,1ED
46,0.000000,0.000000,0,-1.0,0.0,0,20210916,142540,66106,1.20,1.41,1.52,1.54,19.1,47.4,7.96,9.43,9.60,9.63,9.64,0.66,0,0,3.53,15.1,60.2,1ED
47,0.000000,0.000000,0,-1.0,0.0,0,20210916,142541,67179,1.20,1.41,1.51,1.54,19.1,47.3,7.96,9.43,9.60,9.63,9.63,0.65,0,0,3.53,15.1,60.1,1ED
48,0.000000,0.000000,0,-1.0,0.0,0,20210916,142542,68256,1.20,1.39,1.49,1.51,19.2,47.2,7.98,9.43,9.59,9.61,9.62,0.65,0,0,3.52,15.2,60.0,1ED
49,0.000000,0.000000,0,-1.0,0.0,0,20210916,142543,69332,1.20,1.39,1.50,1.52,19.2,47.1,7.94,9.40,9.56,9.58,9.59,0.65,0,0,3.53,15.2,59.9,1ED
