STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210920,051024,16718,5.46,12.10,17.22,18.25,19.6,39.9,22.32,36.35,43.15,44.32,44.51,1.15,0,0,4.61,15.6,50.7,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20210920,051025,17787,3.42,6.52,8.87,9.34,19.5,39.6,16.46,23.93,27.07,27.60,27.70,0.95,0,0,4.61,15.5,50.3,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20210920,051026,18860,3.20,5.05,6.40,6.67,19.5,39.3,17.96,23.63,25.45,25.76,25.82,0.78,0,0,4.61,15.5,49.9,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20210920,051027,19936,3.09,4.22,4.99,5.14,19.5,39.1,18.92,23.58,24.64,24.82,24.85,0.80,0,0,4.60,15.5,49.6,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20210920,051028,21011,3.04,3.68,4.06,4.14,19.5,39.0,19.68,23.67,24.23,24.32,24.34,0.66,0,0,4.60,15.5,49.5,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20210920,051030,22086,3.08,3.67,4.00,4.06,19.4,39.0,20.09,24.06,24.55,24.63,24.65,0.59,0,0,4.61,15.4,49.5,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20210920,051032,23157,3.10,3.59,3.84,3.89,19.4,39.0,20.49,24.35,24.74,24.80,24.81,0.55,0,0,4.61,15.4,49.5,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20210920,051033,24232,3.15,3.58,3.79,3.83,19.4,39.0,20.91,24.75,25.08,25.14,25.15,0.56,0,0,4.61,15.4,49.6,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20210920,051034,25307,3.21,3.63,3.82,3.86,19.3,39.1,21.36,25.25,25.56,25.62,25.63,0.57,0,0,4.60,15.3,49.6,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20210920,051035,26378,3.24,3.60,3.74,3.77,19.3,39.1,21.77,25.62,25.86,25.90,25.91,0.57,0,0,4.61,15.3,49.6,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20210920,051036,27453,3.31,3.68,3.83,3.86,19.4,38.9,22.20,26.14,26.40,26.44,26.45,0.56,0,0,4.61,15.4,49.4,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20210920,051037,28529,3.39,3.85,4.06,4.10,19.4,38.8,22.60,26.73,27.07,27.12,27.14,0.56,0,0,4.61,15.4,49.3,5A1
