STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210923,131332,16704,8.05,33.45,53.62,57.66,20.0,60.9,0.00,36.43,62.65,67.21,67.97,1.31,0,0,3.47,16.0,77.3,286
1,0.000000,0.000000,0,-1.0,0.0,0,20210923,131333,17778,3.85,8.43,11.96,12.66,20.0,61.1,16.05,25.81,30.45,31.25,31.39,1.12,0,0,3.47,16.0,77.5,286
2,0.000000,0.000000,0,-1.0,0.0,0,20210923,131334,18847,4.07,5.90,7.20,7.46,20.0,61.4,24.16,30.61,32.37,32.67,32.73,0.82,0,0,3.47,16.0,77.8,286
3,0.000000,0.000000,0,-1.0,0.0,0,20210923,131335,19917,4.06,5.82,7.06,7.31,20.0,61.8,24.26,30.61,32.30,32.59,32.64,0.82,0,0,3.47,16.0,78.4,286
4,0.000000,0.000000,0,-1.0,0.0,0,20210923,131336,20986,4.08,5.19,5.90,6.04,20.0,62.2,25.93,31.46,32.47,32.64,32.68,0.71,0,0,3.47,16.0,78.9,286
5,0.000000,0.000000,0,-1.0,0.0,0,20210923,131337,22055,4.06,5.32,6.15,6.32,20.0,62.8,25.46,31.16,32.33,32.53,32.57,0.73,0,0,3.47,16.0,79.6,286
6,0.000000,0.000000,0,-1.0,0.0,0,20210923,131339,23131,4.08,5.41,6.29,6.47,20.1,63.3,25.42,31.22,32.46,32.67,32.71,0.73,0,0,3.47,16.1,80.3,286
7,0.000000,0.000000,0,-1.0,0.0,0,20210923,131340,24200,4.15,5.47,6.34,6.52,20.0,63.8,25.93,31.80,33.02,33.23,33.27,0.74,0,0,3.47,16.0,80.9,286
8,0.000000,0.000000,0,-1.0,0.0,0,20210923,131341,25269,4.26,6.15,7.48,7.75,20.0,64.2,25.35,32.06,33.88,34.19,34.25,0.78,0,0,3.47,16.0,81.4,286
9,0.000000,0.000000,0,-1.0,0.0,0,20210923,131342,26345,4.39,6.28,7.60,7.87,20.1,64.7,26.27,33.11,34.92,35.23,35.29,0.77,0,0,3.47,16.1,82.1,286
10,0.000000,0.000000,0,-1.0,0.0,0,20210923,131343,27414,4.48,6.64,8.17,8.48,20.1,65.4,26.31,33.58,35.66,36.02,36.08,0.78,0,0,3.47,16.1,82.9,286
11,0.000000,0.000000,0,-1.0,0.0,0,20210923,131344,28484,4.58,7.04,8.82,9.17,20.2,66.0,26.27,34.04,36.44,36.85,36.92,0.83,0,0,3.47,16.2,83.7,286
12,0.000000,0.000000,0,-1.0,0.0,0,20210923,131345,29558,4.72,7.42,9.39,9.78,20.1,66.7,26.63,34.84,37.49,37.95,38.03,0.85,0,0,3.47,16.1,84.5,286
13,0.000000,0.000000,0,-1.0,0.0,0,20210923,131346,30635,5.11,8.23,10.52,10.98,20.2,67.3,28.38,37.54,40.61,41.14,41.23,0.85,0,0,3.47,16.2,85.4,286
14,0.000000,0.000000,0,-1.0,0.0,0,20210923,131347,31707,5.31,9.02,11.77,12.32,20.2,68.0,28.40,38.51,42.18,42.82,42.93,0.87,0,0,3.47,16.2,86.2,286
15,0.000000,0.000000,0,-1.0,0.0,0,20210923,131348,32780,5.51,9.59,12.63,13.24,20.2,68.5,28.93,39.71,43.76,44.46,44.58,0.88,0,0,3.47,16.2,86.9,286
16,0.000000,0.000000,0,-1.0,0.0,0,20210923,131349,33849,5.70,10.06,13.32,13.97,20.2,68.9,29.57,40.90,45.24,45.99,46.12,0.89,0,0,3.47,16.2,87.3,286
17,0.000000,0.000000,0,-1.0,0.0,0,20210923,131350,34924,5.96,10.48,13.86,14.54,20.3,69.1,30.98,42.79,47.29,48.07,48.20,0.89,0,0,3.47,16.3,87.6,286
18,0.000000,0.000000,0,-1.0,0.0,0,20210923,131352,35999,6.14,10.89,14.46,15.17,20.3,69.4,31.66,43.95,48.69,49.51,49.65,0.89,0,0,3.47,16.3,87.9,286
19,0.000000,0.000000,0,-1.0,0.0,0,20210923,131353,37074,6.51,11.79,15.77,16.57,20.3,69.6,32.98,46.32,51.60,52.51,52.67,0.90,0,0,3.47,16.3,88.2,286
20,0.000000,0.000000,0,-1.0,0.0,0,20210923,131354,38144,6.82,12.35,16.51,17.35,20.3,69.7,34.57,48.54,54.07,55.02,55.19,0.91,0,0,3.47,16.3,88.3,286
