[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.23]
[File start time: 10:45:40]

Time	Number	Size	LDSA	Filter	Diff	
4,5	3367	60,8	11,69	10	3,9
14,5	4269	52,2	12,5	10,18	4,69
24,5	3437	61,6	12,1	10,4	4
34,5	3904	56,7	12,54	10,5	4,41
44,5	3915	56,6	12,53	10,49	4,42
54,5	3497	61,6	12,3	10,56	4,07
64,5	3861	56,8	12,42	10,41	4,37
74,5	3963	55,9	12,53	10,45	4,46
84,5	3994	55,2	12,45	10,34	4,47
94,5	3927	56,8	12,64	10,59	4,44
104,5	4151	54,5	12,75	10,54	4,63
114,5	3890	56,3	12,38	10,34	4,38
124,5	4068	55,2	12,67	10,51	4,55
134,5	3990	55,7	12,56	10,46	4,48
144,5	3915	56,5	12,52	10,47	4,42
154,5	4289	53,4	12,89	10,58	4,75
164,5	3981	55,6	12,5	10,4	4,47
174,5	3860	56,4	12,31	10,3	4,35
184,5	3344	60,5	11,54	9,86	3,86
194,5	3590	56	11,36	9,47	4,04
204,5	3334	59,3	11,25	9,55	3,83
214,5	3744	55	11,61	9,63	4,19
224,5	3305	59,8	11,26	9,59	3,8
234,5	3648	55,7	11,49	9,57	4,1
244,5	3433	58	11,3	9,54	3,91
254,5	3610	58	11,89	10,03	4,11
264,5	3650	57,7	11,96	10,07	4,15
274,5	3781	55,7	11,91	9,92	4,25
284,5	3821	55,3	11,93	9,91	4,28
294,5	3846	55,6	12,08	10,05	4,32
304,5	3698	56,1	11,73	9,78	4,16
314,5	3638	56,6	11,65	9,75	4,11
324,5	3890	54,5	11,95	9,88	4,34
334,5	3653	57,2	11,83	9,93	4,14
344,5	3629	56,5	11,61	9,71	4,1
354,5	3827	54,9	11,86	9,83	4,28
364,5	3910	54,3	11,96	9,87	4,35
374,5	3642	57	11,75	9,85	4,12
384,5	4012	53,8	12,16	10,01	4,45
394,5	3669	57,1	11,86	9,96	4,15
404,5	3798	54,4	11,64	9,61	4,23
414,5	4106	52,1	11,99	9,75	4,51
424,5	3719	54,8	11,49	9,52	4,15
434,5	3720	54,9	11,53	9,56	4,16
444,5	3356	58,9	11,24	9,53	3,84
454,5	3557	55,4	11,12	9,24	3,99
464,5	3701	54,5	11,38	9,41	4,13
474,5	3405	58,2	11,24	9,49	3,88
484,5	3567	56,3	11,36	9,5	4,02
494,5	3059	60,6	10,57	9,04	3,54
504,5	3618	54,3	11,07	9,14	4,03
514,5	3529	56,2	11,22	9,37	3,98
524,5	3638	55,5	11,4	9,48	4,08
534,5	3448	56,3	10,97	9,17	3,89
544,5	3839	53,4	11,53	9,47	4,25
554,5	4049	54,2	12,35	10,19	4,5
564,5	4115	53,6	12,42	10,21	4,56
574,5	3574	59,4	12,07	10,26	4,1
584,5	3504	57,7	11,47	9,66	3,98
594,5	3857	55,5	12,08	10,04	4,33
604,5	3920	57	12,67	10,63	4,44
614,5	3898	56	12,34	10,3	4,39
624,5	1670	76,8	7,51	6,82	2,12
634,5	1548	68,8	6,16	5,45	1,88
644,5	1697	66,1	6,46	5,66	2,03
654,5	1441	73,8	6,2	5,58	1,8
664,5	1591	67	6,15	5,41	1,91
674,5	1833	66,9	7,07	6,21	2,2
684,5	2020	68,4	7,98	7,06	2,44
694,5	2019	69,1	8,08	7,16	2,45
704,5	2969	57,5	9,68	8,15	3,37
714,5	3752	54,7	11,59	9,59	4,19
724,5	3952	52,9	11,74	9,6	4,36
734,5	4033	52,8	11,95	9,77	4,45
744,5	3922	53,7	11,85	9,75	4,35
754,5	4201	52,9	12,48	10,21	4,64
764,5	3908	54,3	11,95	9,86	4,35
774,5	4006	53,6	12,07	9,92	4,44
784,5	3697	55,1	11,5	9,54	4,14
794,5	3717	54,7	11,46	9,48	4,15
804,5	3635	54,4	11,15	9,22	4,05
814,5	3573	54,3	10,94	9,04	3,98
824,5	3781	54,1	11,52	9,5	4,2
834,5	3805	54,5	11,68	9,66	4,24
844,5	3754	54,3	11,5	9,49	4,18
854,5	4033	54,4	12,36	10,21	4,49
864,5	4128	55	12,81	10,62	4,62
874,5	4102	55,7	12,9	10,74	4,61
884,5	3959	56,2	12,6	10,52	4,46
894,5	3791	56,7	12,16	10,18	4,28
904,5	3749	54,9	11,62	9,63	4,19
914,5	3654	55,8	11,52	9,59	4,11
924,5	3716	55,9	11,74	9,79	4,18
934,5	3888	54,7	12	9,93	4,34
944,5	4124	55	12,8	10,61	4,61
954,5	3927	55,9	12,4	10,34	4,42
964,5	3893	56,1	12,36	10,32	4,38
974,5	4059	53,2	12,15	9,96	4,49
984,5	3927	54,9	12,17	10,08	4,39
994,5	3669	57,4	11,93	10,03	4,16
1004,5	3899	54,7	12,03	9,96	4,35
1014,5	4023	54,3	12,3	10,15	4,48
1024,5	3737	56,9	12,05	10,11	4,23
1034,5	3571	58,2	11,81	9,97	4,07
1044,5	3724	56,2	11,83	9,87	4,19
1054,5	3967	54,4	12,17	10,06	4,42
1064,5	3557	55,8	11,23	9,36	4
1074,5	3862	55,7	12,15	10,11	4,34
1084,5	3899	56,2	12,39	10,35	4,39
1094,5	3884	55,7	12,22	10,18	4,36
1104,5	3828	57,3	12,44	10,45	4,34
1114,5	3795	56,7	12,18	10,2	4,29
1124,5	3536	57,5	11,52	9,69	4,01
1134,5	3039	61,6	10,69	9,19	3,53
1144,5	2363	63,2	8,56	7,41	2,77
1154,5	1958	71,1	8,09	7,22	2,4
1164,5	1940	72,3	8,15	7,3	2,4
1174,5	2076	68,1	8,17	7,21	2,51
1184,5	2133	64,5	7,9	6,88	2,52
1194,5	1933	69,5	7,78	6,91	2,35
1204,5	1796	73	7,63	6,86	2,23
1214,5	1873	70	7,6	6,76	2,29
1224,5	1843	73,2	7,85	7,05	2,29
1234,5	3329	56,3	10,6	8,86	3,75
1244,5	4601	52,2	13,49	10,98	5,06
1254,5	4389	53,2	13,13	10,77	4,85
1264,5	4082	54,6	12,57	10,4	4,55
1274,5	4029	54,4	12,36	10,21	4,49
1284,5	3945	54,3	12,08	9,97	4,39
1294,5	3662	56,5	11,71	9,79	4,13
1304,5	3318	61,1	11,57	9,91	3,85
1314,5	3300	58,6	10,99	9,3	3,77
1324,5	3139	60,3	10,78	9,2	3,62
1334,5	3225	58,3	10,68	9,03	3,68
1344,5	3314	57	10,71	8,98	3,75
1354,5	3208	57,7	10,5	8,84	3,65
1364,5	3367	55,7	10,59	8,82	3,78
1374,5	3227	56,5	10,32	8,64	3,64
1384,5	3023	60,2	10,36	8,84	3,49
1394,5	2995	60,9	10,41	8,91	3,47
1404,5	3169	59,6	10,75	9,14	3,64
1414,5	3397	56,1	10,77	8,98	3,82
1424,5	3822	53,5	11,51	9,45	4,24
1434,5	3651	55,3	11,4	9,47	4,09
1444,5	3606	54,8	11,16	9,24	4,03
1454,5	3551	56,6	11,39	9,54	4,01
1464,5	3705	55,4	11,6	9,65	4,15
1474,5	3982	53,8	12,06	9,92	4,42
1484,5	4035	53,2	12,08	9,91	4,46
1494,5	4141	54	12,58	10,36	4,6
1504,5	4193	54,6	12,9	10,67	4,68
1514,5	4368	52,9	12,98	10,62	4,82
1524,5	4216	54,2	12,88	10,63	4,69
1534,5	4239	53,3	12,7	10,42	4,69
1544,5	3858	56,8	12,41	10,4	4,36
1554,5	3909	54,5	12,01	9,93	4,36
1564,5	3480	56	11,02	9,2	3,92
1574,5	3285	57,4	10,69	8,99	3,73
1584,5	3342	56,3	10,66	8,91	3,77
1594,5	3576	55,6	11,22	9,34	4,01
1604,5	3125	61,3	10,93	9,38	3,63
1614,5	3189	58	10,49	8,85	3,63
1624,5	3301	58,1	10,88	9,19	3,76
1634,5	3203	59,2	10,78	9,15	3,67
1644,5	3293	58,7	10,99	9,31	3,77
1654,5	3588	56	11,36	9,47	4,04
1664,5	3509	55,7	11,05	9,2	3,94
1674,5	3634	55,1	11,3	9,38	4,07
1684,5	3762	54,8	11,62	9,62	4,2
1694,5	3546	56,8	11,39	9,55	4,01
1704,5	3697	55,5	11,59	9,64	4,15
1714,5	3896	54,6	11,98	9,91	4,34
1724,5	3781	54,6	11,64	9,63	4,22
1734,5	3871	54,6	11,91	9,85	4,32
1744,5	3493	58,4	11,58	9,79	3,99
1754,5	3472	56,5	11,1	9,29	3,92
1764,5	2033	70,5	8,32	7,41	2,49
1774,5	773	83,9	3,84	3,55	1,02
1784,5	908	66	3,45	3,02	1,08
1794,5	495	103,9	3,11	2,98	0,72
1804,5	478	103,9	3,01	2,88	0,7
