[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.09.27]
[File start time: 07:03:29]

Time	Number	Size	LDSA	Filter	Diff	
4,5	5605	36,4	10,99	7,65	5,42
14,5	4759	41,2	10,7	7,91	4,82
24,5	5236	37,7	10,69	7,58	5,13
34,5	5319	36,6	10,5	7,34	5,16
44,5	5228	36,9	10,4	7,29	5,08
54,5	5047	37	10,08	7,08	4,91
64,5	4774	37,7	9,75	6,92	4,68
74,5	4803	37,6	9,77	6,92	4,7
84,5	4311	39,9	9,38	6,84	4,32
94,5	5717	35,4	10,88	7,47	5,47
104,5	5781	34,3	10,64	7,19	5,46
114,5	6111	32,6	10,6	6,96	5,65
124,5	6121	32,4	10,55	6,91	5,64
134,5	6776	30,6	10,95	6,94	6,09
144,5	6206	31,9	10,52	6,83	5,69
154,5	6390	31,6	10,73	6,94	5,83
164,5	6832	31,1	11,28	7,22	6,19
174,5	6812	31,4	11,34	7,3	6,2
184,5	6755	31,4	11,26	7,25	6,15
194,5	6496	32	11,05	7,19	5,96
204,5	4353	34,6	8,07	5,48	4,13
214,5	3635	33,5	6,51	4,35	3,4
224,5	4810	30,3	7,69	4,84	4,3
234,5	4237	34	7,72	5,19	3,99
244,5	3521	34,2	6,44	4,34	3,32
254,5	3678	33,4	6,56	4,37	3,44
264,5	3740	34	6,81	4,58	3,52
274,5	3516	33,7	6,33	4,24	3,3
284,5	3309	33,7	5,97	4	3,11
294,5	3543	33,9	6,44	4,33	3,33
304,5	2975	34,6	5,52	3,75	2,82
314,5	3565	33	6,27	4,15	3,31
324,5	3231	34,7	6,02	4,09	3,07
334,5	3400	34,1	6,2	4,17	3,2
344,5	3179	33,6	5,71	3,82	2,98
354,5	3668	34	6,67	4,49	3,45
364,5	3753	33,1	6,64	4,4	3,5
374,5	6022	31,6	10,1	6,52	5,49
384,5	6865	31,1	11,31	7,23	6,22
394,5	7042	31	11,59	7,41	6,38
404,5	5243	34,2	9,61	6,48	4,95
414,5	5720	32	9,74	6,34	5,25
424,5	5870	32,2	10,05	6,56	5,4
434,5	6883	30,7	11,2	7,12	6,2
444,5	7649	30,9	12,51	7,98	6,91
454,5	7880	32,4	13,59	8,9	7,27
464,5	8105	31,7	13,65	8,84	7,41
474,5	8450	31,1	13,91	8,9	7,65
484,5	8550	30,5	13,8	8,73	7,68
494,5	7849	31,4	13,09	8,42	7,14
504,5	7917	30,5	12,76	8,07	7,11
514,5	2930	42,9	6,9	5,2	3,01
524,5	2570	44,4	6,29	4,81	2,67
534,5	2856	42,2	6,61	4,94	2,92
544,5	3357	39,2	7,16	5,17	3,34
554,5	3947	36,7	7,82	5,47	3,83
564,5	3969	38,1	8,18	5,83	3,91
574,5	3316	40,7	7,37	5,42	3,35
584,5	3442	38,9	7,27	5,24	3,42
594,5	3462	39,2	7,38	5,34	3,45
604,5	3217	39,8	6,97	5,07	3,22
614,5	3734	37,7	7,62	5,41	3,66
624,5	3692	38,5	7,7	5,52	3,65
634,5	3690	37,8	7,55	5,36	3,62
644,5	3537	38,5	7,38	5,29	3,5
654,5	3368	39,3	7,2	5,21	3,36
664,5	3272	40,3	7,19	5,27	3,29
674,5	5083	48,7	13,79	10,94	5,46
684,5	4861	52	14,18	11,53	5,34
694,5	5081	51,5	14,66	11,88	5,56
704,5	5467	53,7	16,52	13,59	6,06
714,5	5217	54,5	16,04	13,26	5,82
