STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210928,094131,16666,1.32,4.84,7.63,8.19,20.2,54.6,0.84,6.63,10.30,10.93,11.03,1.63,0,0,3.43,16.2,69.2,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20210928,094132,17735,1.71,3.30,4.50,4.74,20.2,54.7,8.19,11.97,13.57,13.85,13.89,0.68,0,0,3.43,16.2,69.3,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20210928,094134,18812,1.46,1.54,1.54,1.54,20.2,54.7,9.98,11.62,11.65,11.65,11.65,0.53,0,0,3.43,16.2,69.3,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20210928,094135,19880,1.45,1.54,1.54,1.54,20.2,54.8,9.93,11.56,11.59,11.59,11.59,0.45,0,0,3.43,16.2,69.4,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20210928,094136,20948,1.43,1.51,1.51,1.51,20.2,54.6,9.79,11.40,11.43,11.43,11.43,0.45,0,0,3.43,16.2,69.2,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20210928,094137,22016,1.41,1.49,1.49,1.49,20.2,53.8,9.63,11.21,11.24,11.24,11.24,0.47,0,0,3.43,16.2,68.3,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20210928,094138,23091,1.39,1.47,1.47,1.47,20.2,52.9,9.50,11.06,11.09,11.09,11.09,0.49,0,0,3.43,16.2,67.1,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20210928,094139,24159,1.38,1.45,1.45,1.45,20.2,51.9,9.41,10.95,10.97,10.98,10.98,0.47,0,0,3.43,16.2,65.8,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20210928,094140,25227,1.36,1.44,1.44,1.44,20.2,51.2,9.33,10.86,10.89,10.89,10.89,0.47,0,0,3.43,16.2,65.0,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20210928,094141,26302,1.34,1.42,1.42,1.42,20.2,50.9,9.18,10.68,10.71,10.71,10.72,0.47,0,0,3.43,16.2,64.6,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20210928,094142,27370,1.32,1.40,1.40,1.40,20.2,50.9,9.06,10.55,10.57,10.58,10.58,0.46,0,0,3.43,16.2,64.6,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20210928,094143,28439,1.31,1.39,1.39,1.39,20.3,51.0,8.98,10.45,10.48,10.48,10.48,0.49,0,0,3.43,16.3,64.7,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20210928,094144,29508,1.32,1.39,1.39,1.39,20.3,51.3,9.02,10.50,10.52,10.53,10.53,0.47,0,0,3.43,16.3,65.0,5A1
