STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210930,095518,16724,16.05,32.88,45.75,48.32,22.9,65.7,72.28,110.07,127.05,129.99,130.49,1.11,0,0,3.65,18.9,82.9,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210930,095519,17794,7.79,8.24,8.24,8.24,22.9,64.2,53.62,62.03,62.21,62.23,62.24,0.44,0,0,3.65,18.9,81.0,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210930,095520,18871,7.76,8.21,8.21,8.21,22.9,63.0,53.40,61.77,61.95,61.97,61.98,0.44,0,0,3.65,18.9,79.4,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210930,095521,19941,7.72,8.17,8.17,8.17,22.9,61.9,53.13,61.46,61.64,61.66,61.67,0.46,0,0,3.65,18.9,78.1,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210930,095521,21011,7.67,8.11,8.11,8.11,22.9,61.1,52.74,61.01,61.19,61.21,61.22,0.46,0,0,3.65,18.9,77.0,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210930,095523,22081,7.62,8.05,8.05,8.05,22.9,60.2,52.39,60.60,60.78,60.80,60.81,0.49,0,0,3.65,18.9,75.9,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210930,095524,23157,7.57,8.00,8.00,8.00,22.9,59.4,52.07,60.23,60.41,60.43,60.44,0.48,0,0,3.65,18.9,75.0,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210930,095525,24226,7.52,7.95,7.95,7.95,22.9,58.7,51.74,59.85,60.02,60.04,60.05,0.50,0,0,3.65,18.9,74.1,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210930,095526,25296,7.46,7.89,7.89,7.89,22.9,58.3,51.31,59.35,59.53,59.55,59.56,0.49,0,0,3.65,18.9,73.6,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210930,095527,26363,7.35,7.77,7.77,7.77,22.9,57.7,50.54,58.46,58.63,58.65,58.66,0.49,0,0,3.65,18.9,72.9,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210930,095528,27433,7.21,7.62,7.62,7.62,22.9,56.9,49.59,57.36,57.53,57.55,57.56,0.49,0,0,3.65,18.9,71.8,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210930,095529,28504,7.08,7.49,7.49,7.49,22.9,56.1,48.72,56.36,56.53,56.55,56.56,0.50,0,0,3.65,18.9,70.8,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210930,095530,29575,6.99,7.40,7.40,7.40,22.8,55.5,48.12,55.66,55.82,55.84,55.85,0.47,0,0,3.65,18.8,70.0,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210930,095531,30642,6.81,7.20,7.20,7.20,22.9,54.9,46.83,54.17,54.32,54.34,54.35,0.46,0,0,3.64,18.9,69.2,488
14,0.000000,0.000000,0,-1.0,0.0,0,20210930,095532,31712,6.71,7.09,7.09,7.09,22.8,54.1,46.14,53.37,53.53,53.55,53.56,0.45,0,0,3.65,18.8,68.3,488
15,0.000000,0.000000,0,-1.0,0.0,0,20210930,095533,32782,6.60,6.98,6.98,6.98,22.9,53.5,45.44,52.56,52.71,52.73,52.74,0.46,0,0,3.65,18.9,67.5,488
16,0.000000,0.000000,0,-1.0,0.0,0,20210930,095534,33849,6.49,6.87,6.87,6.87,22.9,53.1,44.68,51.68,51.84,51.85,51.86,0.46,0,0,3.65,18.9,67.0,488
17,0.000000,0.000000,0,-1.0,0.0,0,20210930,095536,34919,6.39,6.76,6.76,6.76,22.9,52.7,43.98,50.87,51.02,51.04,51.05,0.46,0,0,3.65,18.9,66.5,488
18,0.000000,0.000000,0,-1.0,0.0,0,20210930,095537,35989,6.30,6.66,6.66,6.66,22.9,52.5,43.33,50.12,50.27,50.28,50.29,0.46,0,0,3.65,18.9,66.2,488
19,0.000000,0.000000,0,-1.0,0.0,0,20210930,095538,37059,6.21,6.57,6.57,6.57,22.8,52.2,42.72,49.42,49.57,49.58,49.59,0.47,0,0,3.64,18.8,65.9,488
20,0.000000,0.000000,0,-1.0,0.0,0,20210930,095539,38136,6.15,6.50,6.50,6.50,22.9,52.1,42.30,48.93,49.07,49.09,49.10,0.45,0,0,3.65,18.9,65.7,488
21,0.000000,0.000000,0,-1.0,0.0,0,20210930,095540,39206,6.05,6.40,6.40,6.40,22.9,51.7,41.62,48.15,48.29,48.30,48.31,0.46,0,0,3.64,18.9,65.2,488
22,0.000000,0.000000,0,-1.0,0.0,0,20210930,095541,40277,5.96,6.30,6.30,6.30,22.9,51.0,40.97,47.39,47.53,47.55,47.56,0.45,0,0,3.64,18.9,64.4,488
23,0.000000,0.000000,0,-1.0,0.0,0,20210930,095542,41348,5.85,6.18,6.18,6.18,22.9,50.5,40.21,46.52,46.65,46.67,46.68,0.45,0,0,3.65,18.9,63.7,488
24,0.000000,0.000000,0,-1.0,0.0,0,20210930,095543,42415,5.75,6.08,6.08,6.08,22.9,49.7,39.55,45.75,45.89,45.90,45.91,0.45,0,0,3.64,18.9,62.8,488
