STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211002,165516,16690,13.94,23.73,31.00,32.45,18.6,68.0,74.02,100.88,110.66,112.33,112.61,0.79,0,0,3.67,14.6,86.5,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20211002,165517,17765,10.94,11.57,11.57,11.57,18.6,69.1,74.87,87.13,87.35,87.38,87.39,0.41,0,0,3.67,14.6,87.9,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20211002,165518,18842,10.90,11.53,11.53,11.53,18.6,70.1,74.57,86.78,87.00,87.03,87.04,0.43,0,0,3.67,14.6,89.2,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20211002,165519,19911,10.82,11.44,11.44,11.44,18.6,70.6,74.03,86.16,86.37,86.40,86.41,0.45,0,0,3.67,14.6,89.8,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20211002,165519,20980,10.69,11.31,11.31,11.31,18.6,70.7,73.15,85.14,85.35,85.37,85.39,0.45,0,0,3.67,14.6,89.9,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20211002,165521,22050,10.58,11.19,11.19,11.19,18.6,70.7,72.36,84.21,84.42,84.45,84.46,0.41,0,0,3.67,14.6,89.9,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20211002,165522,23127,10.52,11.12,11.12,11.12,18.7,70.8,71.94,83.73,83.93,83.96,83.97,0.45,0,0,3.67,14.7,90.0,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20211002,165523,24196,10.45,11.05,11.05,11.05,18.6,71.2,71.48,83.19,83.40,83.42,83.44,0.45,0,0,3.67,14.6,90.5,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20211002,165524,25265,10.37,10.97,10.97,10.97,18.7,71.2,70.94,82.57,82.77,82.80,82.81,0.46,0,0,3.67,14.7,90.6,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20211002,165525,26342,10.27,10.86,10.86,10.86,18.7,71.2,70.25,81.76,81.96,81.99,82.00,0.46,0,0,3.67,14.7,90.5,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20211002,165526,27412,10.18,10.76,10.76,10.76,18.7,71.0,69.63,81.04,81.24,81.26,81.28,0.45,0,0,3.67,14.7,90.2,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20211002,165527,28483,10.07,10.65,10.65,10.65,18.7,70.7,68.88,80.17,80.37,80.39,80.41,0.47,0,0,3.67,14.7,89.9,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20211002,165529,29554,9.93,10.50,10.50,10.50,18.8,70.4,67.94,79.07,79.27,79.29,79.30,0.48,0,0,3.67,14.8,89.5,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20211002,165530,30630,9.68,10.24,10.24,10.24,18.8,70.4,66.24,77.09,77.28,77.30,77.32,0.48,0,0,3.67,14.8,89.5,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20211002,165531,31699,9.59,10.14,10.14,10.14,18.8,70.5,65.58,76.32,76.51,76.54,76.55,0.47,0,0,3.67,14.8,89.6,5A1
