STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211002,111929,16810,3.56,6.41,8.55,8.97,30.3,34.4,18.01,25.33,28.24,28.76,28.85,0.95,0,0,3.67,26.3,42.9,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211002,111930,17877,2.47,8.06,12.48,13.36,30.2,34.4,3.61,13.42,19.33,20.39,20.56,1.63,0,0,3.67,26.2,42.8,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211002,111931,18946,1.75,1.96,2.06,2.07,30.2,34.4,11.72,13.77,13.93,13.95,13.96,0.55,0,0,3.67,26.2,42.9,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211002,111933,20016,1.84,1.94,1.94,1.94,30.3,34.5,12.64,14.64,14.67,14.68,14.68,0.49,0,0,3.67,26.3,42.9,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211002,111934,21086,1.90,2.01,2.01,2.01,30.3,34.5,13.05,15.12,15.16,15.16,15.16,0.44,0,0,3.67,26.3,43.0,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211002,111935,22157,1.93,2.04,2.04,2.04,30.3,34.5,13.28,15.38,15.42,15.42,15.43,0.40,0,0,3.67,26.3,42.9,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211002,111936,23228,1.96,2.07,2.07,2.07,30.3,34.4,13.47,15.60,15.64,15.65,15.65,0.39,0,0,3.67,26.3,42.9,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211002,111937,24298,1.99,2.11,2.11,2.11,30.3,34.4,13.69,15.86,15.90,15.91,15.91,0.39,0,0,3.67,26.3,42.8,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211002,111938,25368,2.09,2.21,2.21,2.21,30.3,34.4,14.34,16.61,16.65,16.65,16.66,0.41,0,0,3.67,26.3,42.8,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211002,111939,26445,2.16,2.29,2.29,2.29,30.3,34.3,14.87,17.23,17.27,17.28,17.28,0.42,0,0,3.67,26.3,42.8,1D6
