[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.10.02]
[File start time: 16:00:40]

Time	Number	Size	LDSA	Filter	Diff	
4,5	1572	71,5	6,53	5,84	1,93
14,5	1265	85,4	6,4	5,93	1,68
24,5	1232	86,9	6,35	5,91	1,65
34,5	1303	83,8	6,45	5,96	1,71
44,5	1331	84,2	6,63	6,13	1,76
54,5	1269	86,3	6,5	6,04	1,69
64,5	1369	81,7	6,59	6,06	1,78
74,5	1382	83,6	6,83	6,31	1,82
84,5	1404	79,7	6,58	6,02	1,81
94,5	1448	78,1	6,64	6,05	1,85
104,5	1309	84,6	6,55	6,07	1,73
114,5	1421	78,3	6,53	5,96	1,82
124,5	1440	78,3	6,61	6,03	1,84
134,5	1488	75,5	6,57	5,94	1,87
144,5	1358	81,5	6,52	6	1,76
154,5	1370	81,5	6,58	6,05	1,78
164,5	1285	85,2	6,48	6,01	1,7
174,5	1335	82,6	6,51	6	1,75
184,5	1438	78,4	6,62	6,04	1,84
194,5	1312	84,5	6,56	6,07	1,73
204,5	1323	87,1	6,85	6,37	1,77
214,5	1306	85,6	6,63	6,15	1,74
224,5	1286	86,6	6,61	6,14	1,72
234,5	1255	86,5	6,44	5,99	1,68
244,5	1384	80,8	6,59	6,05	1,79
254,5	1380	80,6	6,55	6	1,78
264,5	1410	79,6	6,6	6,03	1,81
274,5	1359	82	6,57	6,04	1,77
284,5	1347	84,7	6,75	6,26	1,78
294,5	3060	46,9	7,96	6,22	3,24
304,5	1555	75,8	6,89	6,24	1,96
314,5	1392	81,8	6,71	6,18	1,81
324,5	1440	80,4	6,81	6,25	1,86
334,5	1440	81,3	6,9	6,34	1,87
344,5	1421	81,5	6,82	6,27	1,85
354,5	1362	82,3	6,62	6,09	1,78
364,5	1667	72,2	7	6,27	2,06
374,5	1354	87,1	7	6,52	1,81
384,5	1494	79,4	6,98	6,38	1,92
394,5	1374	83,5	6,78	6,27	1,81
404,5	1469	78,9	6,81	6,22	1,88
414,5	1414	81,4	6,79	6,24	1,84
424,5	1399	83,9	6,94	6,42	1,84
434,5	1730	70,7	7,1	6,33	2,12
444,5	1560	74,7	6,8	6,14	1,95
454,5	1404	81,3	6,72	6,18	1,82
464,5	1422	80	6,69	6,13	1,83
474,5	1408	81	6,72	6,17	1,83
484,5	1411	81,6	6,78	6,24	1,83
494,5	1453	79,6	6,8	6,22	1,87
504,5	1420	81,5	6,82	6,27	1,85
514,5	1497	80,5	7,09	6,5	1,93
524,5	1503	82	7,27	6,69	1,96
534,5	1505	81,2	7,2	6,62	1,95
544,5	2452	55,6	7,7	6,41	2,75
554,5	1538	78,6	7,1	6,48	1,97
564,5	1469	81,4	7,05	6,48	1,91
574,5	1589	77,4	7,21	6,56	2,02
584,5	1548	79	7,19	6,56	1,98
594,5	1812	74,4	7,86	7,09	2,26
604,5	1806	75	7,91	7,14	2,27
614,5	1841	74,1	7,96	7,17	2,3
624,5	1718	78,6	7,92	7,23	2,2
634,5	1648	80,5	7,8	7,15	2,13
644,5	1514	81,7	7,29	6,71	1,97
654,5	1564	79,1	7,26	6,64	2,01
664,5	1557	80,1	7,33	6,72	2,01
674,5	1813	74,8	7,92	7,15	2,27
684,5	1664	80,6	7,89	7,23	2,15
694,5	1766	77,6	8,04	7,31	2,25
704,5	1771	77,8	8,08	7,35	2,26
714,5	1670	78,8	7,72	7,05	2,14
724,5	1654	79	7,68	7,01	2,12
734,5	1760	75,4	7,75	7,01	2,21
744,5	1658	79,6	7,76	7,1	2,13
754,5	1961	70,6	8,03	7,15	2,4
764,5	1752	77,2	7,93	7,21	2,22
774,5	1771	76,5	7,92	7,19	2,24
784,5	1620	82,4	7,88	7,26	2,12
794,5	1625	81	7,75	7,12	2,11
804,5	1739	77,4	7,88	7,17	2,21
814,5	1771	76,7	7,95	7,22	2,24
824,5	1684	78,9	7,81	7,13	2,16
834,5	1730	77,3	7,84	7,13	2,2
844,5	1581	82,1	7,65	7,04	2,06
854,5	1651	79,3	7,7	7,04	2,12
864,5	1651	80,3	7,8	7,15	2,13
874,5	1581	82,8	7,73	7,13	2,07
884,5	1670	80,6	7,92	7,27	2,16
894,5	1680	78,8	7,77	7,1	2,15
904,5	1660	79,5	7,76	7,09	2,13
914,5	1679	81,8	8,09	7,44	2,19
