STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211003,194413,16667,15.59,16.49,16.49,16.49,22.9,60.1,107.24,124.06,124.42,124.46,124.48,0.45,0,0,3.76,18.9,75.8,488
1,0.000000,0.000000,0,-1.0,0.0,0,20211003,194414,17743,20.14,21.29,21.29,21.29,22.9,60.0,138.52,160.24,160.71,160.76,160.79,0.49,0,0,3.75,18.9,75.7,488
2,0.000000,0.000000,0,-1.0,0.0,0,20211003,194415,18815,20.16,21.32,21.32,21.32,22.9,60.0,138.70,160.45,160.92,160.97,161.00,0.49,0,0,3.76,18.9,75.7,488
3,0.000000,0.000000,0,-1.0,0.0,0,20211003,194416,19890,20.22,21.38,21.38,21.38,22.9,60.0,139.11,160.92,161.39,161.44,161.47,0.50,0,0,3.76,18.9,75.7,488
4,0.000000,0.000000,0,-1.0,0.0,0,20211003,194417,20966,20.24,21.41,21.41,21.41,22.9,60.1,139.26,161.09,161.56,161.62,161.65,0.49,0,0,3.76,18.9,75.8,488
5,0.000000,0.000000,0,-1.0,0.0,0,20211003,194418,22037,20.20,21.36,21.36,21.36,22.9,60.2,138.93,160.71,161.18,161.23,161.26,0.49,0,0,3.76,18.9,76.0,488
6,0.000000,0.000000,0,-1.0,0.0,0,20211003,194420,23112,20.13,21.29,21.29,21.29,22.9,60.4,138.47,160.18,160.65,160.70,160.73,0.50,0,0,3.76,18.9,76.2,488
7,0.000000,0.000000,0,-1.0,0.0,0,20211003,194421,24187,20.04,21.20,21.20,21.20,22.9,60.4,137.88,159.50,159.97,160.02,160.05,0.48,0,0,3.76,18.9,76.2,488
8,0.000000,0.000000,0,-1.0,0.0,0,20211003,194422,25261,19.92,21.06,21.06,21.06,23.0,60.5,137.01,158.49,158.95,159.00,159.03,0.48,0,0,3.76,19.0,76.3,488
9,0.000000,0.000000,0,-1.0,0.0,0,20211003,194423,26331,19.74,20.88,20.88,20.88,23.0,60.6,135.83,157.12,157.58,157.63,157.66,0.49,0,0,3.76,19.0,76.4,488
10,0.000000,0.000000,0,-1.0,0.0,0,20211003,194424,27406,19.65,20.78,20.78,20.78,23.0,60.7,135.16,156.35,156.81,156.86,156.89,0.49,0,0,3.76,19.0,76.6,488
11,0.000000,0.000000,0,-1.0,0.0,0,20211003,194425,28482,19.52,20.64,20.64,20.64,23.0,60.9,134.26,155.30,155.76,155.81,155.84,0.49,0,0,3.76,19.0,76.8,488
12,0.000000,0.000000,0,-1.0,0.0,0,20211003,194426,29554,19.41,20.52,20.52,20.52,23.0,61.1,133.52,154.45,154.90,154.95,154.98,0.50,0,0,3.76,19.0,77.0,488
13,0.000000,0.000000,0,-1.0,0.0,0,20211003,194427,30630,19.24,20.35,20.35,20.35,23.0,61.3,132.35,153.10,153.55,153.60,153.63,0.49,0,0,3.76,19.0,77.3,488
14,0.000000,0.000000,0,-1.0,0.0,0,20211003,194428,31706,19.13,20.23,20.23,20.23,23.0,61.6,131.61,152.24,152.69,152.74,152.77,0.50,0,0,3.76,19.0,77.7,488
15,0.000000,0.000000,0,-1.0,0.0,0,20211003,194429,32782,19.04,20.14,20.14,20.14,23.0,61.8,130.99,151.53,151.97,152.02,152.05,0.49,0,0,3.76,19.0,77.9,488
16,0.000000,0.000000,0,-1.0,0.0,0,20211003,194430,33854,19.01,20.10,20.10,20.10,23.0,62.0,130.74,151.24,151.68,151.73,151.76,0.49,0,0,3.76,19.0,78.2,488
17,0.000000,0.000000,0,-1.0,0.0,0,20211003,194431,34930,18.98,20.07,20.07,20.07,23.0,62.2,130.57,151.04,151.48,151.53,151.56,0.49,0,0,3.76,19.0,78.4,488
