STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211003,195328,16811,19.42,24.68,28.04,28.71,23.0,60.4,123.33,149.87,154.71,155.55,155.71,0.52,0,0,3.60,19.0,76.1,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211003,195329,17888,24.19,25.58,25.58,25.58,23.0,60.4,166.29,192.60,193.09,193.14,193.17,0.43,0,0,3.60,19.0,76.2,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211003,195330,18955,24.20,25.59,25.59,25.59,23.0,60.6,166.34,192.67,193.15,193.20,193.23,0.44,0,0,3.59,19.0,76.4,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211003,195331,20025,24.18,25.57,25.57,25.57,23.0,60.7,166.17,192.47,192.95,193.00,193.04,0.49,0,0,3.60,19.0,76.5,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211003,195332,21095,24.18,25.57,25.57,25.57,23.0,61.0,166.20,192.49,192.98,193.03,193.06,0.49,0,0,3.60,19.0,77.0,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211003,195334,22172,24.18,25.56,25.56,25.56,23.0,61.9,166.16,192.45,192.94,192.99,193.02,0.49,0,0,3.59,19.0,78.0,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211003,195335,23242,24.23,25.63,25.63,25.63,23.0,62.8,166.56,192.92,193.41,193.46,193.49,0.49,0,0,3.59,19.0,79.2,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211003,195336,24312,24.32,25.72,25.72,25.72,23.1,64.0,167.16,193.61,194.09,194.14,194.18,0.49,0,0,3.60,19.1,80.7,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211003,195337,25382,24.40,25.80,25.80,25.80,23.1,65.1,167.68,194.21,194.70,194.75,194.79,0.50,0,0,3.59,19.1,82.1,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211003,195338,26459,24.42,25.82,25.82,25.82,23.1,66.1,167.82,194.38,194.87,194.92,194.95,0.50,0,0,3.59,19.1,83.4,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211003,195339,27529,24.46,25.87,25.87,25.87,23.1,66.7,168.14,194.74,195.23,195.28,195.32,0.50,0,0,3.59,19.1,84.1,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211003,195340,28600,24.49,25.90,25.90,25.90,23.1,67.5,168.32,194.95,195.45,195.50,195.53,0.49,0,0,3.59,19.1,85.1,1D6
12,0.000000,0.000000,0,-1.0,0.0,0,20211003,195341,29667,24.49,25.90,25.90,25.90,23.2,68.8,168.34,194.98,195.47,195.52,195.55,0.49,0,0,3.59,19.2,86.7,1D6
13,0.000000,0.000000,0,-1.0,0.0,0,20211003,195342,30738,24.48,25.89,25.89,25.89,23.2,70.2,168.27,194.90,195.39,195.44,195.47,0.49,0,0,3.59,19.2,88.5,1D6
14,0.000000,0.000000,0,-1.0,0.0,0,20211003,195343,31809,24.47,25.88,25.88,25.88,23.2,71.6,168.18,194.80,195.29,195.34,195.37,0.49,0,0,3.59,19.2,90.2,1D6
15,0.000000,0.000000,0,-1.0,0.0,0,20211003,195344,32880,24.51,25.92,25.92,25.92,23.2,72.8,168.47,195.13,195.62,195.67,195.70,0.49,0,0,3.59,19.2,91.7,1D6
16,0.000000,0.000000,0,-1.0,0.0,0,20211003,195345,33947,24.54,25.95,25.95,25.95,23.2,73.7,168.68,195.37,195.87,195.92,195.95,0.50,0,0,3.59,19.2,92.9,1D6
17,0.000000,0.000000,0,-1.0,0.0,0,20211003,195347,35018,24.58,25.99,25.99,25.99,23.3,74.2,168.93,195.67,196.16,196.21,196.24,0.50,0,0,3.59,19.3,93.6,1D6
