STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211004,142846,16670,48.47,55.46,58.87,59.55,20.8,60.6,322.81,381.09,386.60,387.52,387.73,0.75,0,0,3.74,16.8,76.7,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20211004,142847,17741,39.78,42.07,42.07,42.07,20.8,60.7,273.38,316.72,317.51,317.61,317.68,0.59,0,0,3.73,16.8,76.9,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20211004,142848,18809,39.78,42.07,42.07,42.07,20.8,60.7,273.38,316.72,317.51,317.61,317.68,0.53,0,0,3.74,16.8,76.9,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20211004,142849,19880,39.67,41.95,41.95,41.95,20.8,60.7,272.59,315.80,316.59,316.69,316.75,0.55,0,0,3.74,16.8,76.9,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20211004,142850,20950,39.42,41.68,41.68,41.68,20.9,60.7,270.87,313.80,314.59,314.69,314.75,0.55,0,0,3.74,16.9,76.8,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20211004,142851,22026,38.82,41.05,41.05,41.05,20.8,60.6,266.74,309.02,309.80,309.90,309.96,0.56,0,0,3.74,16.8,76.8,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20211004,142853,23095,38.09,40.28,40.28,40.28,20.9,60.7,261.71,303.20,303.96,304.06,304.12,0.57,0,0,3.74,16.9,76.8,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20211004,142854,24165,36.68,38.79,38.79,38.79,20.9,60.7,252.05,292.00,292.74,292.83,292.89,0.58,0,0,3.74,16.9,76.8,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20211004,142855,25235,34.88,36.89,36.89,36.89,20.9,60.8,239.70,277.69,278.40,278.48,278.54,0.58,0,0,3.74,16.9,77.0,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20211004,142856,26312,33.21,35.12,35.12,35.12,20.9,60.9,228.20,264.37,265.03,265.12,265.17,0.58,0,0,3.74,16.9,77.1,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20211004,142857,27381,31.26,33.06,33.06,33.06,20.9,61.0,214.82,248.87,249.50,249.57,249.62,0.58,0,0,3.74,16.9,77.3,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20211004,142858,28452,29.48,31.17,31.17,31.17,20.9,61.1,202.56,234.66,235.26,235.33,235.38,0.58,0,0,3.74,16.9,77.4,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20211004,142859,29519,28.00,29.61,29.61,29.61,20.9,61.3,192.38,222.87,223.44,223.51,223.55,0.58,0,0,3.74,16.9,77.6,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20211004,142900,30590,26.53,28.05,28.05,28.05,20.9,61.5,182.30,211.20,211.73,211.80,211.84,0.59,0,0,3.74,16.9,77.9,B1F
