STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211004,142846,16739,37.21,39.35,39.35,39.35,20.1,64.5,254.55,296.25,296.99,297.08,297.13,0.44,0,0,3.59,16.1,81.8,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20211004,142847,17810,43.05,45.52,45.52,45.52,20.2,64.3,294.48,342.72,343.57,343.68,343.74,0.45,0,0,3.59,16.2,81.6,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20211004,142848,18877,42.99,45.46,45.46,45.46,20.2,64.1,294.08,342.26,343.11,343.21,343.28,0.51,0,0,3.59,16.2,81.3,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20211004,142849,19946,43.36,48.93,51.42,51.92,20.2,64.0,289.30,341.75,345.86,346.52,346.68,0.55,0,0,3.59,16.2,81.1,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20211004,142850,21015,42.65,45.10,45.10,45.10,20.2,63.8,291.76,339.56,340.40,340.51,340.57,0.53,0,0,3.59,16.2,80.9,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20211004,142851,22091,42.35,44.78,44.78,44.78,20.2,63.7,289.67,337.14,337.97,338.08,338.14,0.53,0,0,3.59,16.2,80.8,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20211004,142853,23160,41.71,44.10,44.10,44.10,20.2,63.7,285.29,332.03,332.85,332.96,333.02,0.52,0,0,3.59,16.2,80.8,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20211004,142854,24229,40.89,43.24,43.24,43.24,20.2,63.7,279.71,325.54,326.34,326.44,326.50,0.52,0,0,3.59,16.2,80.8,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20211004,142855,25298,39.82,42.11,42.11,42.11,20.3,63.8,272.38,317.01,317.80,317.89,317.95,0.53,0,0,3.59,16.3,80.9,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20211004,142856,26374,37.92,40.10,40.10,40.10,20.3,63.8,259.40,301.90,302.65,302.75,302.80,0.54,0,0,3.59,16.3,80.9,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20211004,142857,27443,36.15,38.23,38.23,38.23,20.3,63.9,247.30,287.82,288.54,288.63,288.68,0.54,0,0,3.59,16.3,81.0,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20211004,142858,28513,34.77,37.72,38.49,38.64,20.3,64.0,235.61,275.77,277.46,277.72,277.80,0.55,0,0,3.59,16.3,81.1,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20211004,142859,29590,32.48,35.14,35.78,35.91,20.4,64.1,220.33,257.72,259.20,259.42,259.49,0.55,0,0,3.59,16.4,81.2,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20211004,142900,30660,28.83,31.06,31.52,31.61,20.4,64.2,195.85,228.88,230.05,230.22,230.28,0.56,0,0,3.59,16.4,81.4,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20211004,142901,31730,27.38,29.44,29.84,29.92,20.4,64.4,186.10,217.40,218.46,218.62,218.67,0.56,0,0,3.58,16.4,81.6,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20211004,142902,32801,26.20,28.17,28.55,28.63,20.5,64.5,178.07,208.02,209.03,209.18,209.23,0.57,0,0,3.59,16.5,81.7,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20211004,142903,33868,24.94,26.82,27.18,27.25,20.5,64.6,169.53,198.04,199.00,199.15,199.19,0.56,0,0,3.59,16.5,81.9,5A1
17,0.000000,0.000000,0,-1.0,0.0,0,20211004,142904,34939,24.06,25.88,26.24,26.31,20.5,64.7,163.57,191.09,192.03,192.16,192.21,0.57,0,0,3.58,16.5,82.0,5A1
18,0.000000,0.000000,0,-1.0,0.0,0,20211004,142906,36009,23.32,25.09,25.43,25.50,20.5,64.8,158.48,185.15,186.07,186.20,186.25,0.57,0,0,3.58,16.5,82.2,5A1
19,0.000000,0.000000,0,-1.0,0.0,0,20211004,142907,37086,22.81,24.55,24.89,24.96,20.5,65.0,155.05,181.15,182.05,182.18,182.22,0.57,0,0,3.58,16.5,82.3,5A1
20,0.000000,0.000000,0,-1.0,0.0,0,20211004,142908,38156,22.29,23.98,24.32,24.39,20.6,65.5,151.45,176.95,177.83,177.96,178.00,0.57,0,0,3.58,16.6,83.0,5A1
21,0.000000,0.000000,0,-1.0,0.0,0,20211004,142909,39226,21.89,23.55,23.88,23.95,20.6,66.0,148.74,173.78,174.64,174.77,174.81,0.57,0,0,3.58,16.6,83.6,5A1
22,0.000000,0.000000,0,-1.0,0.0,0,20211004,142910,40303,21.54,23.18,23.51,23.58,20.6,66.2,146.40,171.05,171.90,172.03,172.07,0.57,0,0,3.58,16.6,83.8,5A1
23,0.000000,0.000000,0,-1.0,0.0,0,20211004,142911,41373,21.20,22.82,23.14,23.21,20.6,66.2,144.09,168.35,169.19,169.32,169.36,0.57,0,0,3.58,16.6,83.9,5A1
24,0.000000,0.000000,0,-1.0,0.0,0,20211004,142912,42443,20.98,22.59,22.91,22.98,20.6,66.2,142.56,166.58,167.42,167.54,167.58,0.58,0,0,3.58,16.6,83.8,5A1
25,0.000000,0.000000,0,-1.0,0.0,0,20211004,142913,43513,20.69,22.29,22.61,22.68,20.7,66.1,140.57,164.26,165.10,165.23,165.27,0.58,0,0,3.58,16.7,83.7,5A1
26,0.000000,0.000000,0,-1.0,0.0,0,20211004,142914,44590,20.45,22.03,22.36,22.43,20.8,66.0,138.91,162.33,163.17,163.29,163.33,0.58,0,0,3.58,16.8,83.7,5A1
27,0.000000,0.000000,0,-1.0,0.0,0,20211004,142915,45660,20.00,21.56,21.90,21.96,20.8,66.0,135.80,158.73,159.56,159.69,159.73,0.59,0,0,3.58,16.8,83.6,5A1
28,0.000000,0.000000,0,-1.0,0.0,0,20211004,142916,46730,19.87,21.44,21.78,21.85,20.8,66.0,134.94,157.74,158.58,158.71,158.75,0.59,0,0,3.59,16.8,83.5,5A1
29,0.000000,0.000000,0,-1.0,0.0,0,20211004,142917,47807,19.86,21.43,21.79,21.86,20.8,65.9,134.78,157.58,158.44,158.56,158.60,0.60,0,0,3.58,16.8,83.5,5A1
30,0.000000,0.000000,0,-1.0,0.0,0,20211004,142920,48877,20.05,21.66,22.04,22.11,20.8,65.9,136.03,159.08,159.96,160.10,160.14,0.60,0,0,3.58,16.8,83.5,5A1
31,0.000000,0.000000,0,-1.0,0.0,0,20211004,142921,49947,20.13,21.77,22.17,22.25,20.9,65.9,136.51,159.68,160.59,160.73,160.77,0.61,0,0,3.58,16.9,83.4,5A1
32,0.000000,0.000000,0,-1.0,0.0,0,20211004,142922,51024,20.14,21.80,22.21,22.29,20.9,65.7,136.54,159.74,160.68,160.82,160.86,0.60,0,0,3.58,16.9,83.2,5A1
