STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211005,045358,16685,2.35,5.90,8.67,9.22,18.7,52.7,7.94,14.87,18.49,19.12,19.23,0.85,0,0,3.73,14.7,67.0,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211005,045359,17760,2.34,5.37,7.72,8.19,18.7,52.6,9.18,15.44,18.52,19.05,19.14,0.85,0,0,3.74,14.7,66.9,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211005,045400,18831,2.33,5.27,7.54,7.99,18.7,52.5,9.29,15.41,18.40,18.91,19.00,0.89,0,0,3.73,14.7,66.8,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211005,045401,19905,2.33,4.01,5.26,5.52,18.7,52.5,12.30,16.81,18.48,18.77,18.82,0.74,0,0,3.73,14.7,66.7,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211005,045402,20981,2.34,3.94,5.13,5.37,18.7,52.3,12.56,16.98,18.57,18.84,18.89,0.69,0,0,3.73,14.7,66.5,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211005,045404,22056,2.35,3.51,4.33,4.50,18.6,52.3,13.75,17.60,18.72,18.91,18.94,0.53,0,0,3.73,14.6,66.5,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211005,045405,23127,2.36,2.50,2.50,2.50,18.7,52.2,16.27,18.82,18.87,18.88,18.88,0.49,0,0,3.74,14.7,66.4,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211005,045406,24202,2.41,2.55,2.55,2.55,18.6,52.1,16.60,19.21,19.26,19.27,19.27,0.46,0,0,3.73,14.6,66.3,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211005,045407,25278,2.48,2.63,2.63,2.63,18.6,52.1,17.09,19.77,19.82,19.83,19.83,0.46,0,0,3.73,14.6,66.3,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211005,045408,26349,2.56,2.71,2.71,2.71,18.6,52.1,17.63,20.39,20.45,20.46,20.46,0.50,0,0,3.73,14.6,66.2,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211005,045409,27424,2.62,2.77,2.77,2.77,18.6,52.0,18.00,20.82,20.88,20.89,20.89,0.49,0,0,3.73,14.6,66.1,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211005,045410,28500,2.67,2.82,2.82,2.82,18.6,52.0,18.33,21.21,21.27,21.28,21.28,0.50,0,0,3.73,14.6,66.1,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211005,045411,29576,2.72,2.88,2.88,2.88,18.7,51.9,18.74,21.68,21.75,21.75,21.76,0.51,0,0,3.73,14.7,66.1,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211005,045412,30648,2.80,2.96,2.96,2.96,18.6,52.0,19.26,22.28,22.35,22.35,22.36,0.50,0,0,3.73,14.6,66.1,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211005,045413,31724,2.93,3.09,3.09,3.09,18.7,52.0,20.12,23.28,23.35,23.35,23.36,0.48,0,0,3.73,14.7,66.1,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20211005,045414,32800,2.95,3.12,3.12,3.12,18.7,52.0,20.27,23.45,23.52,23.52,23.53,0.48,0,0,3.73,14.7,66.1,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20211005,045415,33876,2.96,3.13,3.13,3.13,18.7,52.0,20.35,23.54,23.61,23.61,23.62,0.46,0,0,3.73,14.7,66.1,2E4
