STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211005,130345,16682,16.50,33.81,47.06,49.71,18.7,70.2,73.30,112.59,130.59,133.76,134.29,1.12,0,0,4.61,14.7,89.3,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20211005,130346,17753,14.91,26.36,34.94,36.65,18.7,70.2,76.50,106.54,118.28,120.34,120.69,0.85,0,0,4.61,14.7,89.2,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20211005,130347,18824,15.27,28.79,39.02,41.06,18.7,70.1,73.98,107.07,121.02,123.48,123.89,0.91,0,0,4.61,14.7,89.1,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20211005,130348,19892,14.57,23.61,30.25,31.58,18.7,70.1,80.06,106.62,115.77,117.37,117.65,0.81,0,0,4.60,14.7,89.1,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20211005,130349,20959,14.63,23.95,30.82,32.19,18.7,70.0,79.78,106.77,116.21,117.87,118.16,0.81,0,0,4.61,14.7,89.0,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20211005,130350,22035,14.55,23.33,29.75,31.03,18.7,70.0,80.59,106.78,115.64,117.20,117.46,0.83,0,0,4.61,14.7,89.0,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20211005,130352,23102,14.74,24.38,31.50,32.92,18.7,70.0,79.77,107.28,117.07,118.79,119.08,0.85,0,0,4.61,14.7,89.0,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20211005,130353,24178,14.94,25.53,33.42,34.99,18.7,69.9,78.81,107.77,118.58,120.48,120.80,0.87,0,0,4.61,14.7,88.9,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20211005,130354,25255,14.98,25.70,33.68,35.28,18.8,69.8,78.77,107.93,118.88,120.80,121.13,0.88,0,0,4.61,14.8,88.8,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20211005,130355,26322,15.00,25.70,33.67,35.26,18.7,69.8,78.97,108.13,119.05,120.97,121.30,0.88,0,0,4.61,14.7,88.7,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20211005,130356,27395,15.05,26.02,34.21,35.85,18.8,69.7,78.66,108.22,119.44,121.41,121.74,0.90,0,0,4.61,14.8,88.6,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20211005,130357,28469,15.09,26.29,34.65,36.33,18.8,69.7,78.43,108.33,119.78,121.80,122.14,0.91,0,0,4.61,14.8,88.6,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20211005,130358,29540,15.05,26.26,34.63,36.30,18.8,69.6,78.10,107.97,119.43,121.45,121.79,0.92,0,0,4.60,14.8,88.5,90E
13,0.000000,0.000000,0,-1.0,0.0,0,20211005,130359,30613,14.98,26.44,35.02,36.74,18.9,69.6,77.00,107.13,118.87,120.94,121.28,0.93,0,0,4.61,14.9,88.4,90E
14,0.000000,0.000000,0,-1.0,0.0,0,20211005,130400,31687,14.87,25.82,34.00,35.63,18.9,69.5,77.43,106.78,117.98,119.95,120.28,0.91,0,0,4.61,14.9,88.3,90E
15,0.000000,0.000000,0,-1.0,0.0,0,20211005,130401,32761,14.93,26.38,34.95,36.67,18.9,69.4,76.65,106.71,118.45,120.51,120.86,0.93,0,0,4.61,14.9,88.2,90E
16,0.000000,0.000000,0,-1.0,0.0,0,20211005,130402,33832,14.92,26.56,35.28,37.02,18.9,69.3,76.17,106.47,118.39,120.50,120.85,0.93,0,0,4.61,14.9,88.1,90E
17,0.000000,0.000000,0,-1.0,0.0,0,20211005,130403,34906,15.01,27.12,36.22,38.04,18.9,69.2,75.63,106.62,119.06,121.25,121.62,0.95,0,0,4.61,14.9,88.0,90E
18,0.000000,0.000000,0,-1.0,0.0,0,20211005,130405,35980,14.97,26.93,35.92,37.72,18.9,69.2,75.74,106.51,118.79,120.95,121.31,0.94,0,0,4.61,14.9,87.9,90E
19,0.000000,0.000000,0,-1.0,0.0,0,20211005,130406,37051,14.90,26.81,35.76,37.55,19.0,69.1,75.30,105.93,118.16,120.32,120.68,0.94,0,0,4.61,15.0,87.8,90E
20,0.000000,0.000000,0,-1.0,0.0,0,20211005,130407,38125,14.84,26.99,36.13,37.95,19.0,69.1,74.35,105.22,117.70,119.90,120.27,0.95,0,0,4.61,15.0,87.8,90E
21,0.000000,0.000000,0,-1.0,0.0,0,20211005,130408,39199,14.72,26.74,35.78,37.59,19.0,69.0,73.82,104.40,116.75,118.93,119.29,0.95,0,0,4.61,15.0,87.7,90E
22,0.000000,0.000000,0,-1.0,0.0,0,20211005,130409,40270,14.67,26.83,35.99,37.82,19.0,69.0,73.14,103.86,116.36,118.57,118.94,0.96,0,0,4.61,15.0,87.7,90E
23,0.000000,0.000000,0,-1.0,0.0,0,20211005,130410,41344,14.60,26.94,36.25,38.11,19.1,68.9,72.22,103.11,115.81,118.05,118.42,0.97,0,0,4.61,15.1,87.6,90E
24,0.000000,0.000000,0,-1.0,0.0,0,20211005,130411,42418,14.55,26.87,36.16,38.02,19.1,68.9,71.90,102.71,115.39,117.62,118.00,0.98,0,0,4.61,15.1,87.6,90E
25,0.000000,0.000000,0,-1.0,0.0,0,20211005,130412,43492,14.47,26.76,36.03,37.88,19.1,68.9,71.43,102.12,114.77,117.00,117.37,0.98,0,0,4.61,15.1,87.6,90E
26,0.000000,0.000000,0,-1.0,0.0,0,20211005,130413,44563,14.23,26.40,35.59,37.43,19.1,68.9,69.97,100.25,112.79,115.01,115.37,0.99,0,0,4.61,15.1,87.5,90E
27,0.000000,0.000000,0,-1.0,0.0,0,20211005,130414,45637,14.07,26.16,35.29,37.12,19.1,68.8,69.11,99.14,111.59,113.79,114.16,0.99,0,0,4.61,15.1,87.4,90E
28,0.000000,0.000000,0,-1.0,0.0,0,20211005,130415,46710,14.00,26.08,35.21,37.04,19.2,68.7,68.58,98.52,110.97,113.17,113.54,1.00,0,0,4.61,15.2,87.2,90E
29,0.000000,0.000000,0,-1.0,0.0,0,20211005,130416,47780,13.90,25.95,35.07,36.89,19.1,68.6,67.94,97.75,110.18,112.37,112.73,1.00,0,0,4.61,15.1,87.2,90E
30,0.000000,0.000000,0,-1.0,0.0,0,20211005,130418,48853,13.79,25.82,34.91,36.72,19.2,68.6,67.31,96.96,109.36,111.54,111.91,1.01,0,0,4.61,15.2,87.1,90E
31,0.000000,0.000000,0,-1.0,0.0,0,20211005,130420,49926,13.72,25.73,34.81,36.63,19.2,68.5,66.86,96.42,108.80,110.99,111.35,1.00,0,0,4.61,15.2,87.0,90E
32,0.000000,0.000000,0,-1.0,0.0,0,20211005,130421,50999,13.67,25.64,34.70,36.51,19.2,68.4,66.57,96.03,108.38,110.56,110.92,0.99,0,0,4.61,15.2,86.9,90E
33,0.000000,0.000000,0,-1.0,0.0,0,20211005,130422,52069,13.66,25.65,34.71,36.53,19.2,68.3,66.46,95.93,108.29,110.47,110.84,1.00,0,0,4.61,15.2,86.8,90E
34,0.000000,0.000000,0,-1.0,0.0,0,20211005,130423,53142,13.67,25.68,34.76,36.57,19.2,68.3,66.50,96.01,108.39,110.57,110.94,1.00,0,0,4.61,15.2,86.7,90E
35,0.000000,0.000000,0,-1.0,0.0,0,20211005,130424,54215,13.68,25.67,34.74,36.56,19.2,68.2,66.58,96.07,108.44,110.62,110.99,0.99,0,0,4.61,15.2,86.6,90E
36,0.000000,0.000000,0,-1.0,0.0,0,20211005,130425,55285,13.67,25.66,34.73,36.54,19.3,68.1,66.55,96.03,108.40,110.58,110.94,1.00,0,0,4.61,15.3,86.6,90E
37,0.000000,0.000000,0,-1.0,0.0,0,20211005,130426,56357,13.63,25.59,34.63,36.44,19.2,68.1,66.35,95.75,108.08,110.25,110.62,1.00,0,0,4.61,15.2,86.4,90E
38,0.000000,0.000000,0,-1.0,0.0,0,20211005,130427,57429,13.59,25.50,34.51,36.31,19.3,68.0,66.13,95.43,107.72,109.88,110.25,1.00,0,0,4.61,15.3,86.4,90E
39,0.000000,0.000000,0,-1.0,0.0,0,20211005,130428,58499,13.53,25.41,34.40,36.19,19.3,68.0,65.84,95.03,107.29,109.45,109.81,1.00,0,0,4.61,15.3,86.3,90E
40,0.000000,0.000000,0,-1.0,0.0,0,20211005,130429,59571,13.54,25.46,34.48,36.28,19.3,67.9,65.81,95.07,107.36,109.53,109.89,1.00,0,0,4.61,15.3,86.3,90E
41,0.000000,0.000000,0,-1.0,0.0,0,20211005,130430,60644,13.51,25.41,34.41,36.21,19.3,67.9,65.59,94.79,107.07,109.23,109.59,1.00,0,0,4.61,15.3,86.2,90E
42,0.000000,0.000000,0,-1.0,0.0,0,20211005,130430,61717,13.54,25.48,34.52,36.33,19.3,67.8,65.71,95.00,107.32,109.49,109.86,1.01,0,0,4.61,15.3,86.1,90E
43,0.000000,0.000000,0,-1.0,0.0,0,20211005,130433,62787,13.58,25.60,34.69,36.51,19.4,67.7,65.81,95.24,107.64,109.82,110.19,1.02,0,0,4.61,15.4,86.0,90E
44,0.000000,0.000000,0,-1.0,0.0,0,20211005,130434,63861,13.62,25.71,34.86,36.69,19.4,67.7,65.89,95.45,107.93,110.13,110.50,1.02,0,0,4.61,15.4,86.0,90E
45,0.000000,0.000000,0,-1.0,0.0,0,20211005,130435,64934,13.68,25.89,35.14,36.99,19.4,67.7,66.06,95.84,108.45,110.67,111.04,1.02,0,0,4.61,15.4,85.9,90E
46,0.000000,0.000000,0,-1.0,0.0,0,20211005,130436,66004,13.77,26.11,35.45,37.32,19.4,67.6,66.34,96.38,109.11,111.36,111.74,1.01,0,0,4.61,15.4,85.9,90E
47,0.000000,0.000000,0,-1.0,0.0,0,20211005,130437,67077,13.84,26.30,35.75,37.64,19.5,67.6,66.54,96.82,109.69,111.96,112.34,1.02,0,0,4.61,15.5,85.8,90E
48,0.000000,0.000000,0,-1.0,0.0,0,20211005,130438,68150,13.93,26.51,36.06,37.96,19.5,67.5,66.85,97.37,110.37,112.67,113.05,1.01,0,0,4.60,15.5,85.7,90E
49,0.000000,0.000000,0,-1.0,0.0,0,20211005,130439,69220,13.97,26.62,36.22,38.14,19.5,67.4,66.96,97.62,110.69,113.00,113.38,1.01,0,0,4.61,15.5,85.6,90E
50,0.000000,0.000000,0,-1.0,0.0,0,20211005,130440,70293,14.02,26.75,36.40,38.33,19.5,67.4,67.15,97.96,111.11,113.43,113.81,1.02,0,0,4.61,15.5,85.6,90E
51,0.000000,0.000000,0,-1.0,0.0,0,20211005,130441,71366,14.06,26.85,36.54,38.48,19.5,67.4,67.30,98.22,111.43,113.76,114.15,1.02,0,0,4.61,15.5,85.5,90E
52,0.000000,0.000000,0,-1.0,0.0,0,20211005,130442,72439,14.09,26.94,36.69,38.63,19.5,67.3,67.39,98.42,111.70,114.04,114.43,1.03,0,0,4.61,15.5,85.5,90E
53,0.000000,0.000000,0,-1.0,0.0,0,20211005,130443,73509,14.16,27.09,36.89,38.86,19.5,67.3,67.65,98.85,112.21,114.57,114.96,1.02,0,0,4.61,15.5,85.4,90E
54,0.000000,0.000000,0,-1.0,0.0,0,20211005,130443,74582,14.16,27.09,36.90,38.86,19.6,67.2,67.62,98.82,112.19,114.54,114.94,1.02,0,0,4.61,15.6,85.3,90E
55,0.000000,0.000000,0,-1.0,0.0,0,20211005,130445,75655,14.15,27.07,36.86,38.82,19.6,67.2,67.65,98.83,112.17,114.52,114.92,1.00,0,0,4.61,15.6,85.3,90E
56,0.000000,0.000000,0,-1.0,0.0,0,20211005,130446,76726,14.18,27.11,36.91,38.87,19.6,67.1,67.79,99.01,112.37,114.73,115.12,1.00,0,0,4.60,15.6,85.2,90E
57,0.000000,0.000000,0,-1.0,0.0,0,20211005,130447,77799,14.26,27.28,37.15,39.13,19.6,67.1,68.18,99.60,113.05,115.43,115.82,1.01,0,0,4.61,15.6,85.2,90E
58,0.000000,0.000000,0,-1.0,0.0,0,20211005,130448,78872,14.37,27.51,37.48,39.48,19.6,67.0,68.62,100.32,113.89,116.29,116.69,1.02,0,0,4.61,15.6,85.1,90E
59,0.000000,0.000000,0,-1.0,0.0,0,20211005,130449,79946,14.45,27.70,37.76,39.77,19.6,66.9,68.89,100.81,114.51,116.92,117.32,1.03,0,0,4.61,15.6,85.0,90E
60,0.000000,0.000000,0,-1.0,0.0,0,20211005,130450,81018,14.59,28.04,38.25,40.29,19.6,66.9,69.42,101.74,115.64,118.09,118.50,1.03,0,0,4.61,15.6,84.9,90E
61,0.000000,0.000000,0,-1.0,0.0,0,20211005,130452,82092,14.70,28.31,38.65,40.71,19.6,66.8,69.75,102.39,116.47,118.95,119.36,1.03,0,0,4.61,15.6,84.8,90E
62,0.000000,0.000000,0,-1.0,0.0,0,20211005,130453,83166,14.77,28.51,38.94,41.02,19.7,66.8,69.99,102.86,117.07,119.57,119.99,1.03,0,0,4.61,15.7,84.7,90E
63,0.000000,0.000000,0,-1.0,0.0,0,20211005,130454,84237,14.81,28.62,39.11,41.21,19.7,66.7,70.07,103.09,117.37,119.89,120.31,1.03,0,0,4.61,15.7,84.6,90E
64,0.000000,0.000000,0,-1.0,0.0,0,20211005,130455,85311,14.85,28.72,39.26,41.37,19.7,66.6,70.17,103.31,117.66,120.19,120.61,1.03,0,0,4.61,15.7,84.6,90E
65,0.000000,0.000000,0,-1.0,0.0,0,20211005,130456,86385,14.95,28.94,39.56,41.69,19.7,66.6,70.60,103.98,118.45,121.00,121.42,1.02,0,0,4.61,15.7,84.5,90E
66,0.000000,0.000000,0,-1.0,0.0,0,20211005,130456,87456,15.15,29.42,40.27,42.44,19.7,66.5,71.31,105.27,120.03,122.64,123.07,1.04,0,0,4.61,15.7,84.4,90E
67,0.000000,0.000000,0,-1.0,0.0,0,20211005,130458,88530,15.24,29.66,40.63,42.82,19.7,66.4,71.57,105.81,120.73,123.37,123.81,1.04,0,0,4.61,15.7,84.3,90E
68,0.000000,0.000000,0,-1.0,0.0,0,20211005,130459,89604,15.32,29.85,40.90,43.10,19.7,66.5,71.85,106.31,121.35,124.00,124.44,1.04,0,0,4.60,15.7,84.4,90E
