STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211006,161616,16660,22.11,66.79,101.93,108.96,20.5,68.0,45.71,126.33,173.61,181.98,183.34,1.38,0,0,3.78,16.5,86.2,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211006,161617,17733,10.05,22.11,31.40,33.26,20.5,67.9,40.98,66.88,79.47,81.69,82.06,1.03,0,0,3.78,16.5,86.0,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211006,161618,18806,10.10,16.65,21.49,22.45,20.5,67.7,54.83,73.61,80.25,81.42,81.62,0.83,0,0,3.79,16.5,85.8,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211006,161619,19881,10.12,15.95,20.19,21.04,20.5,67.7,56.74,74.59,80.45,81.48,81.66,0.82,0,0,3.79,16.5,85.7,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211006,161620,20956,10.16,16.75,21.62,22.59,20.5,67.6,55.08,73.98,80.67,81.84,82.04,0.88,0,0,3.78,16.5,85.6,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211006,161622,22031,10.20,16.62,21.35,22.29,20.5,67.5,55.78,74.49,81.00,82.14,82.33,0.87,0,0,3.78,16.5,85.5,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211006,161623,23102,10.21,16.61,21.32,22.26,20.5,67.4,55.89,74.58,81.07,82.21,82.40,0.86,0,0,3.78,16.5,85.4,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211006,161624,24177,10.23,16.62,21.31,22.25,20.6,67.4,56.13,74.83,81.29,82.42,82.62,0.86,0,0,3.78,16.6,85.3,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211006,161625,25252,10.21,16.65,21.40,22.34,20.6,67.3,55.82,74.58,81.10,82.25,82.44,0.86,0,0,3.78,16.6,85.2,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211006,161626,26323,10.16,17.33,22.66,23.73,20.6,67.5,53.72,73.37,80.68,81.96,82.18,0.89,0,0,3.78,16.6,85.5,A7A
10,0.000000,0.000000,0,-1.0,0.0,0,20211006,161627,27398,10.14,16.92,21.94,22.95,20.6,67.8,54.50,73.62,80.52,81.73,81.93,0.88,0,0,3.79,16.6,85.9,A7A
11,0.000000,0.000000,0,-1.0,0.0,0,20211006,161628,28474,10.13,16.52,21.22,22.16,20.6,67.9,55.38,73.98,80.45,81.59,81.78,0.88,0,0,3.79,16.6,86.0,A7A
12,0.000000,0.000000,0,-1.0,0.0,0,20211006,161629,29550,10.09,16.21,20.68,21.58,20.6,67.9,55.82,74.02,80.19,81.27,81.46,0.87,0,0,3.78,16.6,86.1,A7A
13,0.000000,0.000000,0,-1.0,0.0,0,20211006,161630,30622,10.06,16.17,20.64,21.54,20.6,67.9,55.59,73.75,79.92,81.00,81.18,0.88,0,0,3.78,16.6,86.0,A7A
14,0.000000,0.000000,0,-1.0,0.0,0,20211006,161631,31698,10.00,16.55,21.39,22.36,20.6,67.9,54.07,72.75,79.41,80.58,80.77,0.89,0,0,3.78,16.6,86.0,A7A
15,0.000000,0.000000,0,-1.0,0.0,0,20211006,161632,32775,9.90,16.20,20.83,21.76,20.6,67.9,54.00,72.24,78.62,79.74,79.93,0.89,0,0,3.78,16.6,86.0,A7A
16,0.000000,0.000000,0,-1.0,0.0,0,20211006,161633,33847,9.74,16.02,20.64,21.57,20.6,67.8,52.98,71.03,77.40,78.51,78.70,0.89,0,0,3.78,16.6,85.8,A7A
17,0.000000,0.000000,0,-1.0,0.0,0,20211006,161635,34922,9.57,15.71,20.24,21.14,20.6,67.7,52.11,69.82,76.04,77.14,77.32,0.89,0,0,3.78,16.6,85.7,A7A
18,0.000000,0.000000,0,-1.0,0.0,0,20211006,161636,35997,9.43,15.09,19.22,20.05,20.7,67.6,52.28,69.21,74.92,75.92,76.09,0.88,0,0,3.78,16.7,85.6,A7A
