[miniDiSC java tool version 2 output file]
[Data recorded with miniDiSC SN101607 running firmware 3,42]
[File start date: 2021.10.06]
[File start time: 07:31:06]

Time	Number	Size	LDSA	Filter	Diff	
4,5	6415	64,7	23,82	20,72	7,59
14,5	6113	63,7	22,34	19,36	7,19
24,5	7822	56,6	25,04	20,93	8,83
34,5	8458	55,2	26,37	21,87	9,47
44,5	8517	55,1	26,49	21,95	9,53
54,5	8797	55,3	27,47	22,79	9,85
64,5	7410	57,5	24,15	20,29	8,41
74,5	8618	51,7	24,97	20,24	9,43
84,5	9181	52,4	26,98	21,97	10,09
94,5	5500	63,3	19,93	17,24	6,46
104,5	3598	74,8	15,71	14,18	4,51
114,5	3793	73	16,12	14,46	4,7
124,5	3944	72,9	16,73	15	4,89
134,5	3984	70,8	16,38	14,59	4,88
144,5	4175	68,8	16,62	14,71	5,06
154,5	4402	67,6	17,17	15,12	5,3
164,5	3963	71,9	16,56	14,81	4,88
174,5	3732	73,4	15,96	14,34	4,64
184,5	3612	74,1	15,61	14,05	4,51
194,5	3571	74,3	15,48	13,95	4,46
204,5	3525	74,7	15,37	13,87	4,41
214,5	4100	71,4	17	15,17	5,04
224,5	4376	70,1	17,79	15,81	5,34
234,5	4261	71,5	17,68	15,79	5,24
244,5	4448	70,5	18,17	16,17	5,44
254,5	4438	69,3	17,8	15,77	5,39
264,5	4464	69,6	17,99	15,96	5,43
274,5	4318	71,7	18	16,08	5,32
284,5	4599	68,8	18,29	16,18	5,57
294,5	4441	69,6	17,89	15,86	5,4
304,5	4411	70,9	18,14	16,16	5,4
314,5	4292	72	17,96	16,06	5,29
324,5	4549	69,2	18,22	16,14	5,52
334,5	4488	70	18,2	16,17	5,47
344,5	4602	69,3	18,45	16,34	5,59
354,5	4648	67,6	18,13	15,97	5,59
364,5	4225	69,8	17,09	15,17	5,15
374,5	4245	69,4	17,06	15,12	5,16
384,5	3995	71,9	16,68	14,92	4,92
394,5	3894	72,2	16,35	14,64	4,81
404,5	3943	71,2	16,29	14,53	4,84
414,5	4003	72,2	16,79	15,03	4,94
424,5	3852	73,9	16,59	14,93	4,8
434,5	4997	67,7	19,53	17,21	6,02
444,5	5338	70,6	21,86	19,45	6,53
454,5	5560	69,1	22,22	19,66	6,74
464,5	5284	70,9	21,74	19,37	6,48
474,5	5147	72,1	21,59	19,31	6,35
484,5	5206	70,5	21,29	18,94	6,37
494,5	5062	72,1	21,23	18,99	6,25
504,5	5029	71,5	20,89	18,64	6,18
514,5	5431	69,8	21,96	19,48	6,61
524,5	5187	72,3	21,8	19,51	6,4
534,5	5166	73	21,95	19,68	6,4
544,5	5095	72,6	21,52	19,28	6,3
554,5	5036	72	21,07	18,83	6,21
564,5	4949	71	20,41	18,19	6,07
574,5	5177	69,4	20,79	18,42	6,29
584,5	5680	69,7	22,94	20,35	6,92
594,5	3674	85,4	18,59	17,22	4,88
604,5	1542	87,8	8,05	7,5	2,07
614,5	1547	80,9	7,37	6,77	2
624,5	1466	79,9	6,89	6,31	1,89
634,5	1373	81,5	6,6	6,06	1,78
644,5	1449	77,7	6,6	6,01	1,84
654,5	1302	84,4	6,5	6,02	1,72
664,5	1188	88,9	6,29	5,88	1,61
674,5	5052	56,4	16,12	13,48	5,7
684,5	5747	63,4	20,89	18,08	6,75
694,5	5267	66,5	20,18	17,69	6,3
704,5	4984	67,4	19,39	17,06	5,99
714,5	4616	67,8	18,06	15,91	5,56
724,5	4702	66,1	17,9	15,67	5,61
734,5	5291	64,1	19,45	16,88	6,24
744,5	5659	61,9	20,02	17,21	6,59
754,5	5390	65,1	20,17	17,58	6,39
764,5	5333	65,5	20,09	17,54	6,34
774,5	5478	63,4	19,89	17,21	6,43
784,5	5386	64,5	19,96	17,36	6,37
794,5	5100	68	20,04	17,67	6,15
804,5	5321	65,5	20,03	17,49	6,32
814,5	5439	64,5	20,15	17,53	6,43
824,5	5517	64	20,25	17,57	6,5
834,5	5540	64,3	20,45	17,77	6,54
844,5	5425	65,5	20,44	17,85	6,45
854,5	4889	67,3	18,98	16,7	5,87
864,5	3951	72,2	16,59	14,85	4,88
874,5	3979	71,1	16,41	14,63	4,88
884,5	4079	70,8	16,74	14,91	5
894,5	4120	69,9	16,68	14,81	5,02
904,5	3946	70,5	16,13	14,36	4,83
914,5	4091	69,3	16,42	14,56	4,97
924,5	3924	71,2	16,22	14,47	4,82
934,5	4048	69,8	16,38	14,54	4,93
944,5	5461	63	19,71	17,03	6,4
954,5	6506	60,8	22,58	19,31	7,53
964,5	6310	62,5	22,56	19,44	7,37
974,5	6274	62,5	22,46	19,36	7,33
984,5	6140	63	22,15	19,13	7,2
994,5	6076	64,1	22,36	19,41	7,17
1004,5	6078	63,9	22,29	19,33	7,16
1014,5	6299	62,8	22,64	19,54	7,37
1024,5	6224	63,4	22,63	19,58	7,31
1034,5	6136	64,4	22,68	19,71	7,25
1044,5	6278	64	23,05	19,99	7,4
1054,5	6335	64,7	23,56	20,5	7,5
1064,5	6430	64,2	23,68	20,56	7,59
1074,5	6436	64,5	23,85	20,73	7,61
1084,5	4863	71,9	20,31	18,15	5,99
1094,5	4012	76,8	18,03	16,36	5,08
1104,5	3767	77,1	17	15,44	4,78
1114,5	3804	76,4	17,01	15,41	4,81
1124,5	3780	76,2	16,85	15,26	4,77
1134,5	3692	76,3	16,48	14,94	4,66
1144,5	3598	76,2	16,03	14,53	4,54
1154,5	3459	77,3	15,67	14,24	4,39
