STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,163241,16749,3.37,3.56,3.56,3.56,21.1,58.0,23.16,26.80,26.87,26.88,26.89,0.35,0,0,3.73,17.1,73.4,286
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,163243,17820,2.53,2.67,2.67,2.67,21.2,58.0,17.37,20.10,20.16,20.16,20.17,0.42,0,0,3.73,17.2,73.4,286
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,163244,18887,2.50,2.64,2.64,2.64,21.1,58.0,17.20,19.90,19.95,19.96,19.96,0.42,0,0,3.73,17.1,73.4,286
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,163245,19957,2.46,2.60,2.60,2.60,21.2,58.0,16.94,19.60,19.66,19.66,19.67,0.36,0,0,3.73,17.2,73.3,286
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,163246,21027,2.44,2.58,2.58,2.58,21.2,57.9,16.80,19.43,19.49,19.50,19.50,0.41,0,0,3.73,17.2,73.3,286
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,163247,22097,2.36,3.28,3.91,4.04,21.2,58.0,14.37,17.93,18.80,18.95,18.97,0.52,0,0,3.73,17.2,73.4,286
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,163248,23174,2.33,3.23,3.85,3.98,21.2,58.1,14.15,17.65,18.51,18.66,18.68,0.52,0,0,3.73,17.2,73.5,286
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,163249,24244,2.36,2.50,2.50,2.50,21.2,58.2,16.23,18.78,18.83,18.84,18.84,0.48,0,0,3.73,17.2,73.6,286
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,163250,25314,2.33,2.46,2.46,2.46,21.2,58.2,16.03,18.54,18.59,18.60,18.60,0.47,0,0,3.73,17.2,73.7,286
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,163251,26391,2.29,2.42,2.42,2.42,21.2,58.2,15.76,18.23,18.28,18.29,18.29,0.49,0,0,3.73,17.2,73.7,286
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,163252,27461,2.24,2.36,2.36,2.36,21.2,58.2,15.38,17.79,17.84,17.85,17.85,0.49,0,0,3.73,17.2,73.7,286
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,163253,28532,2.17,2.29,2.29,2.29,21.2,58.2,14.92,17.26,17.31,17.32,17.32,0.49,0,0,3.73,17.2,73.7,286
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,163254,29603,2.11,2.23,2.23,2.23,21.3,58.2,14.52,16.79,16.84,16.85,16.85,0.49,0,0,3.73,17.3,73.7,286
