STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,142852,16778,15.60,25.09,32.05,33.44,20.1,62.7,86.72,114.62,123.95,125.55,125.84,0.91,0,0,3.73,16.1,79.5,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,142853,17848,22.64,46.18,64.18,67.78,20.1,62.7,102.48,155.53,179.27,183.37,184.08,0.83,0,0,3.73,16.1,79.5,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,142854,18915,22.59,47.29,66.22,70.01,20.1,62.6,99.34,153.83,178.78,183.09,183.84,0.88,0,0,3.73,16.1,79.4,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,142855,19984,22.49,46.99,65.77,69.52,20.1,62.5,99.13,153.26,178.01,182.28,183.02,0.93,0,0,3.73,16.1,79.3,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,142856,21053,22.35,47.30,66.46,70.29,20.1,62.4,96.99,151.57,176.81,181.17,181.92,0.95,0,0,3.73,16.1,79.2,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,142857,22122,22.19,47.21,66.42,70.26,20.1,62.4,95.75,150.25,175.56,179.93,180.68,0.96,0,0,3.73,16.1,79.1,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,142859,23198,22.00,44.73,62.11,65.58,20.1,62.4,99.90,151.27,174.20,178.15,178.84,0.93,0,0,3.73,16.1,79.1,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,142900,24267,21.86,44.37,61.58,65.02,20.1,62.4,99.42,150.36,173.07,176.99,177.66,0.93,0,0,3.73,16.1,79.1,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,142901,25336,21.63,44.68,62.34,65.87,20.2,62.4,96.50,147.91,171.19,175.21,175.90,0.95,0,0,3.73,16.2,79.2,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211007,142902,26412,21.33,43.95,61.26,64.72,20.2,62.4,95.47,146.02,168.85,172.79,173.47,0.95,0,0,3.72,16.2,79.1,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211007,142903,27481,21.06,44.29,62.11,65.68,20.2,62.3,92.10,143.17,166.65,170.70,171.40,0.97,0,0,3.73,16.2,79.0,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211007,142904,28551,20.74,42.94,59.94,63.34,20.2,62.2,92.30,141.71,164.13,168.00,168.66,0.95,0,0,3.73,16.2,78.9,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211007,142905,29628,20.44,42.56,59.52,62.91,20.2,62.1,90.40,139.42,161.77,165.63,166.29,0.96,0,0,3.72,16.2,78.8,2E4
