STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211007,151427,3634,2.11,2.23,2.23,2.23,23.5,45.1,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.5,56.8,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211007,151428,4710,2.11,2.23,2.23,2.23,23.4,44.9,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.65,19.4,56.6,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211007,151429,5782,2.11,2.23,2.23,2.23,23.4,44.7,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.4,56.4,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211007,151430,6857,2.11,2.23,2.23,2.23,23.4,44.6,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.4,56.3,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211007,151431,7932,2.11,2.23,2.23,2.23,23.5,44.6,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.5,56.2,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211007,151432,9007,2.11,2.23,2.23,2.23,23.4,44.5,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.65,19.4,56.1,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211007,151433,10079,2.11,2.23,2.23,2.23,23.4,44.5,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.4,56.1,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211007,151434,11156,2.11,2.23,2.23,2.23,23.4,44.6,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.4,56.1,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211007,151435,12232,2.11,2.23,2.23,2.23,23.4,44.5,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.66,19.4,56.1,2E4
9,59.342179,17.923387,1,-1.0,27.9,7,20211007,151436,13305,2.11,2.23,2.23,2.23,23.5,44.5,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.65,19.5,56.1,2E4
10,59.342179,17.923387,1,0.7,28.1,7,20211007,151437,14374,2.11,2.23,2.23,2.23,23.4,44.5,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.65,19.4,56.1,2E4
11,59.342171,17.923425,1,1.4,27.9,8,20211007,151439,15444,2.11,2.23,2.23,2.23,23.5,44.5,14.52,16.80,16.85,16.85,16.86,0.48,0,0,3.65,19.5,56.1,2E4
12,59.342171,17.923425,1,0.4,27.9,9,20211007,151440,16513,2.10,2.22,2.22,2.22,23.4,44.5,14.46,16.73,16.77,16.78,16.78,0.48,0,0,3.65,19.4,56.1,2E4
13,59.342179,17.923454,1,0.4,27.7,11,20211007,151441,17589,2.09,2.21,2.21,2.21,23.4,44.5,14.37,16.62,16.67,16.68,16.68,0.48,0,0,3.65,19.4,56.1,2E4
14,59.342179,17.923468,1,1.1,27.6,11,20211007,151442,18659,2.07,2.19,2.19,2.19,23.4,44.5,14.26,16.50,16.55,16.55,16.55,0.48,0,0,3.65,19.4,56.1,2E4
15,59.342179,17.923474,1,0.2,27.6,11,20211007,151443,19728,2.06,2.17,2.17,2.17,23.4,44.5,14.14,16.35,16.40,16.41,16.41,0.48,0,0,3.65,19.4,56.1,2E4
