STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,080525,16678,39.03,68.16,89.93,94.28,19.2,66.7,202.40,279.93,309.73,314.98,315.86,0.97,0,0,3.73,15.2,84.7,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,080526,17749,20.92,23.07,23.84,24.00,19.2,66.6,141.46,165.48,166.93,167.16,167.22,0.66,0,0,3.73,15.2,84.6,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,080527,18816,21.25,25.11,27.24,27.67,19.2,66.4,139.58,166.16,169.44,169.99,170.11,0.71,0,0,3.73,15.2,84.4,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,080528,19885,21.54,26.73,29.93,30.57,19.2,66.2,138.31,166.92,171.62,172.43,172.58,0.73,0,0,3.73,15.2,84.1,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,080528,20955,22.12,30.23,35.77,36.87,19.2,66.0,135.31,168.31,176.13,177.50,177.74,0.78,0,0,3.74,15.2,83.9,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,080530,22032,22.45,32.31,39.25,40.64,19.2,65.9,133.32,168.94,178.64,180.34,180.64,0.81,0,0,3.73,15.2,83.7,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,080531,23102,22.91,34.96,43.63,45.37,19.3,65.8,131.23,170.15,182.18,184.29,184.66,0.85,0,0,3.74,15.3,83.6,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,080532,24173,22.99,34.88,43.44,45.15,19.3,65.8,132.08,170.89,182.76,184.84,185.20,0.84,0,0,3.73,15.3,83.6,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,080533,25244,23.03,34.60,42.89,44.55,19.3,65.8,133.22,171.65,183.16,185.18,185.53,0.82,0,0,3.74,15.3,83.6,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,080534,26311,23.22,35.16,43.75,45.47,19.2,65.9,133.56,172.67,184.59,186.68,187.04,0.82,0,0,3.73,15.2,83.6,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,080535,27381,23.25,35.07,43.55,45.24,19.3,65.9,134.12,173.09,184.87,186.93,187.29,0.82,0,0,3.73,15.3,83.7,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,080536,28453,23.51,36.21,45.40,47.24,19.3,66.0,133.81,174.21,186.92,189.16,189.54,0.84,0,0,3.73,15.3,83.8,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,080537,29520,23.65,36.48,45.76,47.61,19.3,66.0,134.46,175.16,188.00,190.26,190.64,0.85,0,0,3.74,15.3,83.9,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,080538,30591,23.82,36.75,46.10,47.98,19.3,66.1,135.41,176.41,189.36,191.64,192.03,0.86,0,0,3.73,15.3,84.0,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,080539,31662,24.00,37.02,46.44,48.32,19.4,66.2,136.41,177.71,190.75,193.04,193.44,0.86,0,0,3.73,15.4,84.1,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,080541,32733,24.00,37.04,46.48,48.37,19.3,66.3,136.39,177.72,190.79,193.08,193.47,0.87,0,0,3.73,15.3,84.1,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,080541,33800,24.07,37.19,46.70,48.60,19.4,66.3,136.67,178.18,191.33,193.64,194.03,0.88,0,0,3.73,15.4,84.1,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,080543,34870,24.16,37.40,46.99,48.90,19.4,66.3,137.05,178.80,192.07,194.40,194.80,0.89,0,0,3.74,15.4,84.2,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20211008,080544,35941,24.21,37.55,47.22,49.15,19.4,66.4,137.16,179.09,192.47,194.81,195.22,0.89,0,0,3.73,15.4,84.3,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20211008,080545,37008,24.32,37.84,47.66,49.63,19.4,66.4,137.41,179.69,193.27,195.65,196.06,0.90,0,0,3.73,15.4,84.3,B1F
20,0.000000,0.000000,0,-1.0,0.0,0,20211008,080546,38079,24.36,38.07,48.03,50.03,19.4,66.4,137.31,179.88,193.65,196.07,196.48,0.91,0,0,3.73,15.4,84.3,B1F
21,0.000000,0.000000,0,-1.0,0.0,0,20211008,080547,39150,24.40,38.26,48.33,50.35,19.4,66.4,137.23,180.03,193.95,196.40,196.81,0.90,0,0,3.73,15.4,84.4,B1F
22,0.000000,0.000000,0,-1.0,0.0,0,20211008,080548,40217,24.47,38.47,48.67,50.71,19.4,66.5,137.36,180.42,194.50,196.97,197.40,0.90,0,0,3.73,15.4,84.4,B1F
23,0.000000,0.000000,0,-1.0,0.0,0,20211008,080549,41288,24.54,38.69,49.00,51.06,19.4,66.5,137.47,180.79,195.03,197.53,197.96,0.90,0,0,3.73,15.4,84.4,B1F
24,0.000000,0.000000,0,-1.0,0.0,0,20211008,080550,42359,24.54,38.76,49.12,51.19,19.4,66.6,137.34,180.75,195.05,197.57,198.00,0.90,0,0,3.73,15.4,84.5,B1F
25,0.000000,0.000000,0,-1.0,0.0,0,20211008,080551,43431,24.45,38.70,49.09,51.17,19.4,66.6,136.62,179.98,194.33,196.85,197.28,0.90,0,0,3.73,15.4,84.6,B1F
