STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,080525,16618,33.01,74.84,107.15,113.62,19.1,65.5,129.13,217.09,260.83,268.56,269.83,1.11,0,0,3.48,15.1,83.3,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,080526,17691,32.58,38.09,41.02,41.61,19.1,65.5,215.02,255.24,259.81,260.59,260.75,0.70,0,0,3.48,15.1,83.2,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,080527,18758,32.52,44.48,52.66,54.29,19.1,65.5,198.73,247.30,258.85,260.86,261.22,0.84,0,0,3.48,15.1,83.2,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,080528,19828,32.45,46.27,55.95,57.88,19.2,65.5,193.69,244.61,258.17,260.54,260.95,0.88,0,0,3.48,15.2,83.2,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,080529,20898,32.34,45.17,54.06,55.83,19.2,65.4,195.35,244.87,257.37,259.55,259.93,0.86,0,0,3.48,15.2,83.1,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,080530,21974,32.18,45.51,54.80,56.65,19.2,65.4,193.07,243.07,256.10,258.38,258.78,0.87,0,0,3.48,15.2,83.1,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,080532,23043,32.09,45.20,54.31,56.14,19.2,65.4,192.99,242.62,255.41,257.65,258.04,0.86,0,0,3.48,15.2,83.1,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,080533,24112,31.95,45.23,54.50,56.35,19.2,65.3,191.50,241.21,254.21,256.48,256.88,0.86,0,0,3.48,15.2,83.0,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,080534,25181,31.73,46.37,56.74,58.81,19.2,65.3,186.71,237.96,252.43,254.96,255.40,0.87,0,0,3.47,15.2,82.9,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,080535,26257,31.47,46.87,57.87,60.07,19.2,65.2,182.99,234.98,250.27,252.95,253.42,0.88,0,0,3.48,15.2,82.8,A7A
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,080536,27326,31.17,46.98,58.33,60.60,19.2,65.0,179.92,232.14,247.89,250.65,251.13,0.89,0,0,3.47,15.2,82.6,A7A
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,080537,28396,30.89,46.30,57.33,59.54,19.2,65.0,178.90,230.31,245.64,248.33,248.79,0.88,0,0,3.48,15.2,82.5,A7A
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,080538,29473,30.56,46.29,57.60,59.86,19.2,64.9,175.81,227.30,242.99,245.74,246.22,0.88,0,0,3.48,15.2,82.4,A7A
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,080539,30543,29.99,45.18,56.08,58.26,19.2,64.8,173.13,223.34,238.47,241.12,241.58,0.87,0,0,3.48,15.2,82.3,A7A
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,080540,31613,29.76,44.76,55.52,57.68,19.2,64.8,171.95,221.69,236.63,239.25,239.70,0.86,0,0,3.47,15.2,82.3,A7A
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,080541,32684,29.52,44.38,55.02,57.15,19.3,64.8,170.70,219.99,234.78,237.37,237.82,0.87,0,0,3.48,15.3,82.2,A7A
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,080542,33761,29.39,44.09,54.63,56.74,19.2,64.7,170.09,219.06,233.69,236.26,236.70,0.87,0,0,3.48,15.2,82.2,A7A
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,080543,34832,29.28,43.90,54.37,56.47,19.3,64.8,169.53,218.28,232.83,235.38,235.82,0.88,0,0,3.47,15.3,82.3,A7A
