STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,155015,16717,17.52,18.52,18.52,18.52,21.1,50.8,120.37,139.45,139.80,139.85,139.87,0.37,0,0,3.76,17.1,64.3,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,155016,17792,20.33,30.88,38.47,39.98,21.1,50.8,116.78,151.14,161.67,163.51,163.83,0.93,0,0,3.76,17.1,64.2,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,155017,18867,19.61,26.22,30.66,31.54,21.1,50.7,121.37,149.87,156.18,157.28,157.48,0.80,0,0,3.76,17.1,64.1,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,155018,19943,19.10,22.87,25.03,25.46,21.2,50.6,124.68,148.96,152.23,152.79,152.90,0.70,0,0,3.76,17.2,64.1,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,155019,21019,18.96,22.35,24.22,24.60,21.1,50.6,124.63,148.29,151.16,151.65,151.75,0.70,0,0,3.76,17.1,64.0,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,155019,22092,18.90,22.47,24.48,24.88,21.2,50.5,123.78,147.60,150.66,151.18,151.29,0.72,0,0,3.75,17.2,63.9,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,155021,23166,18.67,21.50,22.93,23.21,21.1,50.5,123.97,146.60,148.88,149.26,149.35,0.68,0,0,3.76,17.1,63.9,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,155023,24240,18.49,20.69,21.61,21.79,21.1,50.5,124.30,145.92,147.51,147.78,147.84,0.65,0,0,3.75,17.1,63.9,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,155024,25314,18.36,20.25,20.92,21.05,21.2,50.4,124.16,145.24,146.50,146.71,146.76,0.63,0,0,3.75,17.2,63.8,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,155026,26385,18.24,20.21,20.96,21.11,21.2,50.4,123.08,144.15,145.51,145.73,145.79,0.64,0,0,3.76,17.2,63.7,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,155027,27459,18.04,19.89,20.54,20.67,21.2,50.3,121.98,142.69,143.92,144.12,144.18,0.64,0,0,3.74,17.2,63.7,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,155028,28534,17.82,19.63,20.27,20.39,21.2,50.5,120.50,140.94,142.15,142.34,142.39,0.64,0,0,3.75,17.2,63.9,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,155029,29606,17.46,19.11,19.64,19.74,21.2,50.8,118.40,138.27,139.32,139.49,139.54,0.63,0,0,3.75,17.2,64.3,90E
