STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,060354,16676,15.93,20.81,24.02,24.67,17.0,51.9,100.27,122.38,126.84,127.59,127.72,0.68,0,0,3.77,13.0,66.2,56A
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,060355,17747,9.48,10.02,10.02,10.02,17.0,51.9,65.29,75.41,75.63,75.65,75.67,0.47,0,0,3.77,13.0,66.2,56A
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,060356,18818,9.72,10.82,11.26,11.35,17.0,51.9,65.65,76.73,77.51,77.63,77.66,0.58,0,0,3.77,13.0,66.2,56A
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,060358,19892,9.96,11.50,12.28,12.43,17.0,52.0,66.34,78.22,79.44,79.64,79.68,0.62,0,0,3.77,13.0,66.3,56A
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,060358,20966,10.08,11.44,12.07,12.20,17.0,52.0,67.60,79.37,80.40,80.56,80.60,0.62,0,0,3.77,13.0,66.3,56A
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,060359,22041,10.28,11.26,11.59,11.65,17.0,52.0,69.88,81.36,82.01,82.10,82.13,0.57,0,0,3.77,13.0,66.3,56A
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,060400,23111,10.41,11.29,11.51,11.56,17.1,52.1,71.06,82.53,83.06,83.14,83.16,0.56,0,0,3.76,13.1,66.4,56A
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,060401,24185,10.57,11.52,11.81,11.86,17.0,52.1,71.99,83.72,84.32,84.41,84.43,0.56,0,0,3.77,13.0,66.4,56A
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,060402,25259,10.69,11.51,11.68,11.72,17.0,52.1,73.12,84.81,85.27,85.33,85.36,0.55,0,0,3.77,13.0,66.4,56A
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,060404,26329,10.79,11.64,11.82,11.86,17.0,52.1,73.80,85.61,86.09,86.16,86.18,0.55,0,0,3.77,13.0,66.4,56A
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,060405,27403,10.87,11.71,11.88,11.91,17.0,52.1,74.40,86.28,86.74,86.81,86.83,0.53,0,0,3.77,13.0,66.4,56A
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,060406,28478,10.93,11.72,11.84,11.87,17.0,52.1,74.94,86.81,87.22,87.28,87.30,0.53,0,0,3.77,13.0,66.4,56A
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,060407,29553,11.02,11.65,11.65,11.65,17.0,52.1,75.91,87.68,87.93,87.96,87.97,0.51,0,0,3.77,13.0,66.4,56A
13,0.000000,0.000000,0,-1.0,0.0,0,20211011,060408,30624,11.05,11.69,11.69,11.69,17.0,52.0,76.15,87.95,88.20,88.23,88.24,0.51,0,0,3.77,13.0,66.4,56A
14,0.000000,0.000000,0,-1.0,0.0,0,20211011,060408,31699,11.08,11.71,11.71,11.71,17.0,52.0,76.33,88.15,88.41,88.44,88.45,0.51,0,0,3.77,13.0,66.4,56A
15,0.000000,0.000000,0,-1.0,0.0,0,20211011,060409,32775,11.09,11.73,11.73,11.73,17.0,52.0,76.41,88.25,88.51,88.54,88.55,0.51,0,0,3.77,13.0,66.3,56A
