STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211012,152408,16715,15.76,38.30,55.81,59.31,20.5,48.0,57.00,101.66,124.38,128.25,128.88,1.29,0,0,3.82,16.5,60.8,56A
1,0.000000,0.000000,0,-1.0,0.0,0,20211012,152409,17784,11.87,37.32,57.37,61.38,20.5,47.8,22.76,67.29,93.16,97.58,98.29,1.63,0,0,3.82,16.5,60.5,56A
2,0.000000,0.000000,0,-1.0,0.0,0,20211012,152410,18856,10.37,25.76,37.74,40.13,20.5,47.6,36.14,66.24,81.77,84.42,84.85,1.31,0,0,3.82,16.5,60.3,56A
3,0.000000,0.000000,0,-1.0,0.0,0,20211012,152411,19931,10.16,24.10,34.90,37.06,20.5,47.5,38.18,66.20,80.23,82.62,83.01,1.25,0,0,3.82,16.5,60.2,56A
4,0.000000,0.000000,0,-1.0,0.0,0,20211012,152412,21006,10.45,25.03,36.34,38.60,20.5,47.4,38.71,67.85,82.52,85.02,85.43,1.24,0,0,3.82,16.5,60.0,56A
5,0.000000,0.000000,0,-1.0,0.0,0,20211012,152414,22081,10.86,26.69,39.00,41.46,20.5,47.3,38.57,69.73,85.69,88.41,88.86,1.26,0,0,3.82,16.5,59.9,56A
6,0.000000,0.000000,0,-1.0,0.0,0,20211012,152415,23153,10.99,26.59,38.71,41.13,20.5,47.2,39.99,70.97,86.70,89.38,89.82,1.23,0,0,3.82,16.5,59.8,56A
7,0.000000,0.000000,0,-1.0,0.0,0,20211012,152416,24228,11.14,26.05,37.59,39.90,20.5,47.2,42.73,72.97,87.97,90.53,90.95,1.18,0,0,3.82,16.5,59.8,56A
8,0.000000,0.000000,0,-1.0,0.0,0,20211012,152417,25304,11.46,27.05,39.13,41.54,20.6,47.1,43.38,74.82,90.51,93.18,93.61,1.20,0,0,3.82,16.6,59.7,56A
9,0.000000,0.000000,0,-1.0,0.0,0,20211012,152418,26375,11.63,27.36,39.55,41.99,20.6,47.1,44.22,76.02,91.85,94.54,94.99,1.20,0,0,3.82,16.6,59.6,56A
10,0.000000,0.000000,0,-1.0,0.0,0,20211012,152419,27450,11.78,27.77,40.16,42.63,20.6,47.0,44.69,76.96,93.05,95.79,96.24,1.21,0,0,3.82,16.6,59.6,56A
11,0.000000,0.000000,0,-1.0,0.0,0,20211012,152420,28526,11.78,27.11,38.98,41.35,20.6,47.0,46.18,77.62,93.04,95.66,96.09,1.18,0,0,3.82,16.6,59.5,56A
12,0.000000,0.000000,0,-1.0,0.0,0,20211012,152421,29602,12.02,27.56,39.57,41.97,20.6,46.9,47.45,79.37,94.99,97.65,98.08,1.16,0,0,3.82,16.6,59.5,56A
13,0.000000,0.000000,0,-1.0,0.0,0,20211012,152422,30674,12.13,27.75,39.83,42.25,20.6,46.8,48.00,80.15,95.85,98.53,98.97,1.16,0,0,3.82,16.6,59.3,56A
14,0.000000,0.000000,0,-1.0,0.0,0,20211012,152423,31750,12.29,28.27,40.63,43.11,20.6,46.8,48.26,81.03,97.09,99.83,100.28,1.16,0,0,3.82,16.6,59.3,56A
15,0.000000,0.000000,0,-1.0,0.0,0,20211012,152424,32827,12.44,28.77,41.41,43.94,20.6,46.7,48.46,81.83,98.25,101.05,101.51,1.17,0,0,3.82,16.6,59.1,56A
16,0.000000,0.000000,0,-1.0,0.0,0,20211012,152425,33901,12.42,28.74,41.36,43.89,20.6,46.4,48.36,81.69,98.10,100.90,101.36,1.17,0,0,3.81,16.6,58.8,56A
17,0.000000,0.000000,0,-1.0,0.0,0,20211012,152425,34969,12.38,28.82,41.54,44.08,20.6,46.0,47.83,81.28,97.80,100.62,101.08,1.17,0,0,3.82,16.6,58.3,56A
18,0.000000,0.000000,0,-1.0,0.0,0,20211012,152427,36037,12.32,28.76,41.48,44.03,20.6,45.7,47.39,80.77,97.30,100.12,100.58,1.18,0,0,3.82,16.6,57.9,56A
19,0.000000,0.000000,0,-1.0,0.0,0,20211012,152429,37112,12.17,28.36,40.89,43.40,20.6,45.6,46.91,79.83,96.12,98.89,99.34,1.18,0,0,3.82,16.6,57.8,56A
20,0.000000,0.000000,0,-1.0,0.0,0,20211012,152430,38189,11.94,27.64,39.79,42.22,20.6,45.4,46.43,78.49,94.28,96.97,97.41,1.17,0,0,3.82,16.6,57.5,56A
21,0.000000,0.000000,0,-1.0,0.0,0,20211012,152431,39266,11.66,26.92,38.74,41.10,20.6,45.1,45.55,76.77,92.12,94.73,95.16,1.17,0,0,3.82,16.6,57.2,56A
22,0.000000,0.000000,0,-1.0,0.0,0,20211012,152432,40343,11.41,26.16,37.56,39.84,20.6,44.9,45.01,75.31,90.14,92.66,93.07,1.15,0,0,3.82,16.6,56.9,56A
23,0.000000,0.000000,0,-1.0,0.0,0,20211012,152433,41415,11.17,25.40,36.40,38.60,20.6,44.6,44.56,73.97,88.26,90.70,91.10,1.14,0,0,3.82,16.6,56.5,56A
24,0.000000,0.000000,0,-1.0,0.0,0,20211012,152434,42491,10.97,24.93,35.72,37.88,20.7,44.5,43.78,72.64,86.67,89.05,89.45,1.14,0,0,3.82,16.7,56.3,56A
25,0.000000,0.000000,0,-1.0,0.0,0,20211012,152435,43567,10.51,23.86,34.18,36.24,20.7,44.3,42.02,69.63,83.05,85.33,85.70,1.14,0,0,3.82,16.7,56.2,56A
26,0.000000,0.000000,0,-1.0,0.0,0,20211012,152436,44639,10.30,23.46,33.64,35.68,20.7,44.3,40.97,68.14,81.37,83.63,84.00,1.15,0,0,3.82,16.7,56.1,56A
27,0.000000,0.000000,0,-1.0,0.0,0,20211012,152437,45715,10.02,22.77,32.62,34.59,20.7,44.5,40.00,66.35,79.16,81.34,81.70,1.14,0,0,3.82,16.7,56.4,56A
28,0.000000,0.000000,0,-1.0,0.0,0,20211012,152438,46791,9.74,22.03,31.53,33.43,20.7,45.5,39.15,64.64,76.99,79.09,79.44,1.14,0,0,3.82,16.7,57.6,56A
29,0.000000,0.000000,0,-1.0,0.0,0,20211012,152438,47866,9.45,21.29,30.44,32.27,20.7,46.0,38.17,62.79,74.69,76.71,77.04,1.14,0,0,3.82,16.7,58.3,56A
30,0.000000,0.000000,0,-1.0,0.0,0,20211012,152440,48938,9.15,20.56,29.38,31.14,20.7,46.0,37.05,60.82,72.28,74.23,74.55,1.14,0,0,3.82,16.7,58.3,56A
31,0.000000,0.000000,0,-1.0,0.0,0,20211012,152441,50013,8.87,19.97,28.55,30.26,20.7,45.8,35.85,58.95,70.10,72.00,72.31,1.14,0,0,3.82,16.7,58.1,56A
32,0.000000,0.000000,0,-1.0,0.0,0,20211012,152442,51088,8.59,19.36,27.67,29.34,20.8,45.5,34.69,57.07,67.89,69.73,70.03,1.14,0,0,3.82,16.8,57.7,56A
33,0.000000,0.000000,0,-1.0,0.0,0,20211012,152443,52159,8.44,19.06,27.26,28.91,20.8,45.2,33.95,56.00,66.67,68.48,68.78,1.14,0,0,3.82,16.8,57.2,56A
34,0.000000,0.000000,0,-1.0,0.0,0,20211012,152444,53234,8.23,18.65,26.70,28.31,20.8,44.9,33.02,54.60,65.07,66.85,67.14,1.15,0,0,3.82,16.8,56.9,56A
35,0.000000,0.000000,0,-1.0,0.0,0,20211012,152445,54309,8.01,18.06,25.82,27.38,20.8,44.7,32.29,53.18,63.28,65.00,65.28,1.14,0,0,3.82,16.8,56.7,56A
36,0.000000,0.000000,0,-1.0,0.0,0,20211012,152446,55384,7.81,17.68,25.30,26.82,20.8,44.5,31.39,51.84,61.75,63.44,63.72,1.15,0,0,3.82,16.8,56.4,56A
37,0.000000,0.000000,0,-1.0,0.0,0,20211012,152448,56455,7.57,17.06,24.38,25.84,20.8,44.4,30.62,50.34,59.86,61.48,61.75,1.14,0,0,3.82,16.8,56.2,56A
38,0.000000,0.000000,0,-1.0,0.0,0,20211012,152449,57530,7.15,16.10,23.00,24.38,20.8,44.2,28.93,47.54,56.52,58.05,58.31,1.14,0,0,3.82,16.8,56.0,56A
39,0.000000,0.000000,0,-1.0,0.0,0,20211012,152450,58605,7.01,15.76,22.52,23.87,20.8,44.2,28.42,46.65,55.43,56.93,57.17,1.14,0,0,3.82,16.8,56.0,56A
40,0.000000,0.000000,0,-1.0,0.0,0,20211012,152451,59676,6.85,15.38,21.97,23.29,20.8,44.4,27.79,45.57,54.14,55.60,55.84,1.14,0,0,3.82,16.8,56.2,56A
41,0.000000,0.000000,0,-1.0,0.0,0,20211012,152451,60751,6.68,15.02,21.46,22.75,20.8,44.4,27.06,44.43,52.81,54.23,54.47,1.14,0,0,3.82,16.8,56.2,56A
42,0.000000,0.000000,0,-1.0,0.0,0,20211012,152453,61826,6.52,14.58,20.81,22.05,20.8,44.4,26.56,43.40,51.50,52.88,53.11,1.14,0,0,3.81,16.8,56.2,56A
43,0.000000,0.000000,0,-1.0,0.0,0,20211012,152454,62901,6.34,14.14,20.16,21.36,20.8,44.6,25.98,42.32,50.15,51.48,51.70,1.13,0,0,3.82,16.8,56.5,56A
44,0.000000,0.000000,0,-1.0,0.0,0,20211012,152455,63972,6.18,13.77,19.63,20.80,20.9,44.7,25.35,41.26,48.88,50.17,50.39,1.14,0,0,3.82,16.9,56.6,56A
45,0.000000,0.000000,0,-1.0,0.0,0,20211012,152456,65048,6.07,13.58,19.37,20.53,20.9,44.8,24.73,40.42,47.96,49.24,49.45,1.14,0,0,3.82,16.9,56.7,56A
46,0.000000,0.000000,0,-1.0,0.0,0,20211012,152457,66123,5.94,13.22,18.83,19.95,20.9,45.2,24.40,39.67,46.97,48.21,48.42,1.13,0,0,3.82,16.9,57.3,56A
47,0.000000,0.000000,0,-1.0,0.0,0,20211012,152458,67194,5.81,12.91,18.39,19.49,20.9,45.4,23.88,38.79,45.92,47.13,47.33,1.13,0,0,3.82,16.9,57.5,56A
48,0.000000,0.000000,0,-1.0,0.0,0,20211012,152459,68269,5.70,12.71,18.12,19.20,20.9,45.6,23.37,38.05,45.09,46.29,46.48,1.14,0,0,3.82,16.9,57.7,56A
49,0.000000,0.000000,0,-1.0,0.0,0,20211012,152500,69344,5.59,12.49,17.81,18.88,20.9,45.5,22.83,37.26,44.18,45.36,45.56,1.14,0,0,3.82,16.9,57.7,56A
50,0.000000,0.000000,0,-1.0,0.0,0,20211012,152501,70419,5.36,11.95,17.05,18.06,20.9,45.7,21.90,35.71,42.33,43.46,43.65,1.14,0,0,3.82,16.9,57.9,56A
51,0.000000,0.000000,0,-1.0,0.0,0,20211012,152503,71489,5.23,11.65,16.61,17.61,20.9,46.0,21.39,34.85,41.31,42.40,42.58,1.14,0,0,3.81,16.9,58.3,56A
52,0.000000,0.000000,0,-1.0,0.0,0,20211012,152504,72563,5.14,11.45,16.31,17.28,20.9,46.0,21.07,34.28,40.62,41.69,41.87,1.13,0,0,3.82,16.9,58.2,56A
53,0.000000,0.000000,0,-1.0,0.0,0,20211012,152504,73637,5.06,11.29,16.09,17.05,20.9,46.0,20.75,33.78,40.03,41.09,41.26,1.13,0,0,3.82,16.9,58.3,56A
54,0.000000,0.000000,0,-1.0,0.0,0,20211012,152506,74707,5.00,11.10,15.81,16.75,20.9,45.8,20.57,33.39,39.51,40.55,40.73,1.13,0,0,3.82,16.9,58.0,56A
55,0.000000,0.000000,0,-1.0,0.0,0,20211012,152507,75781,4.91,10.88,15.48,16.40,21.0,45.5,20.24,32.79,38.78,39.80,39.97,1.13,0,0,3.82,17.0,57.6,56A
56,0.000000,0.000000,0,-1.0,0.0,0,20211012,152508,76856,4.83,10.64,15.13,16.02,21.0,45.4,20.06,32.34,38.17,39.16,39.33,1.12,0,0,3.82,17.0,57.5,56A
