STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,59.340731,18.037665,1,2.5,28.7,5,20211013,072749,6581,11.99,23.27,31.85,33.57,20.1,40.9,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.67,16.1,51.8,2E4
1,59.340731,18.037665,1,2.5,28.7,5,20211013,072750,7654,11.99,23.27,31.85,33.57,20.1,41.0,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.67,16.1,51.9,2E4
2,59.340731,18.037665,1,2.5,28.7,5,20211013,072750,8723,11.99,23.27,31.85,33.57,20.1,41.0,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.67,16.1,51.9,2E4
3,59.340731,18.037665,1,2.5,28.7,5,20211013,072752,9796,11.99,23.27,31.85,33.57,20.1,40.9,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.66,16.1,51.9,2E4
4,59.340731,18.037665,1,2.5,28.7,5,20211013,072753,10869,11.99,23.27,31.85,33.57,20.1,40.7,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.67,16.1,51.6,2E4
5,59.340731,18.037665,1,2.5,28.7,5,20211013,072754,11944,11.99,23.27,31.85,33.57,20.1,40.4,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.67,16.1,51.2,2E4
6,59.340731,18.037665,1,2.5,28.7,5,20211013,072755,13015,11.99,23.27,31.85,33.57,20.1,40.2,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.67,16.1,51.0,2E4
7,59.340731,18.037665,1,2.5,28.7,5,20211013,072756,14090,11.99,23.27,31.85,33.57,20.1,40.1,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.66,16.1,50.8,2E4
8,59.340584,18.037712,1,2.5,28.6,5,20211013,072757,15165,11.99,23.27,31.85,33.57,20.1,40.0,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.66,16.1,50.7,2E4
9,59.340584,18.037712,1,0.1,28.5,5,20211013,072758,16236,11.99,23.27,31.85,33.57,20.1,40.0,57.07,83.64,94.99,96.94,97.28,1.00,0,0,3.66,16.1,50.7,2E4
10,59.340592,18.037712,1,1.5,28.5,5,20211013,072759,17311,11.90,23.15,31.70,33.41,20.1,39.9,56.55,82.99,94.30,96.25,96.59,1.01,0,0,3.66,16.1,50.6,2E4
11,59.340592,18.037710,1,0.4,28.6,5,20211013,072800,18386,11.78,22.95,31.45,33.15,20.1,39.8,55.84,82.06,93.30,95.23,95.57,1.01,0,0,3.66,16.1,50.5,2E4
12,59.340592,18.037710,1,0.5,28.6,5,20211013,072801,19457,11.67,22.78,31.23,32.92,20.1,39.8,55.28,81.31,92.48,94.41,94.74,1.01,0,0,3.66,16.1,50.5,2E4
13,59.340601,18.037710,1,0.9,28.6,5,20211013,072802,20531,11.57,22.58,30.96,32.63,20.1,39.8,54.76,80.56,91.63,93.54,93.88,1.00,0,0,3.66,16.1,50.5,2E4
14,59.340601,18.037710,1,1.0,28.6,5,20211013,072803,21605,11.50,22.45,30.78,32.45,20.1,39.9,54.41,80.07,91.09,92.99,93.31,1.00,0,0,3.67,16.1,50.6,2E4
15,59.340609,18.037710,1,0.4,28.5,5,20211013,072805,22679,11.44,22.35,30.65,32.31,20.2,40.2,54.14,79.69,90.66,92.55,92.88,1.00,0,0,3.66,16.2,50.9,2E4
16,59.340609,18.037712,1,1.5,28.5,5,20211013,072806,23749,11.31,22.10,30.30,31.94,20.2,40.8,53.49,78.74,89.59,91.46,91.79,1.00,0,0,3.65,16.2,51.8,2E4
17,59.340617,18.037705,1,0.7,28.4,5,20211013,072807,24823,11.11,21.72,29.79,31.41,20.2,41.9,52.52,77.34,88.02,89.86,90.17,1.00,0,0,3.66,16.2,53.1,2E4
18,59.340617,18.037708,1,1.3,28.4,5,20211013,072808,25898,10.87,21.26,29.16,30.75,20.2,42.7,51.34,75.64,86.09,87.89,88.21,1.00,0,0,3.66,16.2,54.1,2E4
19,59.340617,18.037712,1,2.1,28.4,5,20211013,072809,26969,10.60,20.76,28.49,30.03,20.2,43.2,50.06,73.79,84.01,85.77,86.07,1.00,0,0,3.66,16.2,54.8,2E4
20,59.340625,18.037712,1,0.1,28.5,5,20211013,072810,28044,10.14,19.88,27.29,28.77,20.2,43.6,47.83,70.56,80.35,82.04,82.33,1.00,0,0,3.65,16.2,55.2,2E4
21,59.340625,18.037705,1,0.6,28.8,5,20211013,072811,29119,9.93,19.48,26.74,28.20,20.2,43.5,46.76,69.03,78.63,80.29,80.58,1.01,0,0,3.66,16.2,55.2,2E4
22,59.340633,18.037705,1,0.0,28.8,5,20211013,072812,30193,9.77,19.17,26.33,27.77,20.2,43.3,46.00,67.92,77.38,79.02,79.30,1.00,0,0,3.65,16.2,54.9,2E4
23,59.340633,18.037705,1,0.0,28.6,5,20211013,072813,31263,9.59,18.84,25.88,27.29,20.2,43.1,45.12,66.66,75.97,77.57,77.85,1.00,0,0,3.65,16.2,54.6,2E4
24,59.340633,18.037712,1,0.0,28.1,5,20211013,072814,32337,9.42,18.51,25.42,26.81,20.2,43.1,44.31,65.48,74.62,76.20,76.47,1.00,0,0,3.66,16.2,54.7,2E4
25,59.340625,18.037712,1,0.0,27.3,5,20211013,072815,33411,9.23,18.13,24.90,26.26,20.2,43.1,43.47,64.20,73.15,74.69,74.96,1.00,0,0,3.66,16.2,54.7,2E4
26,59.340633,18.037714,1,0.0,27.0,5,20211013,072816,34481,9.12,17.88,24.55,25.89,20.2,43.1,42.96,63.40,72.22,73.74,74.00,0.99,0,0,3.66,16.2,54.6,2E4
27,59.340641,18.037675,1,10.9,28.7,5,20211013,072818,35554,9.03,17.69,24.27,25.59,20.2,43.0,42.62,62.84,71.55,73.05,73.31,0.99,0,0,3.66,16.2,54.5,2E4
28,59.340666,18.037622,1,14.6,31.9,5,20211013,072819,36628,8.92,17.45,23.93,25.23,20.2,42.9,42.15,62.09,70.66,72.14,72.40,0.99,0,0,3.66,16.2,54.4,2E4
29,59.340690,18.037494,1,18.1,36.9,5,20211013,072820,37702,8.79,17.16,23.53,24.80,20.2,42.8,41.58,61.18,69.61,71.06,71.31,0.99,0,0,3.66,16.2,54.2,2E4
