STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211214,122054,16747,3.06,10.10,15.66,16.77,19.7,35.4,4.24,16.52,23.99,25.31,25.52,1.63,0,0,3.71,15.7,44.9,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20211214,122056,18770,1.92,6.02,9.25,9.90,19.8,35.1,3.45,10.74,15.09,15.85,15.98,1.63,0,0,3.71,15.8,44.5,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20211214,122057,19841,1.90,5.96,9.16,9.80,19.8,35.0,3.42,10.64,14.93,15.70,15.82,1.63,0,0,3.71,15.8,44.4,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20211214,122058,20915,1.48,3.47,5.01,5.31,19.8,34.9,5.50,9.59,11.67,12.04,12.10,1.03,0,0,3.71,15.8,44.3,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20211214,122058,21989,1.45,3.39,4.90,5.20,19.8,34.8,5.38,9.39,11.43,11.79,11.85,1.03,0,0,3.71,15.8,44.2,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20211214,122100,23063,1.28,2.53,3.48,3.67,19.8,34.8,5.96,8.88,10.17,10.40,10.44,0.74,0,0,3.71,15.8,44.1,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20211214,122101,24133,1.25,2.46,3.38,3.57,19.8,34.8,5.79,8.63,9.89,10.11,10.15,0.74,0,0,3.71,15.8,44.1,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20211214,122102,25206,1.21,2.38,3.27,3.45,19.8,34.8,5.60,8.34,9.56,9.77,9.81,0.74,0,0,3.71,15.8,44.1,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20211214,122104,26277,0.95,1.01,1.01,1.01,19.9,34.7,6.55,7.59,7.61,7.61,7.61,0.59,0,0,3.71,15.9,44.0,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20211214,122105,27347,1.03,1.51,1.85,1.92,19.9,34.7,6.01,7.68,8.16,8.24,8.26,0.63,0,0,3.70,15.9,44.0,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20211214,122106,28424,1.00,1.48,1.81,1.88,19.9,34.6,5.88,7.52,7.98,8.07,8.08,0.63,0,0,3.71,15.9,44.0,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20211214,122107,29495,0.90,0.95,0.95,0.95,19.9,34.6,6.19,7.17,7.19,7.19,7.19,0.57,0,0,3.70,15.9,43.8,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20211214,122108,30566,0.88,0.93,0.93,0.93,19.9,34.5,6.02,6.97,6.99,6.99,6.99,0.57,0,0,3.71,15.9,43.8,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20211214,122109,31633,0.86,0.91,0.91,0.91,19.9,34.5,5.89,6.83,6.85,6.85,6.85,0.49,0,0,3.70,15.9,43.8,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20211214,122110,32704,0.82,0.86,0.86,0.86,19.9,34.4,5.62,6.51,6.53,6.53,6.53,0.49,0,0,3.70,15.9,43.7,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20211214,122111,33775,0.80,0.84,0.84,0.84,19.9,34.4,5.48,6.35,6.36,6.36,6.36,0.47,0,0,3.70,15.9,43.7,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20211214,122111,34846,0.79,0.83,0.83,0.83,20.0,34.4,5.42,6.28,6.30,6.30,6.30,0.47,0,0,3.70,16.0,43.6,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20211214,122113,35914,0.77,0.82,0.82,0.82,20.0,34.4,5.32,6.17,6.18,6.19,6.19,0.47,0,0,3.71,16.0,43.6,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20211214,122114,36986,0.76,0.80,0.80,0.80,20.0,34.3,5.23,6.06,6.07,6.08,6.08,0.47,0,0,3.70,16.0,43.6,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20211214,122115,38058,0.75,0.80,0.80,0.80,20.0,34.3,5.18,6.00,6.01,6.01,6.02,0.51,0,0,3.70,16.0,43.5,B1F
20,0.000000,0.000000,0,-1.0,0.0,0,20211214,122116,39130,0.75,0.79,0.79,0.79,20.0,34.3,5.12,5.93,5.95,5.95,5.95,0.53,0,0,3.70,16.0,43.5,B1F
21,0.000000,0.000000,0,-1.0,0.0,0,20211214,122117,40198,0.73,0.77,0.77,0.77,20.0,34.2,5.03,5.82,5.84,5.84,5.84,0.53,0,0,3.70,16.0,43.4,B1F
22,0.000000,0.000000,0,-1.0,0.0,0,20211214,122118,41270,0.71,0.75,0.75,0.75,20.0,34.2,4.90,5.67,5.69,5.69,5.69,0.53,0,0,3.70,16.0,43.4,B1F
23,0.000000,0.000000,0,-1.0,0.0,0,20211214,122119,42342,0.69,0.73,0.73,0.73,20.0,34.2,4.74,5.50,5.51,5.51,5.51,0.53,0,0,3.70,16.0,43.4,B1F
