STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220116,171813,16754,4.12,8.13,11.19,11.80,19.6,41.7,19.08,28.49,32.64,33.38,33.50,1.15,0,0,3.44,15.6,52.9,B1F
1,0.000000,0.000000,0,-1.0,0.0,0,20220116,171814,17821,1.43,3.06,4.31,4.56,19.6,41.5,6.06,9.63,11.32,11.62,11.67,0.68,0,0,3.44,15.6,52.7,B1F
2,0.000000,0.000000,0,-1.0,0.0,0,20220116,171815,18891,1.13,1.20,1.20,1.20,19.6,41.5,7.78,9.01,9.03,9.04,9.04,0.37,0,0,3.44,15.6,52.7,B1F
3,0.000000,0.000000,0,-1.0,0.0,0,20220116,171816,19960,1.14,1.21,1.21,1.21,19.6,41.6,7.84,9.08,9.11,9.11,9.11,0.46,0,0,3.44,15.6,52.8,B1F
4,0.000000,0.000000,0,-1.0,0.0,0,20220116,171817,21030,1.14,1.20,1.20,1.20,19.6,41.8,7.81,9.05,9.07,9.07,9.08,0.46,0,0,3.44,15.6,53.1,B1F
5,0.000000,0.000000,0,-1.0,0.0,0,20220116,171818,22100,1.12,1.19,1.19,1.19,19.6,42.0,7.71,8.93,8.95,8.96,8.96,0.46,0,0,3.44,15.6,53.3,B1F
6,0.000000,0.000000,0,-1.0,0.0,0,20220116,171820,23177,1.12,1.18,1.18,1.18,19.6,42.2,7.67,8.88,8.90,8.91,8.91,0.49,0,0,3.44,15.6,53.6,B1F
7,0.000000,0.000000,0,-1.0,0.0,0,20220116,171821,24246,1.10,1.17,1.17,1.17,19.6,42.2,7.59,8.80,8.82,8.82,8.82,0.54,0,0,3.44,15.6,53.6,B1F
8,0.000000,0.000000,0,-1.0,0.0,0,20220116,171822,25316,1.10,1.16,1.16,1.16,19.7,41.9,7.53,8.73,8.75,8.75,8.76,0.59,0,0,3.44,15.7,53.1,B1F
9,0.000000,0.000000,0,-1.0,0.0,0,20220116,171823,26385,1.09,1.15,1.15,1.15,19.7,41.7,7.49,8.68,8.70,8.70,8.70,0.56,0,0,3.44,15.7,52.9,B1F
10,0.000000,0.000000,0,-1.0,0.0,0,20220116,171824,27461,1.08,1.15,1.15,1.15,19.7,41.7,7.45,8.64,8.66,8.66,8.66,0.54,0,0,3.44,15.7,52.9,B1F
11,0.000000,0.000000,0,-1.0,0.0,0,20220116,171825,28531,1.23,1.99,2.54,2.65,19.7,41.5,6.82,9.05,9.81,9.94,9.96,0.62,0,0,3.44,15.7,52.7,B1F
12,0.000000,0.000000,0,-1.0,0.0,0,20220116,171826,29601,1.23,1.84,2.28,2.37,19.7,41.2,7.16,9.21,9.81,9.92,9.94,0.60,0,0,3.44,15.7,52.3,B1F
13,0.000000,0.000000,0,-1.0,0.0,0,20220116,171827,30678,1.17,1.24,1.24,1.24,19.7,40.9,8.05,9.32,9.35,9.35,9.35,0.58,0,0,3.44,15.7,51.9,B1F
14,0.000000,0.000000,0,-1.0,0.0,0,20220116,171828,31748,1.20,1.26,1.26,1.26,19.8,40.7,8.21,9.52,9.54,9.54,9.54,0.57,0,0,3.44,15.8,51.6,B1F
15,0.000000,0.000000,0,-1.0,0.0,0,20220116,171829,32818,1.21,1.28,1.28,1.28,19.8,40.4,8.30,9.62,9.64,9.65,9.65,0.57,0,0,3.44,15.8,51.2,B1F
16,0.000000,0.000000,0,-1.0,0.0,0,20220116,171830,33888,1.22,1.29,1.29,1.29,19.8,40.2,8.37,9.70,9.72,9.72,9.73,0.57,0,0,3.44,15.8,51.0,B1F
17,0.000000,0.000000,0,-1.0,0.0,0,20220116,171831,34965,1.22,1.29,1.29,1.29,19.8,40.0,8.38,9.71,9.73,9.74,9.74,0.56,0,0,3.44,15.8,50.7,B1F
18,0.000000,0.000000,0,-1.0,0.0,0,20220116,171831,36035,1.24,1.31,1.31,1.31,19.8,39.8,8.53,9.89,9.91,9.92,9.92,0.51,0,0,3.44,15.8,50.5,B1F
19,0.000000,0.000000,0,-1.0,0.0,0,20220116,171834,37106,1.27,1.34,1.34,1.34,19.8,39.6,8.73,10.11,10.14,10.14,10.14,0.53,0,0,3.44,15.8,50.3,B1F
