STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220116,171816,16743,1.85,4.22,6.06,6.42,19.3,43.0,7.25,12.16,14.59,15.01,15.08,0.68,0,0,3.64,15.3,54.6,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20220116,171817,17814,2.92,3.09,3.09,3.09,19.4,43.1,19.96,23.24,23.29,23.30,23.30,0.35,0,0,3.64,15.4,54.7,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20220116,171818,18882,2.89,3.06,3.06,3.06,19.4,43.0,19.76,23.00,23.06,23.07,23.07,0.35,0,0,3.64,15.4,54.6,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20220116,171819,19952,2.84,3.01,3.01,3.01,19.4,42.7,19.46,22.64,22.70,22.71,22.71,0.32,0,0,3.64,15.4,54.2,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20220116,171820,21022,2.79,2.95,2.95,2.95,19.4,42.4,19.06,22.18,22.24,22.24,22.25,0.31,0,0,3.64,15.4,53.9,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20220116,171822,22092,2.74,2.90,2.90,2.90,19.4,42.4,18.75,21.82,21.87,21.88,21.89,0.32,0,0,3.64,15.4,53.8,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20220116,171823,23169,2.69,2.85,2.85,2.85,19.4,42.7,18.41,21.43,21.48,21.49,21.49,0.32,0,0,3.64,15.4,54.3,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20220116,171824,24239,2.66,2.81,2.81,2.81,19.5,42.7,18.20,21.18,21.23,21.24,21.24,0.33,0,0,3.64,15.5,54.3,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20220116,171825,25309,2.62,2.77,2.77,2.77,19.4,42.5,17.90,20.83,20.88,20.89,20.89,0.32,0,0,3.64,15.4,54.0,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20220116,171826,26386,2.55,2.70,2.70,2.70,19.5,42.2,17.47,20.34,20.39,20.39,20.40,0.32,0,0,3.64,15.5,53.6,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20220116,171827,27456,2.49,2.63,2.63,2.63,19.5,41.9,17.01,19.79,19.84,19.85,19.85,0.32,0,0,3.64,15.5,53.3,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20220116,171828,28527,2.43,2.57,2.57,2.57,19.5,41.6,16.61,19.33,19.38,19.38,19.39,0.33,0,0,3.64,15.5,52.9,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20220116,171829,29598,2.36,2.50,2.50,2.50,19.5,41.3,16.17,18.82,18.86,18.87,18.87,0.33,0,0,3.64,15.5,52.4,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20220116,171830,30665,2.26,2.40,2.40,2.40,19.5,41.1,15.49,18.03,18.08,18.08,18.08,0.35,0,0,3.64,15.5,52.2,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20220116,171831,31736,2.23,2.36,2.36,2.36,19.5,40.8,15.24,17.74,17.78,17.79,17.79,0.36,0,0,3.64,15.5,51.8,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20220116,171832,32808,2.18,2.30,2.30,2.30,19.5,40.6,14.88,17.32,17.36,17.37,17.37,0.36,0,0,3.63,15.5,51.5,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20220116,171833,33880,2.13,2.25,2.25,2.25,19.5,40.4,14.54,16.93,16.97,16.97,16.98,0.36,0,0,3.64,15.5,51.3,5A1
17,0.000000,0.000000,0,-1.0,0.0,0,20220116,171835,34947,2.09,2.21,2.21,2.21,19.6,40.3,14.27,16.61,16.65,16.66,16.66,0.36,0,0,3.64,15.6,51.1,5A1
18,0.000000,0.000000,0,-1.0,0.0,0,20220116,171836,36017,2.05,2.17,2.17,2.17,19.6,40.1,14.01,16.31,16.35,16.35,16.36,0.37,0,0,3.63,15.6,50.9,5A1
19,0.000000,0.000000,0,-1.0,0.0,0,20220116,171837,37087,2.01,2.13,2.13,2.13,19.6,39.9,13.76,16.01,16.05,16.06,16.06,0.36,0,0,3.63,15.6,50.7,5A1
20,0.000000,0.000000,0,-1.0,0.0,0,20220116,171838,38164,1.97,2.08,2.08,2.08,19.6,39.9,13.47,15.67,15.71,15.72,15.72,0.36,0,0,3.63,15.6,50.6,5A1
21,0.000000,0.000000,0,-1.0,0.0,0,20220116,171839,39234,1.94,2.05,2.05,2.05,19.7,40.0,13.25,15.42,15.45,15.46,15.46,0.37,0,0,3.63,15.7,50.7,5A1
22,0.000000,0.000000,0,-1.0,0.0,0,20220116,171840,40304,1.91,2.01,2.01,2.01,19.7,40.0,13.03,15.17,15.21,15.21,15.21,0.37,0,0,3.63,15.7,50.8,5A1
23,0.000000,0.000000,0,-1.0,0.0,0,20220116,171841,41374,1.87,1.98,1.98,1.98,19.7,40.2,12.78,14.88,14.91,14.92,14.92,0.37,0,0,3.63,15.7,51.0,5A1
24,0.000000,0.000000,0,-1.0,0.0,0,20220116,171842,42451,1.84,1.95,1.95,1.95,19.8,40.3,12.60,14.66,14.70,14.70,14.71,0.36,0,0,3.63,15.8,51.1,5A1
25,0.000000,0.000000,0,-1.0,0.0,0,20220116,171843,43522,1.81,1.91,1.91,1.91,19.7,40.2,12.38,14.40,14.44,14.44,14.45,0.36,0,0,3.63,15.7,51.1,5A1
26,0.000000,0.000000,0,-1.0,0.0,0,20220116,171844,44592,1.78,1.88,1.88,1.88,19.7,40.3,12.17,14.16,14.20,14.20,14.21,0.35,0,0,3.64,15.7,51.2,5A1
27,0.000000,0.000000,0,-1.0,0.0,0,20220116,171845,45669,1.71,1.80,1.80,1.80,19.8,40.6,11.67,13.58,13.62,13.62,13.62,0.35,0,0,3.63,15.8,51.5,5A1
