STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220116,172320,16681,3.92,17.94,29.11,31.34,19.1,44.3,0.00,15.87,30.37,32.89,33.31,1.63,0,0,3.64,15.1,56.3,286
1,0.000000,0.000000,0,-1.0,0.0,0,20220116,172321,17750,0.59,3.70,6.18,6.68,19.1,45.2,0.00,1.28,4.50,5.06,5.16,1.63,0,0,3.64,15.1,57.4,286
2,0.000000,0.000000,0,-1.0,0.0,0,20220116,172322,18817,0.71,2.48,3.89,4.17,19.1,45.8,0.71,3.70,5.53,5.85,5.91,1.03,0,0,3.64,15.1,58.2,286
3,0.000000,0.000000,0,-1.0,0.0,0,20220116,172323,19887,0.76,2.21,3.36,3.59,19.1,46.3,1.82,4.46,5.95,6.21,6.26,1.11,0,0,3.64,15.1,58.9,286
4,0.000000,0.000000,0,-1.0,0.0,0,20220116,172324,20957,0.83,1.75,2.45,2.59,19.2,46.6,3.63,5.64,6.57,6.73,6.75,0.80,0,0,3.64,15.2,59.2,286
5,0.000000,0.000000,0,-1.0,0.0,0,20220116,172326,22027,0.87,1.71,2.35,2.48,19.1,46.5,4.12,6.08,6.93,7.07,7.10,0.87,0,0,3.64,15.1,59.0,286
6,0.000000,0.000000,0,-1.0,0.0,0,20220116,172327,23104,0.89,1.88,2.63,2.78,19.2,46.1,3.90,6.07,7.06,7.23,7.26,0.91,0,0,3.64,15.2,58.5,286
7,0.000000,0.000000,0,-1.0,0.0,0,20220116,172328,24174,0.92,1.96,2.75,2.91,19.2,46.0,3.97,6.23,7.28,7.46,7.49,0.96,0,0,3.64,15.2,58.4,286
8,0.000000,0.000000,0,-1.0,0.0,0,20220116,172329,25243,0.97,1.79,2.41,2.53,19.3,45.8,4.85,6.88,7.70,7.84,7.86,0.83,0,0,3.64,15.3,58.2,286
9,0.000000,0.000000,0,-1.0,0.0,0,20220116,172330,26312,1.02,1.70,2.21,2.31,19.2,45.8,5.55,7.45,8.13,8.24,8.26,0.80,0,0,3.64,15.2,58.1,286
10,0.000000,0.000000,0,-1.0,0.0,0,20220116,172331,27388,1.08,1.61,1.98,2.06,19.2,45.6,6.35,8.11,8.62,8.71,8.72,0.68,0,0,3.64,15.2,57.9,286
11,0.000000,0.000000,0,-1.0,0.0,0,20220116,172332,28458,1.13,1.63,1.98,2.05,19.3,45.2,6.74,8.52,9.00,9.08,9.09,0.70,0,0,3.63,15.3,57.4,286
12,0.000000,0.000000,0,-1.0,0.0,0,20220116,172333,29528,1.17,1.66,2.00,2.07,19.2,44.8,7.05,8.86,9.33,9.41,9.43,0.69,0,0,3.64,15.2,56.9,286
13,0.000000,0.000000,0,-1.0,0.0,0,20220116,172334,30605,1.21,1.66,1.96,2.02,19.3,44.5,7.47,9.26,9.67,9.74,9.76,0.70,0,0,3.64,15.3,56.5,286
14,0.000000,0.000000,0,-1.0,0.0,0,20220116,172335,31675,1.28,1.74,2.05,2.11,19.3,44.0,7.88,9.76,10.19,10.26,10.28,0.71,0,0,3.64,15.3,55.9,286
15,0.000000,0.000000,0,-1.0,0.0,0,20220116,172336,32749,1.29,1.76,2.08,2.14,19.3,43.6,7.95,9.85,10.29,10.37,10.38,0.71,0,0,3.64,15.3,55.3,286
16,0.000000,0.000000,0,-1.0,0.0,0,20220116,172337,33823,1.29,1.76,2.07,2.14,19.3,43.2,7.94,9.84,10.27,10.35,10.36,0.71,0,0,3.63,15.3,54.8,286
17,0.000000,0.000000,0,-1.0,0.0,0,20220116,172339,34893,1.31,1.77,2.07,2.14,19.3,42.7,8.10,10.00,10.43,10.50,10.52,0.71,0,0,3.63,15.3,54.2,286
18,0.000000,0.000000,0,-1.0,0.0,0,20220116,172340,35968,1.35,1.74,1.99,2.04,19.3,42.3,8.54,10.40,10.76,10.82,10.83,0.66,0,0,3.63,15.3,53.7,286
19,0.000000,0.000000,0,-1.0,0.0,0,20220116,172341,37043,1.38,1.75,1.99,2.04,19.3,41.9,8.75,10.62,10.96,11.02,11.03,0.65,0,0,3.63,15.3,53.2,286
20,0.000000,0.000000,0,-1.0,0.0,0,20220116,172342,38118,1.39,1.82,2.10,2.16,19.3,41.5,8.75,10.70,11.09,11.16,11.17,0.66,0,0,3.63,15.3,52.7,286
21,0.000000,0.000000,0,-1.0,0.0,0,20220116,172343,39189,1.41,1.86,2.16,2.22,19.4,41.3,8.82,10.82,11.24,11.31,11.32,0.68,0,0,3.63,15.4,52.5,286
22,0.000000,0.000000,0,-1.0,0.0,0,20220116,172344,40264,1.45,1.88,2.16,2.22,19.4,41.2,9.13,11.14,11.54,11.61,11.62,0.65,0,0,3.63,15.4,52.3,286
23,0.000000,0.000000,0,-1.0,0.0,0,20220116,172345,41339,1.47,1.89,2.16,2.22,19.4,41.3,9.32,11.34,11.73,11.79,11.80,0.65,0,0,3.63,15.4,52.4,286
24,0.000000,0.000000,0,-1.0,0.0,0,20220116,172346,42409,1.48,1.90,2.17,2.22,19.4,41.6,9.34,11.37,11.75,11.82,11.83,0.65,0,0,3.64,15.4,52.8,286
25,0.000000,0.000000,0,-1.0,0.0,0,20220116,172347,43484,1.47,1.87,2.13,2.18,19.4,41.8,9.37,11.37,11.73,11.80,11.81,0.64,0,0,3.63,15.4,53.0,286
26,0.000000,0.000000,0,-1.0,0.0,0,20220116,172348,44559,1.47,1.84,2.07,2.12,19.4,41.7,9.46,11.42,11.75,11.80,11.81,0.62,0,0,3.63,15.4,53.0,286
27,0.000000,0.000000,0,-1.0,0.0,0,20220116,172349,45634,1.49,1.82,2.03,2.07,19.4,41.8,9.63,11.55,11.85,11.90,11.91,0.61,0,0,3.63,15.4,53.1,286
