STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220116,172256,16702,2.55,2.69,2.69,2.69,19.3,42.9,17.53,20.27,20.33,20.34,20.34,0.35,0,0,3.63,15.3,54.5,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20220116,172257,17773,2.55,2.69,2.69,2.69,19.3,43.1,17.53,20.27,20.33,20.34,20.34,0.53,0,0,3.64,15.3,54.8,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20220116,172258,18840,2.54,2.68,2.68,2.68,19.3,43.2,17.44,20.17,20.23,20.24,20.24,0.54,0,0,3.63,15.3,54.8,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20220116,172259,19910,2.51,2.65,2.65,2.65,19.3,42.9,17.24,19.94,20.00,20.00,20.01,0.47,0,0,3.63,15.3,54.5,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20220116,172300,20980,2.46,2.60,2.60,2.60,19.3,42.5,16.95,19.60,19.66,19.67,19.67,0.43,0,0,3.63,15.3,54.0,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20220116,172301,22050,2.42,2.56,2.56,2.56,19.3,42.2,16.67,19.29,19.34,19.35,19.35,0.46,0,0,3.63,15.3,53.6,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20220116,172303,23126,2.41,2.55,2.55,2.55,19.4,41.9,16.59,19.19,19.25,19.25,19.26,0.48,0,0,3.63,15.4,53.2,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20220116,172304,24195,2.38,2.52,2.52,2.52,19.4,41.8,16.40,18.97,19.03,19.03,19.04,0.46,0,0,3.63,15.4,53.1,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20220116,172305,25264,2.35,2.49,2.49,2.49,19.4,41.6,16.17,18.71,18.76,18.77,18.77,0.43,0,0,3.63,15.4,52.8,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20220116,172306,26340,2.33,2.46,2.46,2.46,19.4,41.4,16.00,18.51,18.56,18.57,18.57,0.47,0,0,3.63,15.4,52.6,1ED
10,0.000000,0.000000,0,-1.0,0.0,0,20220116,172307,27409,2.30,2.43,2.43,2.43,19.4,41.2,15.83,18.31,18.37,18.37,18.38,0.43,0,0,3.63,15.4,52.3,1ED
11,0.000000,0.000000,0,-1.0,0.0,0,20220116,172308,28479,2.26,2.40,2.40,2.40,19.4,41.0,15.58,18.02,18.08,18.08,18.09,0.44,0,0,3.63,15.4,52.1,1ED
12,0.000000,0.000000,0,-1.0,0.0,0,20220116,172309,29549,2.22,2.35,2.35,2.35,19.5,40.9,15.27,17.66,17.71,17.72,17.72,0.44,0,0,3.63,15.5,51.9,1ED
13,0.000000,0.000000,0,-1.0,0.0,0,20220116,172310,30616,2.17,2.29,2.29,2.29,19.5,40.7,14.90,17.24,17.29,17.29,17.30,0.43,0,0,3.63,15.5,51.6,1ED
14,0.000000,0.000000,0,-1.0,0.0,0,20220116,172311,31687,2.06,2.18,2.18,2.18,19.4,40.5,14.16,16.39,16.43,16.44,16.44,0.46,0,0,3.63,15.4,51.5,1ED
15,0.000000,0.000000,0,-1.0,0.0,0,20220116,172312,32757,2.01,2.13,2.13,2.13,19.5,40.4,13.84,16.01,16.05,16.06,16.06,0.48,0,0,3.63,15.5,51.3,1ED
16,0.000000,0.000000,0,-1.0,0.0,0,20220116,172313,33827,1.97,2.08,2.08,2.08,19.5,40.3,13.52,15.64,15.69,15.69,15.69,0.48,0,0,3.63,15.5,51.1,1ED
17,0.000000,0.000000,0,-1.0,0.0,0,20220116,172314,34903,1.93,2.04,2.04,2.04,19.5,40.2,13.26,15.34,15.39,15.39,15.39,0.49,0,0,3.63,15.5,51.0,1ED
18,0.000000,0.000000,0,-1.0,0.0,0,20220116,172316,35974,1.88,1.99,1.99,1.99,19.5,40.1,12.96,14.99,15.04,15.04,15.05,0.50,0,0,3.63,15.5,50.9,1ED
19,0.000000,0.000000,0,-1.0,0.0,0,20220116,172317,37044,1.83,1.94,1.94,1.94,19.5,40.0,12.59,14.56,14.61,14.61,14.61,0.50,0,0,3.63,15.5,50.8,1ED
20,0.000000,0.000000,0,-1.0,0.0,0,20220116,172318,38121,1.79,1.90,1.90,1.90,19.6,40.0,12.34,14.27,14.31,14.32,14.32,0.50,0,0,3.63,15.6,50.7,1ED
21,0.000000,0.000000,0,-1.0,0.0,0,20220116,171808,39191,1.76,1.86,1.86,1.86,19.6,40.0,12.10,14.00,14.04,14.04,14.04,0.50,0,0,3.63,15.6,50.8,1ED
22,0.000000,0.000000,0,-1.0,0.0,0,20220116,171809,40262,1.72,1.82,1.82,1.82,19.6,40.3,11.83,13.68,13.72,13.73,13.73,0.51,0,0,3.63,15.6,51.2,1ED
23,0.000000,0.000000,0,-1.0,0.0,0,20220116,171809,41332,1.72,1.82,1.82,1.82,19.6,40.5,11.84,13.70,13.74,13.74,13.74,0.51,0,0,3.63,15.6,51.5,1ED
24,0.000000,0.000000,0,-1.0,0.0,0,20220116,171810,42409,1.72,1.82,1.82,1.82,19.6,40.8,11.82,13.67,13.71,13.72,13.72,0.51,0,0,3.63,15.6,51.8,1ED
25,0.000000,0.000000,0,-1.0,0.0,0,20220116,171812,43479,1.71,1.81,1.81,1.81,19.6,41.0,11.77,13.62,13.66,13.66,13.66,0.51,0,0,3.62,15.6,52.1,1ED
26,0.000000,0.000000,0,-1.0,0.0,0,20220116,171813,44549,1.70,1.80,1.80,1.80,19.6,41.1,11.70,13.54,13.58,13.58,13.58,0.52,0,0,3.63,15.6,52.2,1ED
27,0.000000,0.000000,0,-1.0,0.0,0,20220116,171813,45626,1.69,1.79,1.79,1.79,19.7,41.1,11.62,13.44,13.48,13.48,13.49,0.52,0,0,3.63,15.7,52.2,1ED
28,0.000000,0.000000,0,-1.0,0.0,0,20220116,171814,46696,1.69,1.79,1.79,1.79,19.7,40.9,11.65,13.48,13.52,13.52,13.52,0.52,0,0,3.63,15.7,51.9,1ED
29,0.000000,0.000000,0,-1.0,0.0,0,20220116,171816,47766,1.68,1.78,1.78,1.78,19.7,40.7,11.58,13.39,13.43,13.44,13.44,0.52,0,0,3.63,15.7,51.6,1ED
30,0.000000,0.000000,0,-1.0,0.0,0,20220116,171817,48836,1.66,1.76,1.76,1.76,19.7,40.4,11.45,13.24,13.28,13.28,13.29,0.53,0,0,3.63,15.7,51.3,1ED
31,0.000000,0.000000,0,-1.0,0.0,0,20220116,171818,49913,1.66,1.75,1.75,1.75,19.7,40.3,11.40,13.19,13.23,13.23,13.23,0.54,0,0,3.63,15.7,51.1,1ED
32,0.000000,0.000000,0,-1.0,0.0,0,20220116,171819,50983,1.71,2.01,2.18,2.21,19.7,40.1,11.24,13.35,13.60,13.64,13.65,0.56,0,0,3.62,15.7,50.9,1ED
33,0.000000,0.000000,0,-1.0,0.0,0,20220116,171821,52054,1.72,2.03,2.21,2.24,19.8,40.1,11.34,13.47,13.73,13.78,13.78,0.58,0,0,3.62,15.8,50.9,1ED
34,0.000000,0.000000,0,-1.0,0.0,0,20220116,171822,53121,1.72,2.03,2.20,2.24,19.8,40.2,11.36,13.49,13.75,13.79,13.80,0.57,0,0,3.62,15.8,51.1,1ED
35,0.000000,0.000000,0,-1.0,0.0,0,20220116,171823,54191,1.72,2.00,2.14,2.17,19.7,40.2,11.43,13.51,13.74,13.77,13.78,0.57,0,0,3.62,15.7,51.0,1ED
36,0.000000,0.000000,0,-1.0,0.0,0,20220116,171824,55261,1.73,2.01,2.16,2.19,19.8,40.1,11.50,13.61,13.83,13.87,13.88,0.58,0,0,3.62,15.8,50.9,1ED
37,0.000000,0.000000,0,-1.0,0.0,0,20220116,171825,56331,1.76,2.05,2.20,2.23,19.8,40.0,11.66,13.80,14.04,14.08,14.09,0.57,0,0,3.62,15.8,50.7,1ED
38,0.000000,0.000000,0,-1.0,0.0,0,20220116,171825,57408,1.78,2.07,2.22,2.25,19.8,39.9,11.81,13.97,14.20,14.24,14.25,0.57,0,0,3.62,15.8,50.6,1ED
39,0.000000,0.000000,0,-1.0,0.0,0,20220116,171827,58478,1.79,2.08,2.23,2.26,19.8,39.8,11.90,14.07,14.30,14.34,14.35,0.56,0,0,3.62,15.8,50.5,1ED
40,0.000000,0.000000,0,-1.0,0.0,0,20220116,171828,59548,1.79,2.07,2.21,2.24,19.8,39.7,11.90,14.06,14.29,14.32,14.33,0.56,0,0,3.62,15.8,50.3,1ED
41,0.000000,0.000000,0,-1.0,0.0,0,20220116,171829,60625,1.79,2.06,2.19,2.22,19.9,39.5,11.90,14.04,14.25,14.29,14.30,0.57,0,0,3.62,15.9,50.2,1ED
42,0.000000,0.000000,0,-1.0,0.0,0,20220116,171830,61695,1.76,1.86,1.86,1.86,19.9,39.4,12.10,14.00,14.04,14.04,14.04,0.56,0,0,3.62,15.9,50.0,1ED
