STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20220116,172439,16770,3.95,12.01,18.35,19.62,19.4,46.9,7.97,22.48,31.01,32.52,32.77,1.22,0,0,3.66,15.4,59.6,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20220116,172441,17844,1.63,5.56,8.67,9.29,19.4,46.1,1.81,8.59,12.76,13.50,13.62,1.63,0,0,3.66,15.4,58.5,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20220116,172442,18920,1.47,3.22,4.58,4.85,19.4,45.2,6.00,9.78,11.61,11.93,11.99,1.03,0,0,3.66,15.4,57.4,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20220116,172443,19987,1.41,2.19,2.76,2.87,19.5,44.6,7.95,10.40,11.19,11.32,11.35,0.71,0,0,3.66,15.5,56.6,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20220116,172444,21055,1.40,2.18,2.74,2.86,19.5,44.3,7.91,10.35,11.13,11.26,11.29,0.71,0,0,3.66,15.5,56.3,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20220116,172444,22123,1.39,2.14,2.68,2.78,19.5,44.2,7.94,10.32,11.07,11.20,11.22,0.69,0,0,3.66,15.5,56.1,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20220116,172446,23198,1.37,1.94,2.33,2.41,19.5,43.8,8.21,10.33,10.89,10.98,11.00,0.70,0,0,3.66,15.5,55.7,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20220116,172447,24266,1.35,1.90,2.29,2.37,19.5,43.4,8.07,10.16,10.70,10.80,10.82,0.70,0,0,3.66,15.5,55.1,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20220116,172448,25334,1.32,1.74,2.02,2.08,19.5,43.0,8.21,10.09,10.50,10.57,10.58,0.58,0,0,3.66,15.5,54.6,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20220116,172449,26410,1.31,1.79,2.11,2.18,19.5,42.6,8.06,10.01,10.47,10.55,10.56,0.68,0,0,3.66,15.5,54.1,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20220116,172450,27479,1.32,1.89,2.29,2.37,19.5,42.2,7.84,9.92,10.48,10.57,10.59,0.73,0,0,3.66,15.5,53.6,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20220116,172451,28548,1.30,1.81,2.15,2.22,19.5,41.8,7.89,9.87,10.36,10.45,10.46,0.69,0,0,3.66,15.5,53.1,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20220116,172452,29617,1.29,1.71,1.99,2.05,19.5,41.5,8.01,9.86,10.26,10.33,10.35,0.62,0,0,3.66,15.5,52.7,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20220116,172453,30692,1.27,1.65,1.90,1.95,19.5,41.2,7.94,9.72,10.08,10.14,10.16,0.58,0,0,3.66,15.5,52.3,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20220116,172454,31760,1.25,1.59,1.80,1.84,19.6,40.9,7.94,9.65,9.96,10.01,10.02,0.59,0,0,3.66,15.6,51.9,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20220116,172455,32827,1.27,1.60,1.81,1.86,19.6,40.7,8.07,9.80,10.10,10.16,10.17,0.56,0,0,3.66,15.6,51.6,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20220116,172456,33895,1.27,1.35,1.35,1.35,19.6,40.5,8.74,10.13,10.15,10.15,10.16,0.55,0,0,3.66,15.6,51.4,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20220116,172457,34971,1.31,1.61,1.80,1.83,19.6,40.3,8.42,10.15,10.42,10.47,10.48,0.59,0,0,3.66,15.6,51.2,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20220116,172459,36040,1.33,1.65,1.86,1.90,19.6,40.1,8.49,10.26,10.56,10.61,10.62,0.60,0,0,3.66,15.6,50.9,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20220116,172500,37109,1.33,1.66,1.86,1.90,19.6,40.0,8.54,10.32,10.61,10.67,10.67,0.61,0,0,3.66,15.6,50.8,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20220116,172501,38185,1.33,1.62,1.80,1.84,19.7,40.1,8.60,10.33,10.59,10.64,10.64,0.61,0,0,3.66,15.7,50.8,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20220116,172502,39254,1.34,1.65,1.85,1.89,19.6,40.2,8.60,10.37,10.65,10.70,10.71,0.62,0,0,3.66,15.6,51.0,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20220116,172503,40323,1.38,1.68,1.86,1.90,19.7,40.6,8.90,10.69,10.96,11.01,11.02,0.62,0,0,3.66,15.7,51.5,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20220116,172504,41392,1.42,1.69,1.85,1.88,19.7,40.9,9.27,11.07,11.31,11.35,11.36,0.61,0,0,3.66,15.7,51.9,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20220116,172505,42468,1.44,1.72,1.88,1.91,19.7,41.2,9.43,11.25,11.49,11.53,11.54,0.61,0,0,3.65,15.7,52.3,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20220116,171813,43537,1.46,1.72,1.86,1.89,19.7,41.2,9.64,11.46,11.68,11.71,11.72,0.59,0,0,3.66,15.7,52.3,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20220116,171815,44606,1.48,1.75,1.89,1.92,19.8,41.0,9.76,11.61,11.83,11.87,11.88,0.59,0,0,3.66,15.8,52.1,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20220116,171816,45682,1.51,1.76,1.89,1.92,19.8,40.8,10.00,11.86,12.07,12.11,12.11,0.58,0,0,3.66,15.8,51.8,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20220116,171817,46752,1.53,1.77,1.90,1.93,19.8,40.6,10.09,11.96,12.17,12.20,12.21,0.58,0,0,3.65,15.8,51.5,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20220116,171817,47822,1.54,1.62,1.62,1.62,19.8,40.5,10.56,12.23,12.26,12.26,12.27,0.55,0,0,3.66,15.8,51.4,31A
30,0.000000,0.000000,0,-1.0,0.0,0,20220116,171818,48892,1.55,1.63,1.63,1.63,19.8,40.5,10.62,12.30,12.33,12.34,12.34,0.55,0,0,3.66,15.8,51.4,31A
31,0.000000,0.000000,0,-1.0,0.0,0,20220116,171820,49969,1.55,1.64,1.64,1.64,19.8,40.5,10.66,12.35,12.38,12.38,12.38,0.55,0,0,3.65,15.8,51.4,31A
32,0.000000,0.000000,0,-1.0,0.0,0,20220116,171821,51039,1.57,1.66,1.66,1.66,19.8,40.5,10.77,12.48,12.51,12.51,12.51,0.55,0,0,3.66,15.8,51.4,31A
33,0.000000,0.000000,0,-1.0,0.0,0,20220116,171822,52109,1.57,1.66,1.66,1.66,19.9,40.5,10.80,12.51,12.54,12.54,12.55,0.55,0,0,3.66,15.9,51.3,31A
34,0.000000,0.000000,0,-1.0,0.0,0,20220116,171824,53179,1.58,1.67,1.67,1.67,19.9,40.3,10.85,12.57,12.60,12.61,12.61,0.55,0,0,3.66,15.9,51.2,31A
35,0.000000,0.000000,0,-1.0,0.0,0,20220116,171825,54256,1.59,1.68,1.68,1.68,19.9,40.2,10.93,12.66,12.69,12.69,12.70,0.55,0,0,3.65,15.9,51.0,31A
36,0.000000,0.000000,0,-1.0,0.0,0,20220116,171825,55326,1.60,1.69,1.69,1.69,19.8,40.0,10.97,12.71,12.74,12.75,12.75,0.56,0,0,3.66,15.8,50.8,31A
37,0.000000,0.000000,0,-1.0,0.0,0,20220116,171826,56396,1.62,1.85,1.97,1.99,19.9,39.8,10.81,12.76,12.94,12.98,12.98,0.57,0,0,3.65,15.9,50.5,31A
38,0.000000,0.000000,0,-1.0,0.0,0,20220116,171828,57473,1.63,1.85,1.96,1.98,19.9,39.7,10.86,12.80,12.97,13.00,13.01,0.57,0,0,3.66,15.9,50.3,31A
39,0.000000,0.000000,0,-1.0,0.0,0,20220116,171829,58543,1.62,1.84,1.95,1.97,19.9,39.5,10.82,12.75,12.92,12.95,12.96,0.56,0,0,3.65,15.9,50.1,31A
40,0.000000,0.000000,0,-1.0,0.0,0,20220116,171830,59613,1.61,1.82,1.92,1.94,19.9,39.4,10.74,12.64,12.80,12.83,12.84,0.56,0,0,3.65,15.9,49.9,31A
41,0.000000,0.000000,0,-1.0,0.0,0,20220116,171830,60683,1.65,1.84,1.92,1.94,19.9,39.2,11.06,12.98,13.13,13.15,13.15,0.56,0,0,3.66,15.9,49.7,31A
42,0.000000,0.000000,0,-1.0,0.0,0,20220116,171831,61760,1.69,1.89,1.97,1.98,20.0,39.0,11.39,13.36,13.50,13.52,13.53,0.56,0,0,3.65,16.0,49.4,31A
43,0.000000,0.000000,0,-1.0,0.0,0,20220116,171833,62830,1.75,1.93,2.00,2.02,20.0,38.7,11.79,13.81,13.94,13.96,13.96,0.57,0,0,3.65,16.0,49.1,31A
44,0.000000,0.000000,0,-1.0,0.0,0,20220116,171834,63900,1.79,1.98,2.04,2.06,20.0,38.6,12.08,14.14,14.26,14.28,14.29,0.56,0,0,3.65,16.0,49.0,31A
