STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211029,061826,16734,15.61,27.78,36.91,38.73,17.4,62.8,80.34,111.69,123.83,125.92,126.28,1.03,0,0,4.61,13.4,80.0,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211029,061827,17806,13.32,47.22,74.03,79.40,17.4,62.9,12.22,69.25,104.15,110.21,111.23,1.63,0,0,4.61,13.4,80.2,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211029,061828,18873,13.45,32.96,48.12,51.15,17.4,63.1,47.65,86.28,106.15,109.58,110.17,1.25,0,0,4.61,13.4,80.4,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211029,061829,19942,13.58,30.22,43.06,45.63,17.4,63.2,55.37,90.44,107.32,110.24,110.74,1.18,0,0,4.61,13.4,80.6,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211029,061830,21011,13.61,28.28,39.51,41.76,17.5,63.4,60.38,92.93,107.74,110.30,110.74,1.10,0,0,4.61,13.5,80.7,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211029,061832,22080,13.72,26.61,36.41,38.37,17.5,63.4,65.37,95.76,108.72,110.95,111.34,1.01,0,0,4.61,13.5,80.8,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211029,061833,23156,13.82,26.33,35.81,37.71,17.5,63.5,67.00,96.99,109.54,111.71,112.08,0.98,0,0,4.61,13.5,80.9,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211029,061834,24224,13.91,26.16,35.43,37.28,17.5,63.5,68.26,98.01,110.29,112.40,112.77,0.98,0,0,4.61,13.5,80.9,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211029,061835,25292,14.02,25.47,34.09,35.81,17.5,63.6,70.91,99.73,111.18,113.15,113.49,0.97,0,0,4.61,13.5,81.0,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211029,061836,26367,14.08,25.98,34.96,36.76,17.6,63.6,70.28,99.75,111.66,113.72,114.07,0.98,0,0,4.61,13.6,81.0,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211029,061837,27435,14.15,25.79,34.56,36.31,17.5,63.5,71.36,100.57,112.21,114.21,114.56,0.97,0,0,4.61,13.5,80.9,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211029,061838,28505,14.23,25.89,34.66,36.42,17.6,63.5,71.93,101.23,112.88,114.89,115.23,0.96,0,0,4.61,13.6,80.9,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211029,061839,29582,14.39,25.60,34.01,35.69,17.6,63.5,74.10,103.00,114.18,116.10,116.44,0.94,0,0,4.61,13.6,80.8,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211029,061840,30653,14.59,25.57,33.79,35.43,17.6,63.4,76.02,104.82,115.75,117.63,117.96,0.93,0,0,4.61,13.6,80.8,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211029,061841,31724,14.89,25.83,34.00,35.64,17.6,63.4,78.22,107.27,118.15,120.03,120.35,0.93,0,0,4.61,13.6,80.8,2E4
