STM32_v0.2,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211029,061923,16797,10.72,14.80,17.60,18.17,15.7,57.8,65.22,81.40,85.33,86.02,86.15,0.79,0,0,3.62,11.7,73.9,1D6
1,0.000000,0.000000,0,-1.0,0.0,0,20211029,061924,17868,16.16,25.13,31.64,32.94,15.7,57.7,91.43,119.52,128.47,130.05,130.33,0.83,0,0,3.62,11.7,73.8,1D6
2,0.000000,0.000000,0,-1.0,0.0,0,20211029,061925,18939,15.80,22.87,27.86,28.85,15.7,57.6,93.57,118.80,125.72,126.95,127.16,0.77,0,0,3.62,11.7,73.6,1D6
3,0.000000,0.000000,0,-1.0,0.0,0,20211029,061926,20013,15.61,22.12,26.67,27.58,15.7,57.5,93.53,117.84,124.18,125.30,125.50,0.76,0,0,3.62,11.7,73.5,1D6
4,0.000000,0.000000,0,-1.0,0.0,0,20211029,061927,21086,15.23,20.41,23.90,24.60,15.7,57.4,94.11,116.30,121.23,122.10,122.25,0.74,0,0,3.62,11.7,73.4,1D6
5,0.000000,0.000000,0,-1.0,0.0,0,20211029,061928,22159,14.93,19.52,22.54,23.15,15.7,57.3,93.49,114.61,118.91,119.66,119.80,0.72,0,0,3.61,11.7,73.3,1D6
6,0.000000,0.000000,0,-1.0,0.0,0,20211029,061932,23228,14.62,18.80,21.51,22.05,15.7,57.2,92.34,112.60,116.48,117.16,117.28,0.71,0,0,3.61,11.7,73.2,1D6
7,0.000000,0.000000,0,-1.0,0.0,0,20211029,061933,24301,14.29,17.61,19.62,20.03,15.7,57.2,92.15,110.95,113.91,114.42,114.51,0.67,0,0,3.62,11.7,73.1,1D6
8,0.000000,0.000000,0,-1.0,0.0,0,20211029,061934,25374,14.06,17.20,19.09,19.46,15.7,57.2,90.94,109.28,112.06,112.54,112.63,0.66,0,0,3.62,11.7,73.1,1D6
9,0.000000,0.000000,0,-1.0,0.0,0,20211029,061935,26443,13.76,16.12,17.38,17.63,15.7,57.2,90.77,107.78,109.73,110.06,110.13,0.63,0,0,3.62,11.7,73.1,1D6
10,0.000000,0.000000,0,-1.0,0.0,0,20211029,061936,27516,13.54,15.60,16.64,16.85,15.7,57.2,89.89,106.30,107.95,108.23,108.29,0.62,0,0,3.62,11.7,73.2,1D6
11,0.000000,0.000000,0,-1.0,0.0,0,20211029,061937,28590,13.33,15.22,16.14,16.32,15.6,57.2,88.82,104.80,106.28,106.52,106.58,0.61,0,0,3.61,11.6,73.2,1D6
12,0.000000,0.000000,0,-1.0,0.0,0,20211029,061938,29660,13.09,14.85,15.66,15.83,15.6,57.2,87.54,103.09,104.43,104.65,104.70,0.60,0,0,3.62,11.6,73.2,1D6
13,0.000000,0.000000,0,-1.0,0.0,0,20211029,061939,30734,12.78,14.44,15.20,15.35,15.6,57.2,85.54,100.65,101.91,102.12,102.16,0.59,0,0,3.62,11.6,73.2,1D6
14,0.000000,0.000000,0,-1.0,0.0,0,20211029,061940,31808,12.64,14.18,14.84,14.97,15.6,57.3,84.85,99.67,100.80,100.98,101.02,0.59,0,0,3.61,11.6,73.3,1D6
15,0.000000,0.000000,0,-1.0,0.0,0,20211029,061941,32881,12.54,14.09,14.76,14.89,15.6,57.3,84.16,98.88,100.02,100.21,100.25,0.59,0,0,3.61,11.6,73.3,1D6
16,0.000000,0.000000,0,-1.0,0.0,0,20211029,061942,33951,12.48,13.93,14.52,14.63,15.6,57.3,84.02,98.55,99.58,99.74,99.78,0.58,0,0,3.61,11.6,73.3,1D6
17,0.000000,0.000000,0,-1.0,0.0,0,20211029,061943,35021,12.41,13.91,14.54,14.67,15.6,57.4,83.35,97.87,98.97,99.15,99.19,0.59,0,0,3.61,11.6,73.4,1D6
18,0.000000,0.000000,0,-1.0,0.0,0,20211029,061945,36091,12.35,13.71,14.24,14.35,15.6,57.4,83.28,97.56,98.51,98.67,98.70,0.58,0,0,3.61,11.6,73.4,1D6
19,0.000000,0.000000,0,-1.0,0.0,0,20211029,061946,37168,12.28,13.64,14.18,14.28,15.6,57.4,82.76,96.98,97.93,98.09,98.12,0.58,0,0,3.61,11.6,73.5,1D6
20,0.000000,0.000000,0,-1.0,0.0,0,20211029,061947,38238,12.22,13.57,14.10,14.21,15.6,57.5,82.39,96.53,97.47,97.62,97.66,0.58,0,0,3.61,11.6,73.5,1D6
21,0.000000,0.000000,0,-1.0,0.0,0,20211029,061948,39308,12.15,13.43,13.90,14.00,15.6,57.5,82.08,96.06,96.93,97.06,97.10,0.57,0,0,3.61,11.6,73.5,1D6
22,0.000000,0.000000,0,-1.0,0.0,0,20211029,061949,40378,12.06,13.29,13.73,13.82,15.6,57.5,81.58,95.40,96.22,96.35,96.38,0.57,0,0,3.61,11.6,73.6,1D6
