STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211214,122124,16729,1.68,6.29,9.94,10.67,20.3,33.8,0.49,8.20,13.10,13.97,14.11,1.63,0,0,3.71,16.3,42.9,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211214,122128,21728,3.85,10.58,15.85,16.90,20.3,33.6,10.57,23.24,30.34,31.60,31.80,0.88,0,0,3.71,16.3,42.6,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211214,122130,22800,3.65,7.69,10.78,11.40,20.3,33.5,15.71,24.67,28.88,29.62,29.74,0.62,0,0,3.71,16.3,42.5,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211214,122132,23873,3.57,6.95,9.52,10.03,20.3,33.5,16.77,24.80,28.30,28.91,29.02,0.66,0,0,3.71,16.3,42.5,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211214,122133,24945,3.51,6.83,9.35,9.86,20.4,33.5,16.48,24.36,27.80,28.41,28.51,0.66,0,0,3.71,16.4,42.4,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211214,122134,26016,3.42,6.66,9.12,9.62,20.4,33.4,16.08,23.77,27.12,27.71,27.81,0.66,0,0,3.71,16.4,42.4,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211214,122135,27083,3.36,6.97,9.74,10.30,20.4,33.4,14.71,22.83,26.59,27.25,27.36,0.72,0,0,3.71,16.4,42.3,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211214,122136,28155,3.24,6.59,9.14,9.65,20.4,33.4,14.56,22.21,25.68,26.29,26.39,0.73,0,0,3.71,16.4,42.3,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211214,122137,29226,3.10,5.86,7.94,8.36,20.4,33.4,14.99,21.72,24.57,25.07,25.15,0.73,0,0,3.71,16.4,42.3,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211214,122138,30293,2.97,5.24,6.95,7.29,20.4,33.3,15.23,21.21,23.54,23.95,24.02,0.76,0,0,3.71,16.4,42.2,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211214,122139,31363,2.85,5.04,6.68,7.01,20.4,33.3,14.65,20.39,22.64,23.03,23.10,0.76,0,0,3.71,16.4,42.2,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211214,122140,32435,2.73,4.83,6.40,6.72,20.4,33.3,14.03,19.53,21.68,22.06,22.12,0.76,0,0,3.71,16.4,42.1,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211214,122141,33507,2.60,4.40,5.73,5.99,20.4,33.3,13.83,18.81,20.64,20.96,21.02,0.77,0,0,3.71,16.4,42.2,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20211214,122141,34575,2.48,4.19,5.46,5.72,20.5,33.3,13.19,17.93,19.68,19.99,20.04,0.77,0,0,3.71,16.5,42.2,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20211214,122143,35647,2.24,3.77,4.90,5.12,20.5,33.3,12.00,16.26,17.82,18.09,18.13,0.78,0,0,3.71,16.5,42.2,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20211214,122144,36719,2.13,3.57,4.64,4.86,20.5,33.3,11.37,15.41,16.88,17.14,17.19,0.78,0,0,3.71,16.5,42.2,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211214,122145,37787,2.01,3.38,4.39,4.59,20.5,33.3,10.75,14.57,15.96,16.20,16.25,0.78,0,0,3.71,16.5,42.2,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211214,122146,38859,1.89,3.06,3.92,4.10,20.5,33.3,10.42,13.86,15.05,15.25,15.29,0.74,0,0,3.71,16.5,42.2,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211214,122147,39931,1.79,2.89,3.71,3.87,20.6,33.3,9.84,13.09,14.21,14.40,14.44,0.74,0,0,3.71,16.6,42.1,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211214,122148,41002,1.70,2.60,3.25,3.39,20.6,33.2,9.68,12.58,13.48,13.64,13.67,0.76,0,0,3.71,16.6,42.1,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20211214,122149,42069,1.61,2.40,2.97,3.08,20.5,33.1,9.39,12.05,12.84,12.98,13.00,0.73,0,0,3.71,16.5,42.0,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20211214,122151,43140,1.54,2.29,2.82,2.93,20.6,33.1,8.94,11.48,12.22,12.35,12.38,0.73,0,0,3.71,16.6,42.0,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20211214,122152,44211,1.47,2.08,2.51,2.60,20.6,33.1,8.76,11.06,11.66,11.77,11.78,0.67,0,0,3.71,16.6,41.9,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20211214,122153,45283,1.41,1.92,2.26,2.33,20.6,33.0,8.67,10.76,11.25,11.34,11.35,0.66,0,0,3.71,16.6,41.8,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20211214,122154,46360,1.36,1.85,2.18,2.25,20.6,33.0,8.36,10.38,10.85,10.93,10.94,0.66,0,0,3.71,16.6,41.8,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20211214,122154,47430,1.31,1.75,2.04,2.10,20.6,33.0,8.14,10.03,10.45,10.52,10.53,0.67,0,0,3.71,16.6,41.8,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20211214,122156,48500,1.26,1.68,1.96,2.01,20.6,32.9,7.81,9.64,10.04,10.11,10.12,0.67,0,0,3.71,16.6,41.7,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20211214,122157,49576,1.22,1.58,1.81,1.86,20.7,32.9,7.65,9.35,9.69,9.75,9.76,0.62,0,0,3.71,16.7,41.7,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20211214,122158,50653,1.14,1.50,1.73,1.78,20.7,32.9,7.16,8.78,9.12,9.18,9.19,0.60,0,0,3.71,16.7,41.6,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20211214,122159,51730,1.11,1.46,1.68,1.73,20.7,32.9,6.95,8.52,8.85,8.91,8.92,0.60,0,0,3.71,16.7,41.7,31A
30,0.000000,0.000000,0,-1.0,0.0,0,20211214,122200,52797,1.09,1.41,1.62,1.66,20.7,32.9,6.82,8.34,8.65,8.70,8.71,0.59,0,0,3.71,16.7,41.7,31A
31,0.000000,0.000000,0,-1.0,0.0,0,20211214,122201,53871,1.06,1.38,1.58,1.62,20.7,32.9,6.67,8.16,8.46,8.51,8.52,0.60,0,0,3.71,16.7,41.6,31A
32,0.000000,0.000000,0,-1.0,0.0,0,20211214,122202,54938,1.04,1.38,1.61,1.66,20.8,32.8,6.46,7.96,8.29,8.34,8.36,0.62,0,0,3.71,16.8,41.6,31A
33,0.000000,0.000000,0,-1.0,0.0,0,20211214,122203,56005,1.02,1.33,1.53,1.58,20.8,32.8,6.37,7.81,8.10,8.15,8.16,0.62,0,0,3.71,16.8,41.5,31A
34,0.000000,0.000000,0,-1.0,0.0,0,20211214,122204,57082,0.99,1.29,1.49,1.53,20.8,32.7,6.19,7.59,7.88,7.93,7.93,0.62,0,0,3.71,16.8,41.5,31A
35,0.000000,0.000000,0,-1.0,0.0,0,20211214,122205,58155,0.97,1.24,1.41,1.44,20.8,32.7,6.18,7.52,7.76,7.81,7.81,0.64,0,0,3.71,16.8,41.4,31A
36,0.000000,0.000000,0,-1.0,0.0,0,20211214,122206,59232,0.95,1.22,1.38,1.42,20.8,32.6,6.06,7.37,7.61,7.65,7.66,0.64,0,0,3.71,16.8,41.3,31A
37,0.000000,0.000000,0,-1.0,0.0,0,20211214,122207,60309,0.94,1.18,1.34,1.37,20.8,32.6,5.96,7.23,7.46,7.50,7.50,0.62,0,0,3.71,16.8,41.3,31A
38,0.000000,0.000000,0,-1.0,0.0,0,20211214,122209,61382,0.92,1.15,1.29,1.32,20.8,32.6,5.88,7.10,7.31,7.35,7.35,0.63,0,0,3.71,16.8,41.3,31A
39,0.000000,0.000000,0,-1.0,0.0,0,20211214,122210,62459,0.89,1.12,1.26,1.28,20.8,32.6,5.73,6.92,7.13,7.16,7.17,0.63,0,0,3.71,16.8,41.2,31A
40,0.000000,0.000000,0,-1.0,0.0,0,20211214,122211,63536,0.88,1.09,1.22,1.24,20.8,32.5,5.65,6.82,7.01,7.04,7.05,0.62,0,0,3.71,16.8,41.2,31A
41,0.000000,0.000000,0,-1.0,0.0,0,20211214,122212,64613,0.84,1.03,1.15,1.17,20.9,32.5,5.43,6.53,6.70,6.73,6.74,0.63,0,0,3.71,16.9,41.2,31A
42,0.000000,0.000000,0,-1.0,0.0,0,20211214,122213,65686,0.83,1.03,1.16,1.18,20.9,32.5,5.34,6.45,6.63,6.66,6.67,0.65,0,0,3.71,16.9,41.1,31A
43,0.000000,0.000000,0,-1.0,0.0,0,20211214,122214,66763,0.82,1.04,1.18,1.21,20.9,32.4,5.25,6.37,6.57,6.61,6.61,0.66,0,0,3.71,16.9,41.1,31A
44,0.000000,0.000000,0,-1.0,0.0,0,20211214,122215,67840,0.81,1.02,1.16,1.19,20.9,32.4,5.15,6.25,6.45,6.48,6.49,0.66,0,0,3.71,16.9,41.1,31A
45,0.000000,0.000000,0,-1.0,0.0,0,20211214,122216,68917,0.79,1.00,1.13,1.15,20.9,32.4,5.08,6.15,6.33,6.37,6.37,0.64,0,0,3.71,16.9,41.0,31A
