STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211029,061818,16724,25.24,76.22,116.30,124.32,16.8,63.7,55.13,145.35,198.22,207.28,208.78,1.52,0,0,3.82,12.8,81.3,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,20211029,061819,17796,10.94,11.57,11.57,11.57,16.9,64.0,74.87,87.13,87.35,87.38,87.39,0.54,0,0,3.82,12.9,81.7,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,20211029,061820,18868,11.54,15.59,18.33,18.88,16.9,64.4,70.89,88.05,91.86,92.51,92.62,0.75,0,0,3.83,12.9,82.1,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,20211029,061821,19943,12.08,18.84,23.75,24.73,16.9,64.6,68.24,89.36,96.01,97.15,97.34,0.81,0,0,3.82,12.9,82.4,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,20211029,061822,21019,12.50,20.97,27.24,28.50,16.9,64.9,67.12,90.82,99.27,100.70,100.95,0.86,0,0,3.82,12.9,82.8,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,20211029,061823,22087,13.16,24.34,32.77,34.46,17.0,65.2,65.27,93.05,104.33,106.26,106.59,0.92,0,0,3.82,13.0,83.1,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,20211029,061825,23162,13.33,23.90,31.83,33.42,17.0,65.4,67.92,95.11,105.74,107.55,107.86,0.90,0,0,3.81,13.0,83.5,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,20211029,061826,24230,13.58,24.08,31.95,33.52,17.0,65.6,69.86,97.24,107.78,109.58,109.89,0.88,0,0,3.80,13.0,83.7,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,20211029,061827,25298,13.97,24.26,31.94,33.48,17.1,65.8,73.06,100.59,110.89,112.65,112.95,0.88,0,0,3.81,13.1,84.0,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,20211029,061828,26374,14.34,24.56,32.17,33.70,17.1,65.9,75.77,103.60,113.82,115.57,115.86,0.86,0,0,3.81,13.1,84.1,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,20211029,061829,27443,14.67,25.36,33.32,34.92,17.1,66.0,77.03,105.78,116.48,118.30,118.61,0.86,0,0,3.80,13.1,84.1,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,20211029,061830,28513,15.05,26.50,35.07,36.78,17.1,66.0,77.81,107.91,119.40,121.36,121.70,0.87,0,0,3.81,13.1,84.1,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,20211029,061831,29590,15.27,26.41,34.72,36.38,17.1,66.0,80.12,110.07,121.22,123.12,123.45,0.86,0,0,3.80,13.1,84.2,5A1
13,0.000000,0.000000,0,-1.0,0.0,0,20211029,061832,30660,15.68,26.46,34.45,36.05,17.1,66.0,83.78,113.71,124.46,126.30,126.61,0.85,0,0,3.80,13.1,84.2,5A1
14,0.000000,0.000000,0,-1.0,0.0,0,20211029,061833,31730,15.97,27.24,35.62,37.29,17.2,66.1,84.68,115.52,126.78,128.70,129.03,0.85,0,0,3.81,13.2,84.3,5A1
15,0.000000,0.000000,0,-1.0,0.0,0,20211029,061834,32800,16.06,26.95,35.02,36.63,17.2,66.1,86.20,116.67,127.52,129.38,129.69,0.84,0,0,3.80,13.2,84.2,5A1
16,0.000000,0.000000,0,-1.0,0.0,0,20211029,061835,33877,16.33,27.79,36.32,38.02,17.2,66.0,86.70,118.17,129.62,131.58,131.91,0.84,0,0,3.80,13.2,84.2,5A1
17,0.000000,0.000000,0,-1.0,0.0,0,20211029,061836,34947,16.58,28.54,37.45,39.23,17.2,66.0,87.28,119.63,131.59,133.63,133.98,0.84,0,0,3.80,13.2,84.1,5A1
18,0.000000,0.000000,0,-1.0,0.0,0,20211029,061838,36017,16.72,28.61,37.45,39.22,17.3,65.9,88.46,120.86,132.74,134.77,135.12,0.84,0,0,3.79,13.3,84.1,5A1
19,0.000000,0.000000,0,-1.0,0.0,0,20211029,061839,37094,16.90,28.81,37.66,39.43,17.3,65.8,89.65,122.27,134.17,136.20,136.55,0.84,0,0,3.80,13.3,83.9,5A1
20,0.000000,0.000000,0,-1.0,0.0,0,20211029,061840,38164,17.15,29.48,38.66,40.50,17.3,65.7,90.35,123.76,136.10,138.20,138.56,0.84,0,0,3.79,13.3,83.7,5A1
21,0.000000,0.000000,0,-1.0,0.0,0,20211029,061841,39234,17.39,29.90,39.22,41.08,17.3,65.6,91.63,125.52,138.03,140.17,140.53,0.84,0,0,3.79,13.3,83.7,5A1
